"","Statistic","Year","Product.Type","value"
"861","Supplies = Uses of Milk Products (Tonnes)","2010","Milk Powder",103
"862","Dairy Exports (Tonnes)","2010","Milk Powder",105
"863","Variation in Dairy Stocks (Tonnes)","2010","Milk Powder",NA
"864","Dairy Products for Domestic Use (Tonnes)","2010","Milk Powder",NA
"865","Dairy Products for Industrial Uses (Tonnes)","2010","Milk Powder",NA
"866","Human Consumption of Dairy Products (Tonnes)","2010","Milk Powder",NA
"867","Consumption per Person of Dairy Products (Litres)","2010","Milk Powder",NA
"868","Consumption per Person of Dairy Products (Kg)","2010","Milk Powder",NA
"869","Self Sufficiency in Dairy Products (%)","2010","Milk Powder",NA
"870","Usable Dairy Production (Tonnes)","2011","Milk Powder",105
"871","Dairy Imports (Tonnes)","2011","Milk Powder",10
"872","Supplies = Uses of Milk Products (Tonnes)","2011","Milk Powder",114
"873","Dairy Exports (Tonnes)","2011","Milk Powder",128
"874","Variation in Dairy Stocks (Tonnes)","2011","Milk Powder",NA
"875","Dairy Products for Domestic Use (Tonnes)","2011","Milk Powder",NA
"876","Dairy Products for Industrial Uses (Tonnes)","2011","Milk Powder",NA
"877","Human Consumption of Dairy Products (Tonnes)","2011","Milk Powder",NA
"878","Consumption per Person of Dairy Products (Litres)","2011","Milk Powder",NA
"879","Consumption per Person of Dairy Products (Kg)","2011","Milk Powder",NA
"880","Self Sufficiency in Dairy Products (%)","2011","Milk Powder",NA
"881","Usable Dairy Production (Tonnes)","1992","Drinking Milk & Buttermilk",615
"882","Dairy Imports (Tonnes)","1992","Drinking Milk & Buttermilk",1
"883","Supplies = Uses of Milk Products (Tonnes)","1992","Drinking Milk & Buttermilk",NA
"884","Dairy Exports (Tonnes)","1992","Drinking Milk & Buttermilk",1
"885","Variation in Dairy Stocks (Tonnes)","1992","Drinking Milk & Buttermilk",0
"886","Dairy Products for Domestic Use (Tonnes)","1992","Drinking Milk & Buttermilk",615
"887","Dairy Products for Industrial Uses (Tonnes)","1992","Drinking Milk & Buttermilk",0
"888","Human Consumption of Dairy Products (Tonnes)","1992","Drinking Milk & Buttermilk",615
"889","Consumption per Person of Dairy Products (Litres)","1992","Drinking Milk & Buttermilk",168
"890","Consumption per Person of Dairy Products (Kg)","1992","Drinking Milk & Buttermilk",NA
"891","Self Sufficiency in Dairy Products (%)","1992","Drinking Milk & Buttermilk",100
"892","Usable Dairy Production (Tonnes)","1993","Drinking Milk & Buttermilk",615
"893","Dairy Imports (Tonnes)","1993","Drinking Milk & Buttermilk",0
"894","Supplies = Uses of Milk Products (Tonnes)","1993","Drinking Milk & Buttermilk",NA
"895","Dairy Exports (Tonnes)","1993","Drinking Milk & Buttermilk",3
"896","Variation in Dairy Stocks (Tonnes)","1993","Drinking Milk & Buttermilk",0
"897","Dairy Products for Domestic Use (Tonnes)","1993","Drinking Milk & Buttermilk",612
"898","Dairy Products for Industrial Uses (Tonnes)","1993","Drinking Milk & Buttermilk",0
"899","Human Consumption of Dairy Products (Tonnes)","1993","Drinking Milk & Buttermilk",612
"900","Consumption per Person of Dairy Products (Litres)","1993","Drinking Milk & Buttermilk",166
"901","Consumption per Person of Dairy Products (Kg)","1993","Drinking Milk & Buttermilk",NA
"902","Self Sufficiency in Dairy Products (%)","1993","Drinking Milk & Buttermilk",100
"903","Usable Dairy Production (Tonnes)","1994","Drinking Milk & Buttermilk",611
"904","Dairy Imports (Tonnes)","1994","Drinking Milk & Buttermilk",0
"905","Supplies = Uses of Milk Products (Tonnes)","1994","Drinking Milk & Buttermilk",NA
"906","Dairy Exports (Tonnes)","1994","Drinking Milk & Buttermilk",4
"907","Variation in Dairy Stocks (Tonnes)","1994","Drinking Milk & Buttermilk",0
"908","Dairy Products for Domestic Use (Tonnes)","1994","Drinking Milk & Buttermilk",607
"909","Dairy Products for Industrial Uses (Tonnes)","1994","Drinking Milk & Buttermilk",0
"910","Human Consumption of Dairy Products (Tonnes)","1994","Drinking Milk & Buttermilk",607
"911","Consumption per Person of Dairy Products (Litres)","1994","Drinking Milk & Buttermilk",165
"912","Consumption per Person of Dairy Products (Kg)","1994","Drinking Milk & Buttermilk",NA
"913","Self Sufficiency in Dairy Products (%)","1994","Drinking Milk & Buttermilk",101
"914","Usable Dairy Production (Tonnes)","1995","Drinking Milk & Buttermilk",610
"915","Dairy Imports (Tonnes)","1995","Drinking Milk & Buttermilk",1
"916","Supplies = Uses of Milk Products (Tonnes)","1995","Drinking Milk & Buttermilk",NA
"917","Dairy Exports (Tonnes)","1995","Drinking Milk & Buttermilk",5
"918","Variation in Dairy Stocks (Tonnes)","1995","Drinking Milk & Buttermilk",0
"919","Dairy Products for Domestic Use (Tonnes)","1995","Drinking Milk & Buttermilk",606
"920","Dairy Products for Industrial Uses (Tonnes)","1995","Drinking Milk & Buttermilk",0
"921","Human Consumption of Dairy Products (Tonnes)","1995","Drinking Milk & Buttermilk",606
"922","Consumption per Person of Dairy Products (Litres)","1995","Drinking Milk & Buttermilk",163
"923","Consumption per Person of Dairy Products (Kg)","1995","Drinking Milk & Buttermilk",NA
"924","Self Sufficiency in Dairy Products (%)","1995","Drinking Milk & Buttermilk",101
"925","Usable Dairy Production (Tonnes)","1996","Drinking Milk & Buttermilk",614
"926","Dairy Imports (Tonnes)","1996","Drinking Milk & Buttermilk",1
"927","Supplies = Uses of Milk Products (Tonnes)","1996","Drinking Milk & Buttermilk",NA
"928","Dairy Exports (Tonnes)","1996","Drinking Milk & Buttermilk",10
"929","Variation in Dairy Stocks (Tonnes)","1996","Drinking Milk & Buttermilk",0
"930","Dairy Products for Domestic Use (Tonnes)","1996","Drinking Milk & Buttermilk",605
"931","Dairy Products for Industrial Uses (Tonnes)","1996","Drinking Milk & Buttermilk",0
"932","Human Consumption of Dairy Products (Tonnes)","1996","Drinking Milk & Buttermilk",605
"933","Consumption per Person of Dairy Products (Litres)","1996","Drinking Milk & Buttermilk",162
"934","Consumption per Person of Dairy Products (Kg)","1996","Drinking Milk & Buttermilk",NA
"935","Self Sufficiency in Dairy Products (%)","1996","Drinking Milk & Buttermilk",101
"936","Usable Dairy Production (Tonnes)","1997","Drinking Milk & Buttermilk",608
"937","Dairy Imports (Tonnes)","1997","Drinking Milk & Buttermilk",2
"938","Supplies = Uses of Milk Products (Tonnes)","1997","Drinking Milk & Buttermilk",NA
"939","Dairy Exports (Tonnes)","1997","Drinking Milk & Buttermilk",7
"940","Variation in Dairy Stocks (Tonnes)","1997","Drinking Milk & Buttermilk",0
"941","Dairy Products for Domestic Use (Tonnes)","1997","Drinking Milk & Buttermilk",602
"942","Dairy Products for Industrial Uses (Tonnes)","1997","Drinking Milk & Buttermilk",0
"943","Human Consumption of Dairy Products (Tonnes)","1997","Drinking Milk & Buttermilk",602
"944","Consumption per Person of Dairy Products (Litres)","1997","Drinking Milk & Buttermilk",160
"945","Consumption per Person of Dairy Products (Kg)","1997","Drinking Milk & Buttermilk",NA
"946","Self Sufficiency in Dairy Products (%)","1997","Drinking Milk & Buttermilk",101
"947","Usable Dairy Production (Tonnes)","1998","Drinking Milk & Buttermilk",617
"948","Dairy Imports (Tonnes)","1998","Drinking Milk & Buttermilk",2
"949","Supplies = Uses of Milk Products (Tonnes)","1998","Drinking Milk & Buttermilk",NA
"950","Dairy Exports (Tonnes)","1998","Drinking Milk & Buttermilk",6
"951","Variation in Dairy Stocks (Tonnes)","1998","Drinking Milk & Buttermilk",0
"952","Dairy Products for Domestic Use (Tonnes)","1998","Drinking Milk & Buttermilk",613
"953","Dairy Products for Industrial Uses (Tonnes)","1998","Drinking Milk & Buttermilk",0
"954","Human Consumption of Dairy Products (Tonnes)","1998","Drinking Milk & Buttermilk",613
"955","Consumption per Person of Dairy Products (Litres)","1998","Drinking Milk & Buttermilk",161
"956","Consumption per Person of Dairy Products (Kg)","1998","Drinking Milk & Buttermilk",NA
"957","Self Sufficiency in Dairy Products (%)","1998","Drinking Milk & Buttermilk",101
"958","Usable Dairy Production (Tonnes)","1999","Drinking Milk & Buttermilk",604
"959","Dairy Imports (Tonnes)","1999","Drinking Milk & Buttermilk",21
"960","Supplies = Uses of Milk Products (Tonnes)","1999","Drinking Milk & Buttermilk",NA
"961","Dairy Exports (Tonnes)","1999","Drinking Milk & Buttermilk",11
"962","Variation in Dairy Stocks (Tonnes)","1999","Drinking Milk & Buttermilk",0
"963","Dairy Products for Domestic Use (Tonnes)","1999","Drinking Milk & Buttermilk",614
"964","Dairy Products for Industrial Uses (Tonnes)","1999","Drinking Milk & Buttermilk",0
"965","Human Consumption of Dairy Products (Tonnes)","1999","Drinking Milk & Buttermilk",614
"966","Consumption per Person of Dairy Products (Litres)","1999","Drinking Milk & Buttermilk",159
"967","Consumption per Person of Dairy Products (Kg)","1999","Drinking Milk & Buttermilk",NA
"968","Self Sufficiency in Dairy Products (%)","1999","Drinking Milk & Buttermilk",98
"969","Usable Dairy Production (Tonnes)","2000","Drinking Milk & Buttermilk",593
"970","Dairy Imports (Tonnes)","2000","Drinking Milk & Buttermilk",24
"971","Supplies = Uses of Milk Products (Tonnes)","2000","Drinking Milk & Buttermilk",NA
"972","Dairy Exports (Tonnes)","2000","Drinking Milk & Buttermilk",13
"973","Variation in Dairy Stocks (Tonnes)","2000","Drinking Milk & Buttermilk",0
"974","Dairy Products for Domestic Use (Tonnes)","2000","Drinking Milk & Buttermilk",604
"975","Dairy Products for Industrial Uses (Tonnes)","2000","Drinking Milk & Buttermilk",0
"976","Human Consumption of Dairy Products (Tonnes)","2000","Drinking Milk & Buttermilk",604
"977","Consumption per Person of Dairy Products (Litres)","2000","Drinking Milk & Buttermilk",155
"978","Consumption per Person of Dairy Products (Kg)","2000","Drinking Milk & Buttermilk",NA
"979","Self Sufficiency in Dairy Products (%)","2000","Drinking Milk & Buttermilk",98
"980","Usable Dairy Production (Tonnes)","2001","Drinking Milk & Buttermilk",602
"981","Dairy Imports (Tonnes)","2001","Drinking Milk & Buttermilk",25
"982","Supplies = Uses of Milk Products (Tonnes)","2001","Drinking Milk & Buttermilk",NA
"983","Dairy Exports (Tonnes)","2001","Drinking Milk & Buttermilk",18
"984","Variation in Dairy Stocks (Tonnes)","2001","Drinking Milk & Buttermilk",0
"985","Dairy Products for Domestic Use (Tonnes)","2001","Drinking Milk & Buttermilk",609
"986","Dairy Products for Industrial Uses (Tonnes)","2001","Drinking Milk & Buttermilk",0
"987","Human Consumption of Dairy Products (Tonnes)","2001","Drinking Milk & Buttermilk",609
"988","Consumption per Person of Dairy Products (Litres)","2001","Drinking Milk & Buttermilk",154
"989","Consumption per Person of Dairy Products (Kg)","2001","Drinking Milk & Buttermilk",NA
"990","Self Sufficiency in Dairy Products (%)","2001","Drinking Milk & Buttermilk",99
"991","Usable Dairy Production (Tonnes)","2002","Drinking Milk & Buttermilk",599
"992","Dairy Imports (Tonnes)","2002","Drinking Milk & Buttermilk",27
"993","Supplies = Uses of Milk Products (Tonnes)","2002","Drinking Milk & Buttermilk",NA
"994","Dairy Exports (Tonnes)","2002","Drinking Milk & Buttermilk",15
"995","Variation in Dairy Stocks (Tonnes)","2002","Drinking Milk & Buttermilk",0
"996","Dairy Products for Domestic Use (Tonnes)","2002","Drinking Milk & Buttermilk",611
"997","Dairy Products for Industrial Uses (Tonnes)","2002","Drinking Milk & Buttermilk",0
"998","Human Consumption of Dairy Products (Tonnes)","2002","Drinking Milk & Buttermilk",611
"999","Consumption per Person of Dairy Products (Litres)","2002","Drinking Milk & Buttermilk",152
"1000","Consumption per Person of Dairy Products (Kg)","2002","Drinking Milk & Buttermilk",NA
"1001","Self Sufficiency in Dairy Products (%)","2002","Drinking Milk & Buttermilk",98
"1002","Usable Dairy Production (Tonnes)","2003","Drinking Milk & Buttermilk",594
"1003","Dairy Imports (Tonnes)","2003","Drinking Milk & Buttermilk",42
"1004","Supplies = Uses of Milk Products (Tonnes)","2003","Drinking Milk & Buttermilk",NA
"1005","Dairy Exports (Tonnes)","2003","Drinking Milk & Buttermilk",15
"1006","Variation in Dairy Stocks (Tonnes)","2003","Drinking Milk & Buttermilk",0
"1007","Dairy Products for Domestic Use (Tonnes)","2003","Drinking Milk & Buttermilk",621
"1008","Dairy Products for Industrial Uses (Tonnes)","2003","Drinking Milk & Buttermilk",0
"1009","Human Consumption of Dairy Products (Tonnes)","2003","Drinking Milk & Buttermilk",621
"1010","Consumption per Person of Dairy Products (Litres)","2003","Drinking Milk & Buttermilk",152
"1011","Consumption per Person of Dairy Products (Kg)","2003","Drinking Milk & Buttermilk",NA
"1012","Self Sufficiency in Dairy Products (%)","2003","Drinking Milk & Buttermilk",96
"1013","Usable Dairy Production (Tonnes)","2004","Drinking Milk & Buttermilk",588
"1014","Dairy Imports (Tonnes)","2004","Drinking Milk & Buttermilk",39
"1015","Supplies = Uses of Milk Products (Tonnes)","2004","Drinking Milk & Buttermilk",NA
"1016","Dairy Exports (Tonnes)","2004","Drinking Milk & Buttermilk",22
"1017","Variation in Dairy Stocks (Tonnes)","2004","Drinking Milk & Buttermilk",0
"1018","Dairy Products for Domestic Use (Tonnes)","2004","Drinking Milk & Buttermilk",605
"1019","Dairy Products for Industrial Uses (Tonnes)","2004","Drinking Milk & Buttermilk",0
"1020","Human Consumption of Dairy Products (Tonnes)","2004","Drinking Milk & Buttermilk",605
"1021","Consumption per Person of Dairy Products (Litres)","2004","Drinking Milk & Buttermilk",145
"1022","Consumption per Person of Dairy Products (Kg)","2004","Drinking Milk & Buttermilk",NA
"1023","Self Sufficiency in Dairy Products (%)","2004","Drinking Milk & Buttermilk",97
"1024","Usable Dairy Production (Tonnes)","2005","Drinking Milk & Buttermilk",575
"1025","Dairy Imports (Tonnes)","2005","Drinking Milk & Buttermilk",41
"1026","Supplies = Uses of Milk Products (Tonnes)","2005","Drinking Milk & Buttermilk",616
"1027","Dairy Exports (Tonnes)","2005","Drinking Milk & Buttermilk",40
"1028","Variation in Dairy Stocks (Tonnes)","2005","Drinking Milk & Buttermilk",0
"1029","Dairy Products for Domestic Use (Tonnes)","2005","Drinking Milk & Buttermilk",576
"1030","Dairy Products for Industrial Uses (Tonnes)","2005","Drinking Milk & Buttermilk",0
"1031","Human Consumption of Dairy Products (Tonnes)","2005","Drinking Milk & Buttermilk",576
"1032","Consumption per Person of Dairy Products (Litres)","2005","Drinking Milk & Buttermilk",135
"1033","Consumption per Person of Dairy Products (Kg)","2005","Drinking Milk & Buttermilk",NA
"1034","Self Sufficiency in Dairy Products (%)","2005","Drinking Milk & Buttermilk",100
"1035","Usable Dairy Production (Tonnes)","2006","Drinking Milk & Buttermilk",579
"1036","Dairy Imports (Tonnes)","2006","Drinking Milk & Buttermilk",47
"1037","Supplies = Uses of Milk Products (Tonnes)","2006","Drinking Milk & Buttermilk",626
"1038","Dairy Exports (Tonnes)","2006","Drinking Milk & Buttermilk",8
"1039","Variation in Dairy Stocks (Tonnes)","2006","Drinking Milk & Buttermilk",0
"1040","Dairy Products for Domestic Use (Tonnes)","2006","Drinking Milk & Buttermilk",618
"1041","Dairy Products for Industrial Uses (Tonnes)","2006","Drinking Milk & Buttermilk",0
"1042","Human Consumption of Dairy Products (Tonnes)","2006","Drinking Milk & Buttermilk",618
"1043","Consumption per Person of Dairy Products (Litres)","2006","Drinking Milk & Buttermilk",142
"1044","Consumption per Person of Dairy Products (Kg)","2006","Drinking Milk & Buttermilk",NA
"1045","Self Sufficiency in Dairy Products (%)","2006","Drinking Milk & Buttermilk",94
"1046","Usable Dairy Production (Tonnes)","2007","Drinking Milk & Buttermilk",582
"1047","Dairy Imports (Tonnes)","2007","Drinking Milk & Buttermilk",51
"1048","Supplies = Uses of Milk Products (Tonnes)","2007","Drinking Milk & Buttermilk",633
"1049","Dairy Exports (Tonnes)","2007","Drinking Milk & Buttermilk",8
"1050","Variation in Dairy Stocks (Tonnes)","2007","Drinking Milk & Buttermilk",0
"1051","Dairy Products for Domestic Use (Tonnes)","2007","Drinking Milk & Buttermilk",625
"1052","Dairy Products for Industrial Uses (Tonnes)","2007","Drinking Milk & Buttermilk",0
"1053","Human Consumption of Dairy Products (Tonnes)","2007","Drinking Milk & Buttermilk",625
"1054","Consumption per Person of Dairy Products (Litres)","2007","Drinking Milk & Buttermilk",140
"1055","Consumption per Person of Dairy Products (Kg)","2007","Drinking Milk & Buttermilk",NA
"1056","Self Sufficiency in Dairy Products (%)","2007","Drinking Milk & Buttermilk",93
"1057","Usable Dairy Production (Tonnes)","2008","Drinking Milk & Buttermilk",572
"1058","Dairy Imports (Tonnes)","2008","Drinking Milk & Buttermilk",61
"1059","Supplies = Uses of Milk Products (Tonnes)","2008","Drinking Milk & Buttermilk",633
"1060","Dairy Exports (Tonnes)","2008","Drinking Milk & Buttermilk",8
"1061","Variation in Dairy Stocks (Tonnes)","2008","Drinking Milk & Buttermilk",0
"1062","Dairy Products for Domestic Use (Tonnes)","2008","Drinking Milk & Buttermilk",625
"1063","Dairy Products for Industrial Uses (Tonnes)","2008","Drinking Milk & Buttermilk",0
"1064","Human Consumption of Dairy Products (Tonnes)","2008","Drinking Milk & Buttermilk",625
"1065","Consumption per Person of Dairy Products (Litres)","2008","Drinking Milk & Buttermilk",137
"1066","Consumption per Person of Dairy Products (Kg)","2008","Drinking Milk & Buttermilk",NA
"1067","Self Sufficiency in Dairy Products (%)","2008","Drinking Milk & Buttermilk",92
"1068","Usable Dairy Production (Tonnes)","2009","Drinking Milk & Buttermilk",543
"1069","Dairy Imports (Tonnes)","2009","Drinking Milk & Buttermilk",80
"1070","Supplies = Uses of Milk Products (Tonnes)","2009","Drinking Milk & Buttermilk",624
"1071","Dairy Exports (Tonnes)","2009","Drinking Milk & Buttermilk",8
"1072","Variation in Dairy Stocks (Tonnes)","2009","Drinking Milk & Buttermilk",0
"1073","Dairy Products for Domestic Use (Tonnes)","2009","Drinking Milk & Buttermilk",615
"1074","Dairy Products for Industrial Uses (Tonnes)","2009","Drinking Milk & Buttermilk",0
"1075","Human Consumption of Dairy Products (Tonnes)","2009","Drinking Milk & Buttermilk",615
"1076","Consumption per Person of Dairy Products (Litres)","2009","Drinking Milk & Buttermilk",134
"1077","Consumption per Person of Dairy Products (Kg)","2009","Drinking Milk & Buttermilk",NA
"1078","Self Sufficiency in Dairy Products (%)","2009","Drinking Milk & Buttermilk",88
"1079","Usable Dairy Production (Tonnes)","2010","Drinking Milk & Buttermilk",541
"1080","Dairy Imports (Tonnes)","2010","Drinking Milk & Buttermilk",86
"1081","Supplies = Uses of Milk Products (Tonnes)","2010","Drinking Milk & Buttermilk",627
"1082","Dairy Exports (Tonnes)","2010","Drinking Milk & Buttermilk",9
"1083","Variation in Dairy Stocks (Tonnes)","2010","Drinking Milk & Buttermilk",0
"1084","Dairy Products for Domestic Use (Tonnes)","2010","Drinking Milk & Buttermilk",618
"1085","Dairy Products for Industrial Uses (Tonnes)","2010","Drinking Milk & Buttermilk",0
"1086","Human Consumption of Dairy Products (Tonnes)","2010","Drinking Milk & Buttermilk",618
"1087","Consumption per Person of Dairy Products (Litres)","2010","Drinking Milk & Buttermilk",134
"1088","Consumption per Person of Dairy Products (Kg)","2010","Drinking Milk & Buttermilk",NA
"1089","Self Sufficiency in Dairy Products (%)","2010","Drinking Milk & Buttermilk",87
"1090","Usable Dairy Production (Tonnes)","2011","Drinking Milk & Buttermilk",544
"1091","Dairy Imports (Tonnes)","2011","Drinking Milk & Buttermilk",89
"1092","Supplies = Uses of Milk Products (Tonnes)","2011","Drinking Milk & Buttermilk",633
"1093","Dairy Exports (Tonnes)","2011","Drinking Milk & Buttermilk",8
"1094","Variation in Dairy Stocks (Tonnes)","2011","Drinking Milk & Buttermilk",0
"1095","Dairy Products for Domestic Use (Tonnes)","2011","Drinking Milk & Buttermilk",625
"1096","Dairy Products for Industrial Uses (Tonnes)","2011","Drinking Milk & Buttermilk",0
"1097","Human Consumption of Dairy Products (Tonnes)","2011","Drinking Milk & Buttermilk",625
"1098","Consumption per Person of Dairy Products (Litres)","2011","Drinking Milk & Buttermilk",135
"1099","Consumption per Person of Dairy Products (Kg)","2011","Drinking Milk & Buttermilk",NA
"1100","Self Sufficiency in Dairy Products (%)","2011","Drinking Milk & Buttermilk",87
