"","Year","County","Size.of.Holding","value"
"849","1970","Dublin","1-5 Acres",1004
"850","1975","Dublin","1-5 Acres",838
"851","1980","Dublin","1-5 Acres",759
"852","1855","Kildare","1-5 Acres",2295
"853","1860","Kildare","1-5 Acres",2334
"854","1865","Kildare","1-5 Acres",2253
"855","1870","Kildare","1-5 Acres",2100
"856","1875","Kildare","1-5 Acres",1957
"857","1880","Kildare","1-5 Acres",1764
"858","1885","Kildare","1-5 Acres",1699
"859","1890","Kildare","1-5 Acres",1604
"860","1895","Kildare","1-5 Acres",1693
"861","1900","Kildare","1-5 Acres",1604
"862","1905","Kildare","1-5 Acres",1651
"863","1910","Kildare","1-5 Acres",1664
"864","1915","Kildare","1-5 Acres",1378
"865","1930","Kildare","1-5 Acres",1070
"866","1940","Kildare","1-5 Acres",899
"867","1945","Kildare","1-5 Acres",893
"868","1950","Kildare","1-5 Acres",838
"869","1955","Kildare","1-5 Acres",822
"870","1960","Kildare","1-5 Acres",780
"871","1965","Kildare","1-5 Acres",803
"872","1970","Kildare","1-5 Acres",892
"873","1975","Kildare","1-5 Acres",863
"874","1980","Kildare","1-5 Acres",900
"875","1855","Kilkenny","1-5 Acres",2503
"876","1860","Kilkenny","1-5 Acres",2379
"877","1865","Kilkenny","1-5 Acres",2318
"878","1870","Kilkenny","1-5 Acres",2204
"879","1875","Kilkenny","1-5 Acres",2026
"880","1880","Kilkenny","1-5 Acres",1816
"881","1885","Kilkenny","1-5 Acres",1731
"882","1890","Kilkenny","1-5 Acres",1739
"883","1895","Kilkenny","1-5 Acres",1752
"884","1900","Kilkenny","1-5 Acres",1684
"885","1905","Kilkenny","1-5 Acres",1626
"886","1910","Kilkenny","1-5 Acres",1597
"887","1915","Kilkenny","1-5 Acres",1072
"888","1930","Kilkenny","1-5 Acres",931
"889","1940","Kilkenny","1-5 Acres",758
"890","1945","Kilkenny","1-5 Acres",700
"891","1950","Kilkenny","1-5 Acres",649
"892","1955","Kilkenny","1-5 Acres",688
"893","1960","Kilkenny","1-5 Acres",583
"894","1965","Kilkenny","1-5 Acres",592
"895","1970","Kilkenny","1-5 Acres",591
"896","1975","Kilkenny","1-5 Acres",571
"897","1980","Kilkenny","1-5 Acres",589
"898","1855","Laoghais","1-5 Acres",2381
"899","1860","Laoghais","1-5 Acres",2361
"900","1865","Laoghais","1-5 Acres",2321
"901","1870","Laoghais","1-5 Acres",2168
"902","1875","Laoghais","1-5 Acres",2121
"903","1880","Laoghais","1-5 Acres",1799
"904","1885","Laoghais","1-5 Acres",1685
"905","1890","Laoghais","1-5 Acres",1641
"906","1895","Laoghais","1-5 Acres",1668
"907","1900","Laoghais","1-5 Acres",1600
"908","1905","Laoghais","1-5 Acres",1611
"909","1910","Laoghais","1-5 Acres",1643
"910","1915","Laoghais","1-5 Acres",1164
"911","1930","Laoghais","1-5 Acres",1008
"912","1940","Laoghais","1-5 Acres",841
"913","1945","Laoghais","1-5 Acres",712
"914","1950","Laoghais","1-5 Acres",673
"915","1955","Laoghais","1-5 Acres",639
"916","1960","Laoghais","1-5 Acres",548
"917","1965","Laoghais","1-5 Acres",556
"918","1970","Laoghais","1-5 Acres",565
"919","1975","Laoghais","1-5 Acres",498
"920","1980","Laoghais","1-5 Acres",512
"921","1855","Longford","1-5 Acres",1154
"922","1860","Longford","1-5 Acres",1057
"923","1865","Longford","1-5 Acres",933
"924","1870","Longford","1-5 Acres",917
"925","1875","Longford","1-5 Acres",896
"926","1880","Longford","1-5 Acres",864
"927","1885","Longford","1-5 Acres",743
"928","1890","Longford","1-5 Acres",794
"929","1895","Longford","1-5 Acres",824
"930","1900","Longford","1-5 Acres",857
"931","1905","Longford","1-5 Acres",825
"932","1910","Longford","1-5 Acres",882
"933","1915","Longford","1-5 Acres",672
"934","1930","Longford","1-5 Acres",438
"935","1940","Longford","1-5 Acres",367
"936","1945","Longford","1-5 Acres",346
"937","1950","Longford","1-5 Acres",346
"938","1955","Longford","1-5 Acres",322
"939","1960","Longford","1-5 Acres",278
"940","1965","Longford","1-5 Acres",295
"941","1970","Longford","1-5 Acres",256
"942","1975","Longford","1-5 Acres",248
"943","1980","Longford","1-5 Acres",247
"944","1855","Louth","1-5 Acres",1852
"945","1860","Louth","1-5 Acres",1819
"946","1865","Louth","1-5 Acres",1776
"947","1870","Louth","1-5 Acres",1669
"948","1875","Louth","1-5 Acres",1631
"949","1880","Louth","1-5 Acres",1560
"950","1885","Louth","1-5 Acres",1375
"951","1890","Louth","1-5 Acres",1293
"952","1895","Louth","1-5 Acres",1319
"953","1900","Louth","1-5 Acres",1284
"954","1905","Louth","1-5 Acres",1262
"955","1910","Louth","1-5 Acres",1242
"956","1915","Louth","1-5 Acres",1087
"957","1930","Louth","1-5 Acres",858
"958","1940","Louth","1-5 Acres",706
"959","1945","Louth","1-5 Acres",704
"960","1950","Louth","1-5 Acres",671
"961","1955","Louth","1-5 Acres",641
"962","1960","Louth","1-5 Acres",609
"963","1965","Louth","1-5 Acres",642
"964","1970","Louth","1-5 Acres",667
"965","1975","Louth","1-5 Acres",659
"966","1980","Louth","1-5 Acres",656
"967","1855","Meath","1-5 Acres",2038
"968","1860","Meath","1-5 Acres",2041
"969","1865","Meath","1-5 Acres",2114
"970","1870","Meath","1-5 Acres",1960
"971","1875","Meath","1-5 Acres",1785
"972","1880","Meath","1-5 Acres",1839
"973","1885","Meath","1-5 Acres",1744
"974","1890","Meath","1-5 Acres",1676
"975","1895","Meath","1-5 Acres",1773
"976","1900","Meath","1-5 Acres",1774
"977","1905","Meath","1-5 Acres",1784
"978","1910","Meath","1-5 Acres",1736
"979","1915","Meath","1-5 Acres",1443
"980","1930","Meath","1-5 Acres",1267
"981","1940","Meath","1-5 Acres",791
"982","1945","Meath","1-5 Acres",686
"983","1950","Meath","1-5 Acres",666
"984","1955","Meath","1-5 Acres",661
"985","1960","Meath","1-5 Acres",598
"986","1965","Meath","1-5 Acres",578
"987","1970","Meath","1-5 Acres",666
"988","1975","Meath","1-5 Acres",738
"989","1980","Meath","1-5 Acres",758
"990","1855","Offaly","1-5 Acres",2506
"991","1860","Offaly","1-5 Acres",2582
"992","1865","Offaly","1-5 Acres",2441
"993","1870","Offaly","1-5 Acres",2251
"994","1875","Offaly","1-5 Acres",2008
"995","1880","Offaly","1-5 Acres",1930
"996","1885","Offaly","1-5 Acres",1808
"997","1890","Offaly","1-5 Acres",1716
"998","1895","Offaly","1-5 Acres",1712
"999","1900","Offaly","1-5 Acres",1620
"1000","1905","Offaly","1-5 Acres",1624
"1001","1910","Offaly","1-5 Acres",1535
"1002","1915","Offaly","1-5 Acres",1192
"1003","1930","Offaly","1-5 Acres",1118
"1004","1940","Offaly","1-5 Acres",728
"1005","1945","Offaly","1-5 Acres",720
"1006","1950","Offaly","1-5 Acres",682
"1007","1955","Offaly","1-5 Acres",663
"1008","1960","Offaly","1-5 Acres",601
"1009","1965","Offaly","1-5 Acres",543
"1010","1970","Offaly","1-5 Acres",555
"1011","1975","Offaly","1-5 Acres",520
"1012","1980","Offaly","1-5 Acres",495
"1013","1855","Westmeath","1-5 Acres",2190
"1014","1860","Westmeath","1-5 Acres",2133
"1015","1865","Westmeath","1-5 Acres",2040
"1016","1870","Westmeath","1-5 Acres",2029
"1017","1875","Westmeath","1-5 Acres",1917
"1018","1880","Westmeath","1-5 Acres",1750
"1019","1885","Westmeath","1-5 Acres",1726
"1020","1890","Westmeath","1-5 Acres",1615
"1021","1895","Westmeath","1-5 Acres",1689
"1022","1900","Westmeath","1-5 Acres",1728
"1023","1905","Westmeath","1-5 Acres",1645
"1024","1910","Westmeath","1-5 Acres",1667
"1025","1915","Westmeath","1-5 Acres",1319
"1026","1930","Westmeath","1-5 Acres",916
"1027","1940","Westmeath","1-5 Acres",825
"1028","1945","Westmeath","1-5 Acres",772
"1029","1950","Westmeath","1-5 Acres",715
"1030","1955","Westmeath","1-5 Acres",723
"1031","1960","Westmeath","1-5 Acres",663
"1032","1965","Westmeath","1-5 Acres",582
"1033","1970","Westmeath","1-5 Acres",593
"1034","1975","Westmeath","1-5 Acres",562
"1035","1980","Westmeath","1-5 Acres",570
"1036","1855","Wexford","1-5 Acres",3038
"1037","1860","Wexford","1-5 Acres",2792
"1038","1865","Wexford","1-5 Acres",2660
"1039","1870","Wexford","1-5 Acres",2466
"1040","1875","Wexford","1-5 Acres",2327
"1041","1880","Wexford","1-5 Acres",2289
"1042","1885","Wexford","1-5 Acres",2179
"1043","1890","Wexford","1-5 Acres",2193
"1044","1895","Wexford","1-5 Acres",2242
"1045","1900","Wexford","1-5 Acres",2165
"1046","1905","Wexford","1-5 Acres",2176
"1047","1910","Wexford","1-5 Acres",2254
"1048","1915","Wexford","1-5 Acres",1622
"1049","1930","Wexford","1-5 Acres",1299
"1050","1940","Wexford","1-5 Acres",1096
"1051","1945","Wexford","1-5 Acres",1082
"1052","1950","Wexford","1-5 Acres",1045
"1053","1955","Wexford","1-5 Acres",1034
"1054","1960","Wexford","1-5 Acres",954
"1055","1965","Wexford","1-5 Acres",962
"1056","1970","Wexford","1-5 Acres",959
"1057","1975","Wexford","1-5 Acres",953
"1058","1980","Wexford","1-5 Acres",978
"1059","1855","Wicklow","1-5 Acres",1189
"1060","1860","Wicklow","1-5 Acres",1146
"1061","1865","Wicklow","1-5 Acres",1148
"1062","1870","Wicklow","1-5 Acres",1042
"1063","1875","Wicklow","1-5 Acres",920
"1064","1880","Wicklow","1-5 Acres",847
"1065","1885","Wicklow","1-5 Acres",837
"1066","1890","Wicklow","1-5 Acres",801
"1067","1895","Wicklow","1-5 Acres",828
"1068","1900","Wicklow","1-5 Acres",834
"1069","1905","Wicklow","1-5 Acres",868
"1070","1910","Wicklow","1-5 Acres",843
"1071","1915","Wicklow","1-5 Acres",641
"1072","1930","Wicklow","1-5 Acres",574
"1073","1940","Wicklow","1-5 Acres",505
"1074","1945","Wicklow","1-5 Acres",507
"1075","1950","Wicklow","1-5 Acres",497
"1076","1955","Wicklow","1-5 Acres",526
"1077","1960","Wicklow","1-5 Acres",508
"1078","1965","Wicklow","1-5 Acres",497
"1079","1970","Wicklow","1-5 Acres",596
"1080","1975","Wicklow","1-5 Acres",553
