"","Year","Statistic","Type.of.Work","Receiving.Benefits.or.Not","value"
"510","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Receiving Benefits",43
"511","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Receiving Benefits",40.9
"512","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Receiving Benefits",41.2
"513","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Receiving Benefits",39.4
"514","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Receiving Benefits",41.61
"515","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Receiving Benefits",43.2
"516","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Receiving Benefits",41.3
"517","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Receiving Benefits",40.8
"518","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Receiving Benefits",39.7
"519","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Receiving Benefits",40.8
"520","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Horticultural Workers","Receiving Benefits",38.6
"521","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Receiving Benefits",48
"522","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Receiving Benefits",61.25
"523","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Receiving Benefits",73.81
"524","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Receiving Benefits",96.26
"525","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Receiving Benefits",107.66
"526","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Receiving Benefits",141.88
"527","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Receiving Benefits",175.78
"528","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Receiving Benefits",197.94
"529","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Receiving Benefits",219.46
"530","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Receiving Benefits",237.06
"531","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Receiving Benefits",237.54
"532","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Receiving Benefits",350.45
"533","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Managers/Foremen","Receiving Benefits",492.62
"534","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Receiving Benefits",46.1
"535","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Receiving Benefits",45.1
"536","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Receiving Benefits",45.6
"537","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Receiving Benefits",44.6
"538","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Receiving Benefits",45.8
"539","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Receiving Benefits",44.3
"540","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Receiving Benefits",44.61
"541","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Receiving Benefits",43.9
"542","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Receiving Benefits",45.8
"543","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Receiving Benefits",41.1
"544","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Receiving Benefits",39.3
"545","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Receiving Benefits",44
"546","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Managers/Foremen","Receiving Benefits",41.2
"547","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Receiving Benefits",37.97
"548","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Receiving Benefits",54.4
"549","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Receiving Benefits",68.83
"550","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Receiving Benefits",78.36
"551","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Receiving Benefits",94.52
"552","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Receiving Benefits",115.69
"553","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Receiving Benefits",125.48
"554","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Receiving Benefits",162.82
"555","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Receiving Benefits",147.76
"556","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Receiving Benefits",193.44
"557","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Receiving Benefits",242.48
"558","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Receiving Benefits",256.55
"559","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Horticulturists","Receiving Benefits",308.81
"560","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Receiving Benefits",43.6
"561","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Receiving Benefits",43.2
"562","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Receiving Benefits",43.3
"563","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Receiving Benefits",40.2
"564","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Receiving Benefits",42.2
"565","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Receiving Benefits",40.4
"566","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Receiving Benefits",40.91
"567","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Receiving Benefits",43.3
"568","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Receiving Benefits",42.3
"569","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Receiving Benefits",37.2
"570","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Receiving Benefits",40.1
"571","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Receiving Benefits",39.7
"572","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Horticulturists","Receiving Benefits",41.2
"573","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Receiving Benefits",38.98
"574","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Receiving Benefits",47.32
"575","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Receiving Benefits",55.87
"576","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Receiving Benefits",63.58
"577","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Receiving Benefits",80.11
"578","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Receiving Benefits",93.06
"579","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Receiving Benefits",123.77
"580","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Receiving Benefits",147.32
"581","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Receiving Benefits",150.58
"582","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Receiving Benefits",192.76
"583","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Receiving Benefits",176.47
"584","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Receiving Benefits",218.41
"585","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Horticultural Workers","Receiving Benefits",254.02
"586","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Receiving Benefits",43.5
"587","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Receiving Benefits",43.5
"588","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Receiving Benefits",43.4
"589","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Receiving Benefits",40.7
"590","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Receiving Benefits",41
"591","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Receiving Benefits",38.4
"592","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Receiving Benefits",41.99
"593","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Receiving Benefits",40.9
"594","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Receiving Benefits",40.9
"595","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Receiving Benefits",41.5
"596","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Receiving Benefits",39.6
"597","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Receiving Benefits",41.1
"598","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Horticultural Workers","Receiving Benefits",36
"599","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Receiving Benefits",35.43
"600","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Receiving Benefits",48.52
"601","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Receiving Benefits",56.99
"602","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Receiving Benefits",68.01
"603","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Receiving Benefits",79.19
"604","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Receiving Benefits",100.03
"605","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Receiving Benefits",120.43
"606","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Receiving Benefits",143.52
"607","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Receiving Benefits",147.34
"608","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Receiving Benefits",188.23
"609","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Receiving Benefits",213.54
"610","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Receiving Benefits",248.97
"611","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Mixed/General Farm Workers","Receiving Benefits",340.83
"612","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Receiving Benefits",43.6
"613","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Receiving Benefits",43.6
"614","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Receiving Benefits",43.5
"615","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Receiving Benefits",42.8
"616","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Receiving Benefits",42.3
"617","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Receiving Benefits",42
"618","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Receiving Benefits",42.58
"619","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Receiving Benefits",43.3
"620","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Receiving Benefits",42
"621","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Receiving Benefits",43.3
"622","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Receiving Benefits",42.4
"623","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Receiving Benefits",43.6
"624","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Mixed/General Farm Workers","Receiving Benefits",43.3
"625","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Receiving Benefits",48
"626","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Receiving Benefits",61.25
"627","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Receiving Benefits",73.81
"628","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Receiving Benefits",96.26
"629","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Receiving Benefits",107.66
"630","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Receiving Benefits",141.88
"631","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Receiving Benefits",175.78
"632","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Receiving Benefits",197.94
"633","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Receiving Benefits",219.46
"634","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Receiving Benefits",300.6
"635","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Receiving Benefits",323.19
"636","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Receiving Benefits",318.86
"637","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Mixed and General Managers","Receiving Benefits",415.81
"638","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Receiving Benefits",46.1
"639","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Receiving Benefits",45.1
"640","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Receiving Benefits",45.6
"641","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Receiving Benefits",44.6
"642","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Receiving Benefits",45.8
"643","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Receiving Benefits",44.3
"644","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Receiving Benefits",44.61
"645","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Receiving Benefits",43.9
"646","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Receiving Benefits",45.8
"647","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Receiving Benefits",47.7
"648","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Receiving Benefits",42.4
"649","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Receiving Benefits",41
"650","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Mixed and General Managers","Receiving Benefits",46.1
"651","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Receiving Benefits",33.78
"652","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Receiving Benefits",51.78
"653","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Receiving Benefits",58.75
"654","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Receiving Benefits",67.72
"655","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Receiving Benefits",84.37
"656","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Receiving Benefits",108.26
"657","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Receiving Benefits",130.96
"658","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Receiving Benefits",148.84
"659","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Receiving Benefits",155.09
"660","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Receiving Benefits",196.86
"661","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Receiving Benefits",216.34
"662","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Receiving Benefits",259.1
"663","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Specialised Agricultural Workers","Receiving Benefits",372.15
"664","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Receiving Benefits",43.5
"665","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Receiving Benefits",43.4
"666","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Receiving Benefits",43.8
"667","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Receiving Benefits",43.9
"668","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Receiving Benefits",43
"669","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Receiving Benefits",43.4
"670","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Receiving Benefits",42.77
"671","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Receiving Benefits",43.9
"672","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Receiving Benefits",43.4
"673","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Receiving Benefits",45.1
"674","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Receiving Benefits",42.9
"675","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Receiving Benefits",44.9
"676","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Specialised Agricultural Workers","Receiving Benefits",45.6
"677","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Receiving Benefits",33.78
"678","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Receiving Benefits",47.32
"679","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Receiving Benefits",55.87
"680","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Receiving Benefits",65.87
"681","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Receiving Benefits",75.64
"682","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Receiving Benefits",94.21
"683","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Receiving Benefits",112.71
"684","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Receiving Benefits",133.89
"685","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Receiving Benefits",140.51
"686","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Receiving Benefits",169.36
"687","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Receiving Benefits",186.12
"688","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Receiving Benefits",232.01
"689","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","Other Mixed and General Workers","Receiving Benefits",295.75
"690","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Receiving Benefits",43.5
"691","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Receiving Benefits",43.5
"692","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Receiving Benefits",43.4
"693","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Receiving Benefits",42.4
"694","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Receiving Benefits",42
"695","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Receiving Benefits",41.4
"696","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Receiving Benefits",42.49
"697","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Receiving Benefits",43.2
"698","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Receiving Benefits",41.4
"699","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Receiving Benefits",41.8
"700","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Receiving Benefits",42.3
"701","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Receiving Benefits",43.6
"702","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","Other Mixed and General Workers","Receiving Benefits",40.6
"703","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Receiving Benefits",NA
"704","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Receiving Benefits",NA
"705","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Receiving Benefits",NA
"706","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Receiving Benefits",NA
"707","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Receiving Benefits",NA
"708","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Receiving Benefits",NA
"709","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Receiving Benefits",NA
"710","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Receiving Benefits",NA
"711","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Receiving Benefits",NA
"712","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Receiving Benefits",NA
"713","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Receiving Benefits",NA
"714","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Receiving Benefits",NA
"715","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers","Receiving Benefits",NA
"716","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Receiving Benefits",NA
"717","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Receiving Benefits",NA
"718","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Receiving Benefits",NA
"719","1979","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Receiving Benefits",NA
"720","1980","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Receiving Benefits",NA
"721","1982","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Receiving Benefits",NA
"722","1984","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Receiving Benefits",NA
"723","1986","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Receiving Benefits",NA
"724","1988","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Receiving Benefits",NA
"725","1992","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Receiving Benefits",NA
"726","1994","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Receiving Benefits",NA
"727","1997","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Receiving Benefits",NA
"728","2001","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers","Receiving Benefits",NA
"729","1975","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"730","1977","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"731","1978","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"732","1979","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"733","1980","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"734","1982","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"735","1984","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"736","1986","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"737","1988","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"738","1992","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"739","1994","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"740","1997","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"741","2001","Average Weekly Earnings for Permanent Agricultural Workers (Euro)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"742","1975","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"743","1977","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
"744","1978","Average Number of Paid Hours per week for Permanent Agricultural Workers (Number)","All Workers Excl Managers/Foremen","Receiving Benefits",NA
