"","Year","Type.of.Land.Use","Region","value"
"2368","1995","Oilseed rape","Dublin plus Mid East",2.5
"2369","1996","Oilseed rape","Dublin plus Mid East",2.2
"2370","1997","Oilseed rape","Dublin plus Mid East",2.4
"2371","1998","Oilseed rape","Dublin plus Mid East",2.8
"2372","1999","Oilseed rape","Dublin plus Mid East",1.4
"2373","2000","Oilseed rape","Dublin plus Mid East",0.7
"2374","2001","Oilseed rape","Dublin plus Mid East",0.6
"2375","2002","Oilseed rape","Dublin plus Mid East",0.5
"2376","2003","Oilseed rape","Dublin plus Mid East",0.6
"2377","2004","Oilseed rape","Dublin plus Mid East",0.3
"2378","2005","Oilseed rape","Dublin plus Mid East",0.8
"2379","2006","Oilseed rape","Dublin plus Mid East",1.1
"2380","2007","Oilseed rape","Dublin plus Mid East",2
"2381","1991","Arable silage","Dublin plus Mid East",NA
"2382","1992","Arable silage","Dublin plus Mid East",NA
"2383","1993","Arable silage","Dublin plus Mid East",NA
"2384","1994","Arable silage","Dublin plus Mid East",NA
"2385","1995","Arable silage","Dublin plus Mid East",NA
"2386","1996","Arable silage","Dublin plus Mid East",NA
"2387","1997","Arable silage","Dublin plus Mid East",NA
"2388","1998","Arable silage","Dublin plus Mid East",NA
"2389","1999","Arable silage","Dublin plus Mid East",NA
"2390","2000","Arable silage","Dublin plus Mid East",1.4
"2391","2001","Arable silage","Dublin plus Mid East",1.2
"2392","2002","Arable silage","Dublin plus Mid East",1.2
"2393","2003","Arable silage","Dublin plus Mid East",1.4
"2394","2004","Arable silage","Dublin plus Mid East",1.6
"2395","2005","Arable silage","Dublin plus Mid East",1.3
"2396","2006","Arable silage","Dublin plus Mid East",0.8
"2397","2007","Arable silage","Dublin plus Mid East",0.8
"2398","1991","Maize silage","Dublin plus Mid East",NA
"2399","1992","Maize silage","Dublin plus Mid East",NA
"2400","1993","Maize silage","Dublin plus Mid East",NA
"2401","1994","Maize silage","Dublin plus Mid East",NA
"2402","1995","Maize silage","Dublin plus Mid East",NA
"2403","1996","Maize silage","Dublin plus Mid East",NA
"2404","1997","Maize silage","Dublin plus Mid East",NA
"2405","1998","Maize silage","Dublin plus Mid East",NA
"2406","1999","Maize silage","Dublin plus Mid East",NA
"2407","2000","Maize silage","Dublin plus Mid East",2.7
"2408","2001","Maize silage","Dublin plus Mid East",3
"2409","2002","Maize silage","Dublin plus Mid East",3
"2410","2003","Maize silage","Dublin plus Mid East",2.4
"2411","2004","Maize silage","Dublin plus Mid East",2.1
"2412","2005","Maize silage","Dublin plus Mid East",2.4
"2413","2006","Maize silage","Dublin plus Mid East",2.9
"2414","2007","Maize silage","Dublin plus Mid East",3.4
"2415","1991","Fodder rape and kale","Dublin plus Mid East",NA
"2416","1992","Fodder rape and kale","Dublin plus Mid East",NA
"2417","1993","Fodder rape and kale","Dublin plus Mid East",NA
"2418","1994","Fodder rape and kale","Dublin plus Mid East",NA
"2419","1995","Fodder rape and kale","Dublin plus Mid East",NA
"2420","1996","Fodder rape and kale","Dublin plus Mid East",NA
"2421","1997","Fodder rape and kale","Dublin plus Mid East",NA
"2422","1998","Fodder rape and kale","Dublin plus Mid East",NA
"2423","1999","Fodder rape and kale","Dublin plus Mid East",NA
"2424","2000","Fodder rape and kale","Dublin plus Mid East",0.1
"2425","2001","Fodder rape and kale","Dublin plus Mid East",0.2
"2426","2002","Fodder rape and kale","Dublin plus Mid East",0.2
"2427","2003","Fodder rape and kale","Dublin plus Mid East",0.1
"2428","2004","Fodder rape and kale","Dublin plus Mid East",0.1
"2429","2005","Fodder rape and kale","Dublin plus Mid East",0.1
"2430","2006","Fodder rape and kale","Dublin plus Mid East",0.3
"2431","2007","Fodder rape and kale","Dublin plus Mid East",0.2
"2432","1991","Potatoes","Dublin plus Mid East",7.5
"2433","1992","Potatoes","Dublin plus Mid East",8.2
"2434","1993","Potatoes","Dublin plus Mid East",8.4
"2435","1994","Potatoes","Dublin plus Mid East",8.2
"2436","1995","Potatoes","Dublin plus Mid East",9
"2437","1996","Potatoes","Dublin plus Mid East",10.8
"2438","1997","Potatoes","Dublin plus Mid East",7.4
"2439","1998","Potatoes","Dublin plus Mid East",7.5
"2440","1999","Potatoes","Dublin plus Mid East",7.5
"2441","2000","Potatoes","Dublin plus Mid East",6.1
"2442","2001","Potatoes","Dublin plus Mid East",6.1
"2443","2002","Potatoes","Dublin plus Mid East",7
"2444","2003","Potatoes","Dublin plus Mid East",6.6
"2445","2004","Potatoes","Dublin plus Mid East",6
"2446","2005","Potatoes","Dublin plus Mid East",5.5
"2447","2006","Potatoes","Dublin plus Mid East",5.5
"2448","2007","Potatoes","Dublin plus Mid East",5.1
"2449","1991","Turnips","Dublin plus Mid East",1.2
"2450","1992","Turnips","Dublin plus Mid East",1
"2451","1993","Turnips","Dublin plus Mid East",1
"2452","1994","Turnips","Dublin plus Mid East",1.2
"2453","1995","Turnips","Dublin plus Mid East",1.1
"2454","1996","Turnips","Dublin plus Mid East",0.9
"2455","1997","Turnips","Dublin plus Mid East",0.9
"2456","1998","Turnips","Dublin plus Mid East",1
"2457","1999","Turnips","Dublin plus Mid East",0.9
"2458","2000","Turnips","Dublin plus Mid East",0.3
"2459","2001","Turnips","Dublin plus Mid East",0.2
"2460","2002","Turnips","Dublin plus Mid East",0.2
"2461","2003","Turnips","Dublin plus Mid East",0.2
"2462","2004","Turnips","Dublin plus Mid East",0.2
"2463","2005","Turnips","Dublin plus Mid East",0.2
"2464","2006","Turnips","Dublin plus Mid East",0.2
"2465","2007","Turnips","Dublin plus Mid East",0.2
"2466","1991","Beet","Dublin plus Mid East",4.1
"2467","1992","Beet","Dublin plus Mid East",4.1
"2468","1993","Beet","Dublin plus Mid East",4.3
"2469","1994","Beet","Dublin plus Mid East",4
"2470","1995","Beet","Dublin plus Mid East",4.1
"2471","1996","Beet","Dublin plus Mid East",3.8
"2472","1997","Beet","Dublin plus Mid East",3.7
"2473","1998","Beet","Dublin plus Mid East",3.8
"2474","1999","Beet","Dublin plus Mid East",3.7
"2475","2000","Beet","Dublin plus Mid East",3.3
"2476","2001","Beet","Dublin plus Mid East",2.8
"2477","2002","Beet","Dublin plus Mid East",3.3
"2478","2003","Beet","Dublin plus Mid East",2.9
"2479","2004","Beet","Dublin plus Mid East",2.8
"2480","2005","Beet","Dublin plus Mid East",2.8
"2481","2006","Beet","Dublin plus Mid East",0.7
"2482","2007","Beet","Dublin plus Mid East",0.6
"2483","1991","Sugar beet","Dublin plus Mid East",2.7
"2484","1992","Sugar beet","Dublin plus Mid East",2.4
"2485","1993","Sugar beet","Dublin plus Mid East",2.7
"2486","1994","Sugar beet","Dublin plus Mid East",2.7
"2487","1995","Sugar beet","Dublin plus Mid East",2.7
"2488","1996","Sugar beet","Dublin plus Mid East",2.4
"2489","1997","Sugar beet","Dublin plus Mid East",2.4
"2490","1998","Sugar beet","Dublin plus Mid East",2.6
"2491","1999","Sugar beet","Dublin plus Mid East",2.5
"2492","2000","Sugar beet","Dublin plus Mid East",2.6
"2493","2001","Sugar beet","Dublin plus Mid East",2.4
"2494","2002","Sugar beet","Dublin plus Mid East",2.5
"2495","2003","Sugar beet","Dublin plus Mid East",2.5
"2496","2004","Sugar beet","Dublin plus Mid East",2.4
"2497","2005","Sugar beet","Dublin plus Mid East",2.4
"2498","2006","Sugar beet","Dublin plus Mid East",0.1
"2499","2007","Sugar beet","Dublin plus Mid East",NA
"2500","1991","Fodder beet","Dublin plus Mid East",1.4
"2501","1992","Fodder beet","Dublin plus Mid East",1.7
"2502","1993","Fodder beet","Dublin plus Mid East",1.6
"2503","1994","Fodder beet","Dublin plus Mid East",1.3
"2504","1995","Fodder beet","Dublin plus Mid East",1.4
"2505","1996","Fodder beet","Dublin plus Mid East",1.4
"2506","1997","Fodder beet","Dublin plus Mid East",1.3
"2507","1998","Fodder beet","Dublin plus Mid East",1.2
"2508","1999","Fodder beet","Dublin plus Mid East",1.2
"2509","2000","Fodder beet","Dublin plus Mid East",0.7
"2510","2001","Fodder beet","Dublin plus Mid East",0.4
"2511","2002","Fodder beet","Dublin plus Mid East",0.8
"2512","2003","Fodder beet","Dublin plus Mid East",0.4
"2513","2004","Fodder beet","Dublin plus Mid East",0.4
"2514","2005","Fodder beet","Dublin plus Mid East",0.4
"2515","2006","Fodder beet","Dublin plus Mid East",0.6
"2516","2007","Fodder beet","Dublin plus Mid East",NA
"2517","1991","Kale and field cabbage","Dublin plus Mid East",0.3
"2518","1992","Kale and field cabbage","Dublin plus Mid East",0.3
"2519","1993","Kale and field cabbage","Dublin plus Mid East",0.3
"2520","1994","Kale and field cabbage","Dublin plus Mid East",0.3
"2521","1995","Kale and field cabbage","Dublin plus Mid East",0.3
"2522","1996","Kale and field cabbage","Dublin plus Mid East",0.2
"2523","1997","Kale and field cabbage","Dublin plus Mid East",0.3
"2524","1998","Kale and field cabbage","Dublin plus Mid East",0.2
"2525","1999","Kale and field cabbage","Dublin plus Mid East",0.2
"2526","2000","Kale and field cabbage","Dublin plus Mid East",NA
"2527","2001","Kale and field cabbage","Dublin plus Mid East",NA
"2528","2002","Kale and field cabbage","Dublin plus Mid East",NA
"2529","2003","Kale and field cabbage","Dublin plus Mid East",NA
"2530","2004","Kale and field cabbage","Dublin plus Mid East",NA
"2531","2005","Kale and field cabbage","Dublin plus Mid East",NA
"2532","2006","Kale and field cabbage","Dublin plus Mid East",NA
"2533","2007","Kale and field cabbage","Dublin plus Mid East",NA
"2534","1991","Vegetables for sale","Dublin plus Mid East",2.1
"2535","1992","Vegetables for sale","Dublin plus Mid East",2
"2536","1993","Vegetables for sale","Dublin plus Mid East",2.1
"2537","1994","Vegetables for sale","Dublin plus Mid East",2.1
"2538","1995","Vegetables for sale","Dublin plus Mid East",2.2
"2539","1996","Vegetables for sale","Dublin plus Mid East",2.1
"2540","1997","Vegetables for sale","Dublin plus Mid East",2.2
"2541","1998","Vegetables for sale","Dublin plus Mid East",2.5
"2542","1999","Vegetables for sale","Dublin plus Mid East",2.4
"2543","2000","Vegetables for sale","Dublin plus Mid East",2
"2544","2001","Vegetables for sale","Dublin plus Mid East",2.4
"2545","2002","Vegetables for sale","Dublin plus Mid East",2
"2546","2003","Vegetables for sale","Dublin plus Mid East",2.1
"2547","2004","Vegetables for sale","Dublin plus Mid East",1.9
"2548","2005","Vegetables for sale","Dublin plus Mid East",2.1
"2549","2006","Vegetables for sale","Dublin plus Mid East",2
"2550","2007","Vegetables for sale","Dublin plus Mid East",2
"2551","1991","Fruit","Dublin plus Mid East",0.5
"2552","1992","Fruit","Dublin plus Mid East",0.6
"2553","1993","Fruit","Dublin plus Mid East",0.4
"2554","1994","Fruit","Dublin plus Mid East",0.5
"2555","1995","Fruit","Dublin plus Mid East",0.5
"2556","1996","Fruit","Dublin plus Mid East",0.5
"2557","1997","Fruit","Dublin plus Mid East",0.5
"2558","1998","Fruit","Dublin plus Mid East",0.5
"2559","1999","Fruit","Dublin plus Mid East",0.5
"2560","2000","Fruit","Dublin plus Mid East",0.4
"2561","2001","Fruit","Dublin plus Mid East",0.3
"2562","2002","Fruit","Dublin plus Mid East",0.5
"2563","2003","Fruit","Dublin plus Mid East",0.4
"2564","2004","Fruit","Dublin plus Mid East",0.4
"2565","2005","Fruit","Dublin plus Mid East",0.6
"2566","2006","Fruit","Dublin plus Mid East",0.5
"2567","2007","Fruit","Dublin plus Mid East",0.5
"2568","1991","Nurseries, horticulture etc.","Dublin plus Mid East",0.2
"2569","1992","Nurseries, horticulture etc.","Dublin plus Mid East",0.2
"2570","1993","Nurseries, horticulture etc.","Dublin plus Mid East",0.3
"2571","1994","Nurseries, horticulture etc.","Dublin plus Mid East",0.4
"2572","1995","Nurseries, horticulture etc.","Dublin plus Mid East",0.3
"2573","1996","Nurseries, horticulture etc.","Dublin plus Mid East",0.2
"2574","1997","Nurseries, horticulture etc.","Dublin plus Mid East",0.2
"2575","1998","Nurseries, horticulture etc.","Dublin plus Mid East",0.2
"2576","1999","Nurseries, horticulture etc.","Dublin plus Mid East",0.3
"2577","2000","Nurseries, horticulture etc.","Dublin plus Mid East",0.4
"2578","2001","Nurseries, horticulture etc.","Dublin plus Mid East",0.3
"2579","2002","Nurseries, horticulture etc.","Dublin plus Mid East",0.3
"2580","2003","Nurseries, horticulture etc.","Dublin plus Mid East",0.4
"2581","2004","Nurseries, horticulture etc.","Dublin plus Mid East",0.7
"2582","2005","Nurseries, horticulture etc.","Dublin plus Mid East",0.6
"2583","2006","Nurseries, horticulture etc.","Dublin plus Mid East",0.7
"2584","2007","Nurseries, horticulture etc.","Dublin plus Mid East",0.6
"2585","1991","Other crops","Dublin plus Mid East",0.7
"2586","1992","Other crops","Dublin plus Mid East",1.1
"2587","1993","Other crops","Dublin plus Mid East",10.8
"2588","1994","Other crops","Dublin plus Mid East",12.1
"2589","1995","Other crops","Dublin plus Mid East",11.5
"2590","1996","Other crops","Dublin plus Mid East",7.5
"2591","1997","Other crops","Dublin plus Mid East",5
"2592","1998","Other crops","Dublin plus Mid East",5.7
"2593","1999","Other crops","Dublin plus Mid East",9.6
"2594","2000","Other crops","Dublin plus Mid East",4.9
"2595","2001","Other crops","Dublin plus Mid East",5.1
"2596","2002","Other crops","Dublin plus Mid East",5.3
"2597","2003","Other crops","Dublin plus Mid East",7.5
"2598","2004","Other crops","Dublin plus Mid East",5.1
"2599","2005","Other crops","Dublin plus Mid East",5.5
"2600","2006","Other crops","Dublin plus Mid East",6.9
"2601","2007","Other crops","Dublin plus Mid East",5.1
"2602","1991","Total cereals","Dublin plus Mid East",78.4
"2603","1992","Total cereals","Dublin plus Mid East",80.6
"2604","1993","Total cereals","Dublin plus Mid East",74.5
"2605","1994","Total cereals","Dublin plus Mid East",71.3
"2606","1995","Total cereals","Dublin plus Mid East",76.5
"2607","1996","Total cereals","Dublin plus Mid East",81.5
"2608","1997","Total cereals","Dublin plus Mid East",83.6
"2609","1998","Total cereals","Dublin plus Mid East",81.7
"2610","1999","Total cereals","Dublin plus Mid East",76.8
"2611","2000","Total cereals","Dublin plus Mid East",71
"2612","2001","Total cereals","Dublin plus Mid East",73.4
"2613","2002","Total cereals","Dublin plus Mid East",77.5
"2614","2003","Total cereals","Dublin plus Mid East",76.1
"2615","2004","Total cereals","Dublin plus Mid East",77.7
"2616","2005","Total cereals","Dublin plus Mid East",73
"2617","2006","Total cereals","Dublin plus Mid East",69.8
"2618","2007","Total cereals","Dublin plus Mid East",71.9
"2619","1991","Total wheat","Dublin plus Mid East",37.8
"2620","1992","Total wheat","Dublin plus Mid East",41.3
"2621","1993","Total wheat","Dublin plus Mid East",36.4
"2622","1994","Total wheat","Dublin plus Mid East",34.3
"2623","1995","Total wheat","Dublin plus Mid East",36.1
"2624","1996","Total wheat","Dublin plus Mid East",41.7
"2625","1997","Total wheat","Dublin plus Mid East",41.2
"2626","1998","Total wheat","Dublin plus Mid East",39
"2627","1999","Total wheat","Dublin plus Mid East",30.9
"2628","2000","Total wheat","Dublin plus Mid East",36.7
"2629","2001","Total wheat","Dublin plus Mid East",38.4
"2630","2002","Total wheat","Dublin plus Mid East",44
"2631","2003","Total wheat","Dublin plus Mid East",41.4
"2632","2004","Total wheat","Dublin plus Mid East",41.9
"2633","2005","Total wheat","Dublin plus Mid East",40.2
"2634","2006","Total wheat","Dublin plus Mid East",36.4
"2635","2007","Total wheat","Dublin plus Mid East",36.9
"2636","1991","Winter wheat","Dublin plus Mid East",33.7
"2637","1992","Winter wheat","Dublin plus Mid East",37
"2638","1993","Winter wheat","Dublin plus Mid East",30.6
"2639","1994","Winter wheat","Dublin plus Mid East",30.1
"2640","1995","Winter wheat","Dublin plus Mid East",31
"2641","1996","Winter wheat","Dublin plus Mid East",38
"2642","1997","Winter wheat","Dublin plus Mid East",35.1
"2643","1998","Winter wheat","Dublin plus Mid East",34.8
"2644","1999","Winter wheat","Dublin plus Mid East",21.2
"2645","2000","Winter wheat","Dublin plus Mid East",31.2
"2646","2001","Winter wheat","Dublin plus Mid East",26.5
"2647","2002","Winter wheat","Dublin plus Mid East",39.5
"2648","2003","Winter wheat","Dublin plus Mid East",30.2
"2649","2004","Winter wheat","Dublin plus Mid East",35.6
"2650","2005","Winter wheat","Dublin plus Mid East",31.7
"2651","2006","Winter wheat","Dublin plus Mid East",30.8
"2652","2007","Winter wheat","Dublin plus Mid East",32.7
"2653","1991","Spring wheat","Dublin plus Mid East",4.1
"2654","1992","Spring wheat","Dublin plus Mid East",4.3
"2655","1993","Spring wheat","Dublin plus Mid East",5.8
"2656","1994","Spring wheat","Dublin plus Mid East",4.1
"2657","1995","Spring wheat","Dublin plus Mid East",5.1
"2658","1996","Spring wheat","Dublin plus Mid East",3.7
"2659","1997","Spring wheat","Dublin plus Mid East",6.1
"2660","1998","Spring wheat","Dublin plus Mid East",4.2
"2661","1999","Spring wheat","Dublin plus Mid East",9.6
"2662","2000","Spring wheat","Dublin plus Mid East",5.5
"2663","2001","Spring wheat","Dublin plus Mid East",11.9
"2664","2002","Spring wheat","Dublin plus Mid East",4.4
"2665","2003","Spring wheat","Dublin plus Mid East",11.1
"2666","2004","Spring wheat","Dublin plus Mid East",6.3
"2667","2005","Spring wheat","Dublin plus Mid East",8.4
"2668","2006","Spring wheat","Dublin plus Mid East",5.6
"2669","2007","Spring wheat","Dublin plus Mid East",4.2
"2670","1991","Total oats","Dublin plus Mid East",4.6
"2671","1992","Total oats","Dublin plus Mid East",4.8
"2672","1993","Total oats","Dublin plus Mid East",5.6
"2673","1994","Total oats","Dublin plus Mid East",5.9
"2674","1995","Total oats","Dublin plus Mid East",5.7
"2675","1996","Total oats","Dublin plus Mid East",6
"2676","1997","Total oats","Dublin plus Mid East",6.4
"2677","1998","Total oats","Dublin plus Mid East",6.2
"2678","1999","Total oats","Dublin plus Mid East",5.3
"2679","2000","Total oats","Dublin plus Mid East",4
"2680","2001","Total oats","Dublin plus Mid East",3.9
"2681","2002","Total oats","Dublin plus Mid East",4.3
"2682","2003","Total oats","Dublin plus Mid East",4.8
"2683","2004","Total oats","Dublin plus Mid East",4.7
"2684","2005","Total oats","Dublin plus Mid East",4
"2685","2006","Total oats","Dublin plus Mid East",5.3
"2686","2007","Total oats","Dublin plus Mid East",5
"2687","1991","Winter oats","Dublin plus Mid East",3.7
"2688","1992","Winter oats","Dublin plus Mid East",3.8
"2689","1993","Winter oats","Dublin plus Mid East",4.2
"2690","1994","Winter oats","Dublin plus Mid East",4.9
"2691","1995","Winter oats","Dublin plus Mid East",4.5
"2692","1996","Winter oats","Dublin plus Mid East",5.1
"2693","1997","Winter oats","Dublin plus Mid East",5
"2694","1998","Winter oats","Dublin plus Mid East",5
"2695","1999","Winter oats","Dublin plus Mid East",2.8
"2696","2000","Winter oats","Dublin plus Mid East",2.9
"2697","2001","Winter oats","Dublin plus Mid East",2.2
"2698","2002","Winter oats","Dublin plus Mid East",3.5
"2699","2003","Winter oats","Dublin plus Mid East",2.6
"2700","2004","Winter oats","Dublin plus Mid East",3.6
"2701","2005","Winter oats","Dublin plus Mid East",2.4
"2702","2006","Winter oats","Dublin plus Mid East",2.6
"2703","2007","Winter oats","Dublin plus Mid East",3.4
"2704","1991","Spring oats","Dublin plus Mid East",0.9
"2705","1992","Spring oats","Dublin plus Mid East",1.1
"2706","1993","Spring oats","Dublin plus Mid East",1.4
"2707","1994","Spring oats","Dublin plus Mid East",1
"2708","1995","Spring oats","Dublin plus Mid East",1.2
"2709","1996","Spring oats","Dublin plus Mid East",1
"2710","1997","Spring oats","Dublin plus Mid East",1.5
"2711","1998","Spring oats","Dublin plus Mid East",1.1
"2712","1999","Spring oats","Dublin plus Mid East",2.5
"2713","2000","Spring oats","Dublin plus Mid East",1
"2714","2001","Spring oats","Dublin plus Mid East",1.7
"2715","2002","Spring oats","Dublin plus Mid East",0.8
"2716","2003","Spring oats","Dublin plus Mid East",2.2
"2717","2004","Spring oats","Dublin plus Mid East",1
"2718","2005","Spring oats","Dublin plus Mid East",1.6
"2719","2006","Spring oats","Dublin plus Mid East",2.7
"2720","2007","Spring oats","Dublin plus Mid East",1.6
"2721","1991","Total barley","Dublin plus Mid East",35.7
"2722","1992","Total barley","Dublin plus Mid East",33.6
"2723","1993","Total barley","Dublin plus Mid East",31.8
"2724","1994","Total barley","Dublin plus Mid East",30.4
"2725","1995","Total barley","Dublin plus Mid East",34
"2726","1996","Total barley","Dublin plus Mid East",32.9
"2727","1997","Total barley","Dublin plus Mid East",35
"2728","1998","Total barley","Dublin plus Mid East",35.3
"2729","1999","Total barley","Dublin plus Mid East",38.2
"2730","2000","Total barley","Dublin plus Mid East",30
"2731","2001","Total barley","Dublin plus Mid East",30.7
"2732","2002","Total barley","Dublin plus Mid East",28.9
"2733","2003","Total barley","Dublin plus Mid East",29.4
"2734","2004","Total barley","Dublin plus Mid East",30.6
"2735","2005","Total barley","Dublin plus Mid East",28.2
"2736","2006","Total barley","Dublin plus Mid East",27.5
"2737","2007","Total barley","Dublin plus Mid East",29.2
"2738","1991","Winter barley","Dublin plus Mid East",13.5
"2739","1992","Winter barley","Dublin plus Mid East",14.9
"2740","1993","Winter barley","Dublin plus Mid East",14.4
"2741","1994","Winter barley","Dublin plus Mid East",11.5
"2742","1995","Winter barley","Dublin plus Mid East",13.7
"2743","1996","Winter barley","Dublin plus Mid East",15.2
"2744","1997","Winter barley","Dublin plus Mid East",15.4
"2745","1998","Winter barley","Dublin plus Mid East",14.6
"2746","1999","Winter barley","Dublin plus Mid East",9.5
"2747","2000","Winter barley","Dublin plus Mid East",8
"2748","2001","Winter barley","Dublin plus Mid East",7.4
"2749","2002","Winter barley","Dublin plus Mid East",6.9
"2750","2003","Winter barley","Dublin plus Mid East",6.2
"2751","2004","Winter barley","Dublin plus Mid East",6.3
"2752","2005","Winter barley","Dublin plus Mid East",5.4
"2753","2006","Winter barley","Dublin plus Mid East",4.5
"2754","2007","Winter barley","Dublin plus Mid East",5.8
"2755","1991","Spring barley","Dublin plus Mid East",22.2
"2756","1992","Spring barley","Dublin plus Mid East",18.6
"2757","1993","Spring barley","Dublin plus Mid East",17.3
"2758","1994","Spring barley","Dublin plus Mid East",18.9
"2759","1995","Spring barley","Dublin plus Mid East",20.3
"2760","1996","Spring barley","Dublin plus Mid East",17.6
"2761","1997","Spring barley","Dublin plus Mid East",19.5
"2762","1998","Spring barley","Dublin plus Mid East",20.8
"2763","1999","Spring barley","Dublin plus Mid East",28.7
"2764","2000","Spring barley","Dublin plus Mid East",22
"2765","2001","Spring barley","Dublin plus Mid East",23.3
"2766","2002","Spring barley","Dublin plus Mid East",22
"2767","2003","Spring barley","Dublin plus Mid East",23.2
"2768","2004","Spring barley","Dublin plus Mid East",24.3
"2769","2005","Spring barley","Dublin plus Mid East",22.8
"2770","2006","Spring barley","Dublin plus Mid East",23
"2771","2007","Spring barley","Dublin plus Mid East",23.4
"2772","1991","Other cereals","Dublin plus Mid East",0.4
"2773","1992","Other cereals","Dublin plus Mid East",0.9
"2774","1993","Other cereals","Dublin plus Mid East",0.7
"2775","1994","Other cereals","Dublin plus Mid East",0.8
"2776","1995","Other cereals","Dublin plus Mid East",0.7
"2777","1996","Other cereals","Dublin plus Mid East",0.9
"2778","1997","Other cereals","Dublin plus Mid East",1.1
"2779","1998","Other cereals","Dublin plus Mid East",1.2
"2780","1999","Other cereals","Dublin plus Mid East",2.5
"2781","2000","Other cereals","Dublin plus Mid East",0.4
"2782","2001","Other cereals","Dublin plus Mid East",0.4
"2783","2002","Other cereals","Dublin plus Mid East",0.3
"2784","2003","Other cereals","Dublin plus Mid East",0.5
"2785","2004","Other cereals","Dublin plus Mid East",0.5
"2786","2005","Other cereals","Dublin plus Mid East",0.6
"2787","2006","Other cereals","Dublin plus Mid East",0.6
"2788","2007","Other cereals","Dublin plus Mid East",0.7
"2789","1991","Rough grazing in use","Dublin plus Mid East",28.3
"2790","1992","Rough grazing in use","Dublin plus Mid East",28.8
"2791","1993","Rough grazing in use","Dublin plus Mid East",26.2
"2792","1994","Rough grazing in use","Dublin plus Mid East",24.7
"2793","1995","Rough grazing in use","Dublin plus Mid East",26.6
"2794","1996","Rough grazing in use","Dublin plus Mid East",21.7
"2795","1997","Rough grazing in use","Dublin plus Mid East",27.1
"2796","1998","Rough grazing in use","Dublin plus Mid East",19.9
"2797","1999","Rough grazing in use","Dublin plus Mid East",24.6
"2798","2000","Rough grazing in use","Dublin plus Mid East",20.9
"2799","2001","Rough grazing in use","Dublin plus Mid East",16.9
"2800","2002","Rough grazing in use","Dublin plus Mid East",18.2
"2801","2003","Rough grazing in use","Dublin plus Mid East",16.6
"2802","2004","Rough grazing in use","Dublin plus Mid East",14.4
"2803","2005","Rough grazing in use","Dublin plus Mid East",16.8
"2804","2006","Rough grazing in use","Dublin plus Mid East",17.1
"2805","2007","Rough grazing in use","Dublin plus Mid East",15.1
"2806","1991","Area farmed (AAU)","Mid-West",563.4
"2807","1992","Area farmed (AAU)","Mid-West",564.4
"2808","1993","Area farmed (AAU)","Mid-West",551.7
"2809","1994","Area farmed (AAU)","Mid-West",546.4
"2810","1995","Area farmed (AAU)","Mid-West",545
"2811","1996","Area farmed (AAU)","Mid-West",545.9
"2812","1997","Area farmed (AAU)","Mid-West",557.5
"2813","1998","Area farmed (AAU)","Mid-West",564.5
"2814","1999","Area farmed (AAU)","Mid-West",557.4
"2815","2000","Area farmed (AAU)","Mid-West",561.9
"2816","2001","Area farmed (AAU)","Mid-West",561
"2817","2002","Area farmed (AAU)","Mid-West",557.9
"2818","2003","Area farmed (AAU)","Mid-West",558.5
"2819","2004","Area farmed (AAU)","Mid-West",548.7
"2820","2005","Area farmed (AAU)","Mid-West",541.8
"2821","2006","Area farmed (AAU)","Mid-West",536.4
"2822","2007","Area farmed (AAU)","Mid-West",534.5
"2823","1991","Crops and pasture","Mid-West",498.4
"2824","1992","Crops and pasture","Mid-West",501.6
"2825","1993","Crops and pasture","Mid-West",501.8
"2826","1994","Crops and pasture","Mid-West",501.5
"2827","1995","Crops and pasture","Mid-West",498.8
"2828","1996","Crops and pasture","Mid-West",506.5
"2829","1997","Crops and pasture","Mid-West",511.5
"2830","1998","Crops and pasture","Mid-West",522.2
"2831","1999","Crops and pasture","Mid-West",512.3
"2832","2000","Crops and pasture","Mid-West",518.7
"2833","2001","Crops and pasture","Mid-West",516.6
"2834","2002","Crops and pasture","Mid-West",514.5
"2835","2003","Crops and pasture","Mid-West",513
"2836","2004","Crops and pasture","Mid-West",503.2
"2837","2005","Crops and pasture","Mid-West",495.4
"2838","2006","Crops and pasture","Mid-West",489.4
"2839","2007","Crops and pasture","Mid-West",493.6
"2840","1991","Pasture","Mid-West",307.3
"2841","1992","Pasture","Mid-West",302.9
"2842","1993","Pasture","Mid-West",295.3
"2843","1994","Pasture","Mid-West",293.6
"2844","1995","Pasture","Mid-West",297.9
"2845","1996","Pasture","Mid-West",302.9
"2846","1997","Pasture","Mid-West",311.7
"2847","1998","Pasture","Mid-West",325.9
"2848","1999","Pasture","Mid-West",318.5
"2849","2000","Pasture","Mid-West",306
"2850","2001","Pasture","Mid-West",299.3
"2851","2002","Pasture","Mid-West",311.3
"2852","2003","Pasture","Mid-West",314.2
"2853","2004","Pasture","Mid-West",302.6
"2854","2005","Pasture","Mid-West",266.7
"2855","2006","Pasture","Mid-West",257.2
"2856","2007","Pasture","Mid-West",291.3
"2857","1991","Hay","Mid-West",63.8
"2858","1992","Hay","Mid-West",65.7
"2859","1993","Hay","Mid-West",65.1
"2860","1994","Hay","Mid-West",59.1
"2861","1995","Hay","Mid-West",52.9
"2862","1996","Hay","Mid-West",52.9
"2863","1997","Hay","Mid-West",49.5
"2864","1998","Hay","Mid-West",39.1
"2865","1999","Hay","Mid-West",34.8
"2866","2000","Hay","Mid-West",37.4
