"","Year","Region","Type.of.Land.Use","value"
"1307","2012","Dublin plus Mid East","Spring barley",24.1
"1308","2013","Dublin plus Mid East","Spring barley",41.3
"1309","2008","Border","Spring barley",9.8
"1310","2009","Border","Spring barley",10.1
"1311","2010","Border","Spring barley",8.5
"1312","2011","Border","Spring barley",8.9
"1313","2012","Border","Spring barley",9.1
"1314","2013","Border","Spring barley",11.7
"1315","2008","Midland","Spring barley",21.2
"1316","2009","Midland","Spring barley",21.9
"1317","2010","Midland","Spring barley",18.6
"1318","2011","Midland","Spring barley",19.1
"1319","2012","Midland","Spring barley",21.8
"1320","2013","Midland","Spring barley",23.4
"1321","2008","West","Spring barley",3.6
"1322","2009","West","Spring barley",3.5
"1323","2010","West","Spring barley",2.9
"1324","2011","West","Spring barley",3.3
"1325","2012","West","Spring barley",4.1
"1326","2013","West","Spring barley",4.3
"1327","2008","Mid-West","Spring barley",8.1
"1328","2009","Mid-West","Spring barley",8.5
"1329","2010","Mid-West","Spring barley",6.5
"1330","2011","Mid-West","Spring barley",6.1
"1331","2012","Mid-West","Spring barley",6.6
"1332","2013","Mid-West","Spring barley",7.8
"1333","2008","South-East","Spring barley",69
"1334","2009","South-East","Spring barley",70.9
"1335","2010","South-East","Spring barley",59.4
"1336","2011","South-East","Spring barley",59
"1337","2012","South-East","Spring barley",60.8
"1338","2013","South-East","Spring barley",68.2
"1339","2008","South-West","Spring barley",29.2
"1340","2009","South-West","Spring barley",30.2
"1341","2010","South-West","Spring barley",24.4
"1342","2011","South-West","Spring barley",24
"1343","2012","South-West","Spring barley",25.3
"1344","2013","South-West","Spring barley",26.8
"1345","2008","State","Other cereals",1.3
"1346","2009","State","Other cereals",1.3
"1347","2010","State","Other cereals",1.6
"1348","2011","State","Other cereals",1.2
"1349","2012","State","Other cereals",0.9
"1350","2013","State","Other cereals",1.1
"1351","2008","Dublin plus Mid East","Other cereals",0.3
"1352","2009","Dublin plus Mid East","Other cereals",0.3
"1353","2010","Dublin plus Mid East","Other cereals",0.4
"1354","2011","Dublin plus Mid East","Other cereals",0.4
"1355","2012","Dublin plus Mid East","Other cereals",0.2
"1356","2013","Dublin plus Mid East","Other cereals",0.3
"1357","2008","Border","Other cereals",0.1
"1358","2009","Border","Other cereals",0.1
"1359","2010","Border","Other cereals",0.1
"1360","2011","Border","Other cereals",0.1
"1361","2012","Border","Other cereals",0.1
"1362","2013","Border","Other cereals",0.2
"1363","2008","Midland","Other cereals",0.2
"1364","2009","Midland","Other cereals",0.2
"1365","2010","Midland","Other cereals",0.2
"1366","2011","Midland","Other cereals",0.2
"1367","2012","Midland","Other cereals",0.2
"1368","2013","Midland","Other cereals",0.2
"1369","2008","West","Other cereals",0.1
"1370","2009","West","Other cereals",0.2
"1371","2010","West","Other cereals",0.3
"1372","2011","West","Other cereals",0.2
"1373","2012","West","Other cereals",0.1
"1374","2013","West","Other cereals",0.1
"1375","2008","Mid-West","Other cereals",0
"1376","2009","Mid-West","Other cereals",0.1
"1377","2010","Mid-West","Other cereals",0
"1378","2011","Mid-West","Other cereals",0
"1379","2012","Mid-West","Other cereals",0
"1380","2013","Mid-West","Other cereals",0
"1381","2008","South-East","Other cereals",0.3
"1382","2009","South-East","Other cereals",0.3
"1383","2010","South-East","Other cereals",0.3
"1384","2011","South-East","Other cereals",0.2
"1385","2012","South-East","Other cereals",0.2
"1386","2013","South-East","Other cereals",0.3
"1387","2008","South-West","Other cereals",0.3
"1388","2009","South-West","Other cereals",0.2
"1389","2010","South-West","Other cereals",0.2
"1390","2011","South-West","Other cereals",0.1
"1391","2012","South-West","Other cereals",0.1
"1392","2013","South-West","Other cereals",0.1
"1393","2008","State","Rough grazing in use",500.4
"1394","2009","State","Rough grazing in use",492.1
"1395","2010","State","Rough grazing in use",437.3
"1396","2011","State","Rough grazing in use",447.3
"1397","2012","State","Rough grazing in use",481.2
"1398","2013","State","Rough grazing in use",473.5
"1399","2008","Dublin plus Mid East","Rough grazing in use",16.8
"1400","2009","Dublin plus Mid East","Rough grazing in use",15.2
"1401","2010","Dublin plus Mid East","Rough grazing in use",18.2
"1402","2011","Dublin plus Mid East","Rough grazing in use",17.6
"1403","2012","Dublin plus Mid East","Rough grazing in use",24.1
"1404","2013","Dublin plus Mid East","Rough grazing in use",26.6
"1405","2008","Border","Rough grazing in use",130.1
"1406","2009","Border","Rough grazing in use",131
"1407","2010","Border","Rough grazing in use",115
"1408","2011","Border","Rough grazing in use",119.6
"1409","2012","Border","Rough grazing in use",127.1
"1410","2013","Border","Rough grazing in use",123.5
"1411","2008","Midland","Rough grazing in use",17.6
"1412","2009","Midland","Rough grazing in use",14.6
"1413","2010","Midland","Rough grazing in use",17.7
"1414","2011","Midland","Rough grazing in use",15.2
"1415","2012","Midland","Rough grazing in use",17.1
"1416","2013","Midland","Rough grazing in use",18.1
"1417","2008","West","Rough grazing in use",121.2
"1418","2009","West","Rough grazing in use",118.2
"1419","2010","West","Rough grazing in use",101.4
"1420","2011","West","Rough grazing in use",109.8
"1421","2012","West","Rough grazing in use",119.1
"1422","2013","West","Rough grazing in use",107.5
"1423","2008","Mid-West","Rough grazing in use",48.9
"1424","2009","Mid-West","Rough grazing in use",48.8
"1425","2010","Mid-West","Rough grazing in use",42.4
"1426","2011","Mid-West","Rough grazing in use",38.3
"1427","2012","Mid-West","Rough grazing in use",37.8
"1428","2013","Mid-West","Rough grazing in use",36.3
"1429","2008","South-East","Rough grazing in use",30.7
"1430","2009","South-East","Rough grazing in use",28.8
"1431","2010","South-East","Rough grazing in use",25.8
"1432","2011","South-East","Rough grazing in use",24.9
"1433","2012","South-East","Rough grazing in use",32.9
"1434","2013","South-East","Rough grazing in use",34.9
"1435","2008","South-West","Rough grazing in use",135.1
"1436","2009","South-West","Rough grazing in use",135.5
"1437","2010","South-West","Rough grazing in use",116.8
"1438","2011","South-West","Rough grazing in use",122.1
"1439","2012","South-West","Rough grazing in use",123.1
"1440","2013","South-West","Rough grazing in use",126.6
