"","Year","Farm.Land.Utilisation","Rural.District","value"
"28461","1965","Horticultural bulbs, flowers and bushes","Nenagh",7
"28462","1970","Horticultural bulbs, flowers and bushes","Nenagh",4
"28463","1975","Horticultural bulbs, flowers and bushes","Nenagh",5
"28464","1980","Horticultural bulbs, flowers and bushes","Nenagh",3
"28465","1926","Hay","Nenagh",15037
"28466","1933","Hay","Nenagh",16077
"28467","1955","Hay","Nenagh",11652
"28468","1960","Hay","Nenagh",11915
"28469","1965","Hay","Nenagh",12580
"28470","1970","Hay","Nenagh",12007
"28471","1975","Hay","Nenagh",13666
"28472","1980","Hay","Nenagh",16177
"28473","1926","Rye grass for seed","Nenagh",NA
"28474","1933","Rye grass for seed","Nenagh",NA
"28475","1955","Rye grass for seed","Nenagh",NA
"28476","1960","Rye grass for seed","Nenagh",3
"28477","1965","Rye grass for seed","Nenagh",3
"28478","1970","Rye grass for seed","Nenagh",0
"28479","1975","Rye grass for seed","Nenagh",0
"28480","1980","Rye grass for seed","Nenagh",22
"28481","1926","First to fourth years hay","Nenagh",NA
"28482","1933","First to fourth years hay","Nenagh",NA
"28483","1955","First to fourth years hay","Nenagh",NA
"28484","1960","First to fourth years hay","Nenagh",NA
"28485","1965","First to fourth years hay","Nenagh",NA
"28486","1970","First to fourth years hay","Nenagh",NA
"28487","1975","First to fourth years hay","Nenagh",1484
"28488","1980","First to fourth years hay","Nenagh",1736
"28489","1926","Permanent meadow","Nenagh",NA
"28490","1933","Permanent meadow","Nenagh",NA
"28491","1955","Permanent meadow","Nenagh",NA
"28492","1960","Permanent meadow","Nenagh",NA
"28493","1965","Permanent meadow","Nenagh",NA
"28494","1970","Permanent meadow","Nenagh",NA
"28495","1975","Permanent meadow","Nenagh",12182
"28496","1980","Permanent meadow","Nenagh",14419
"28497","1926","Pasture","Nenagh",41592
"28498","1933","Pasture","Nenagh",38898
"28499","1955","Pasture","Nenagh",39872
"28500","1960","Pasture","Nenagh",38797
"28501","1965","Pasture","Nenagh",40026
"28502","1970","Pasture","Nenagh",41825
"28503","1975","Pasture","Nenagh",42130
"28504","1980","Pasture","Nenagh",39432
"28505","1926","Rough grazing in use","Nenagh",NA
"28506","1933","Rough grazing in use","Nenagh",NA
"28507","1955","Rough grazing in use","Nenagh",NA
"28508","1960","Rough grazing in use","Nenagh",NA
"28509","1965","Rough grazing in use","Nenagh",NA
"28510","1970","Rough grazing in use","Nenagh",NA
"28511","1975","Rough grazing in use","Nenagh",8512
"28512","1980","Rough grazing in use","Nenagh",7436
"28513","1926","Other land","Nenagh",NA
"28514","1933","Other land","Nenagh",NA
"28515","1955","Other land","Nenagh",NA
"28516","1960","Other land","Nenagh",NA
"28517","1965","Other land","Nenagh",NA
"28518","1970","Other land","Nenagh",NA
"28519","1975","Other land","Nenagh",7246
"28520","1980","Other land","Nenagh",7899
"28521","1926","Total Area","Roscrea No.1",23286
"28522","1933","Total Area","Roscrea No.1",23286
"28523","1955","Total Area","Roscrea No.1",23286
"28524","1960","Total Area","Roscrea No.1",22509
"28525","1965","Total Area","Roscrea No.1",23286
"28526","1970","Total Area","Roscrea No.1",23286
"28527","1975","Total Area","Roscrea No.1",23286
"28528","1980","Total Area","Roscrea No.1",23286
"28529","1926","Crops, hay, pasture and rough grazing","Roscrea No.1",NA
"28530","1933","Crops, hay, pasture and rough grazing","Roscrea No.1",NA
"28531","1955","Crops, hay, pasture and rough grazing","Roscrea No.1",NA
"28532","1960","Crops, hay, pasture and rough grazing","Roscrea No.1",NA
"28533","1965","Crops, hay, pasture and rough grazing","Roscrea No.1",NA
"28534","1970","Crops, hay, pasture and rough grazing","Roscrea No.1",NA
"28535","1975","Crops, hay, pasture and rough grazing","Roscrea No.1",20913
"28536","1980","Crops, hay, pasture and rough grazing","Roscrea No.1",20801
"28537","1926","Crops, hay and pasture","Roscrea No.1",19005
"28538","1933","Crops, hay and pasture","Roscrea No.1",18486
"28539","1955","Crops, hay and pasture","Roscrea No.1",17071
"28540","1960","Crops, hay and pasture","Roscrea No.1",17215
"28541","1965","Crops, hay and pasture","Roscrea No.1",18578
"28542","1970","Crops, hay and pasture","Roscrea No.1",19449
"28543","1975","Crops, hay and pasture","Roscrea No.1",18861
"28544","1980","Crops, hay and pasture","Roscrea No.1",19583
"28545","1926","Crops including fruit and horticultural","Roscrea No.1",1633
"28546","1933","Crops including fruit and horticultural","Roscrea No.1",1790
"28547","1955","Crops including fruit and horticultural","Roscrea No.1",2176
"28548","1960","Crops including fruit and horticultural","Roscrea No.1",1991
"28549","1965","Crops including fruit and horticultural","Roscrea No.1",1263
"28550","1970","Crops including fruit and horticultural","Roscrea No.1",1132
"28551","1975","Crops including fruit and horticultural","Roscrea No.1",787
"28552","1980","Crops including fruit and horticultural","Roscrea No.1",998
"28553","1926","Corn crops","Roscrea No.1",653
"28554","1933","Corn crops","Roscrea No.1",719
"28555","1955","Corn crops","Roscrea No.1",1081
"28556","1960","Corn crops","Roscrea No.1",998
"28557","1965","Corn crops","Roscrea No.1",614
"28558","1970","Corn crops","Roscrea No.1",656
"28559","1975","Corn crops","Roscrea No.1",549
"28560","1980","Corn crops","Roscrea No.1",837
"28561","1926","Wheat","Roscrea No.1",4
"28562","1933","Wheat","Roscrea No.1",40
"28563","1955","Wheat","Roscrea No.1",553
"28564","1960","Wheat","Roscrea No.1",403
"28565","1965","Wheat","Roscrea No.1",62
"28566","1970","Wheat","Roscrea No.1",56
"28567","1975","Wheat","Roscrea No.1",12
"28568","1980","Wheat","Roscrea No.1",56
"28569","1926","Spring wheat","Roscrea No.1",NA
"28570","1933","Spring wheat","Roscrea No.1",NA
"28571","1955","Spring wheat","Roscrea No.1",NA
"28572","1960","Spring wheat","Roscrea No.1",NA
"28573","1965","Spring wheat","Roscrea No.1",NA
"28574","1970","Spring wheat","Roscrea No.1",NA
"28575","1975","Spring wheat","Roscrea No.1",NA
"28576","1980","Spring wheat","Roscrea No.1",41
"28577","1926","Winter wheat","Roscrea No.1",NA
"28578","1933","Winter wheat","Roscrea No.1",NA
"28579","1955","Winter wheat","Roscrea No.1",NA
"28580","1960","Winter wheat","Roscrea No.1",NA
"28581","1965","Winter wheat","Roscrea No.1",NA
"28582","1970","Winter wheat","Roscrea No.1",NA
"28583","1975","Winter wheat","Roscrea No.1",NA
"28584","1980","Winter wheat","Roscrea No.1",15
"28585","1926","Oats","Roscrea No.1",467
"28586","1933","Oats","Roscrea No.1",574
"28587","1955","Oats","Roscrea No.1",351
"28588","1960","Oats","Roscrea No.1",273
"28589","1965","Oats","Roscrea No.1",146
"28590","1970","Oats","Roscrea No.1",59
"28591","1975","Oats","Roscrea No.1",42
"28592","1980","Oats","Roscrea No.1",33
"28593","1926","Barley","Roscrea No.1",180
"28594","1933","Barley","Roscrea No.1",105
"28595","1955","Barley","Roscrea No.1",177
"28596","1960","Barley","Roscrea No.1",323
"28597","1965","Barley","Roscrea No.1",407
"28598","1970","Barley","Roscrea No.1",534
"28599","1975","Barley","Roscrea No.1",490
"28600","1980","Barley","Roscrea No.1",748
"28601","1926","Malting barley","Roscrea No.1",NA
"28602","1933","Malting barley","Roscrea No.1",NA
"28603","1955","Malting barley","Roscrea No.1",NA
"28604","1960","Malting barley","Roscrea No.1",41
"28605","1965","Malting barley","Roscrea No.1",22
"28606","1970","Malting barley","Roscrea No.1",54
"28607","1975","Malting barley","Roscrea No.1",59
"28608","1980","Malting barley","Roscrea No.1",67
"28609","1926","Other barley","Roscrea No.1",NA
"28610","1933","Other barley","Roscrea No.1",NA
"28611","1955","Other barley","Roscrea No.1",NA
"28612","1960","Other barley","Roscrea No.1",282
"28613","1965","Other barley","Roscrea No.1",385
"28614","1970","Other barley","Roscrea No.1",480
"28615","1975","Other barley","Roscrea No.1",431
"28616","1980","Other barley","Roscrea No.1",681
"28617","1926","Spring barley","Roscrea No.1",NA
"28618","1933","Spring barley","Roscrea No.1",NA
"28619","1955","Spring barley","Roscrea No.1",NA
"28620","1960","Spring barley","Roscrea No.1",NA
"28621","1965","Spring barley","Roscrea No.1",NA
"28622","1970","Spring barley","Roscrea No.1",NA
"28623","1975","Spring barley","Roscrea No.1",NA
"28624","1980","Spring barley","Roscrea No.1",591
"28625","1926","Winter barley","Roscrea No.1",NA
"28626","1933","Winter barley","Roscrea No.1",NA
"28627","1955","Winter barley","Roscrea No.1",NA
"28628","1960","Winter barley","Roscrea No.1",NA
"28629","1965","Winter barley","Roscrea No.1",NA
"28630","1970","Winter barley","Roscrea No.1",NA
"28631","1975","Winter barley","Roscrea No.1",NA
"28632","1980","Winter barley","Roscrea No.1",90
"28633","1926","Other corn crops","Roscrea No.1",2
"28634","1933","Other corn crops","Roscrea No.1",0
"28635","1955","Other corn crops","Roscrea No.1",0
"28636","1960","Other corn crops","Roscrea No.1",0
"28637","1965","Other corn crops","Roscrea No.1",0
"28638","1970","Other corn crops","Roscrea No.1",8
"28639","1975","Other corn crops","Roscrea No.1",5
"28640","1980","Other corn crops","Roscrea No.1",0
"28641","1926","Root and green crops","Roscrea No.1",976
"28642","1933","Root and green crops","Roscrea No.1",1067
"28643","1955","Root and green crops","Roscrea No.1",1091
"28644","1960","Root and green crops","Roscrea No.1",982
"28645","1965","Root and green crops","Roscrea No.1",643
"28646","1970","Root and green crops","Roscrea No.1",476
"28647","1975","Root and green crops","Roscrea No.1",235
"28648","1980","Root and green crops","Roscrea No.1",161
"28649","1926","Potatoes","Roscrea No.1",444
"28650","1933","Potatoes","Roscrea No.1",456
"28651","1955","Potatoes","Roscrea No.1",373
"28652","1960","Potatoes","Roscrea No.1",294
"28653","1965","Potatoes","Roscrea No.1",166
"28654","1970","Potatoes","Roscrea No.1",144
"28655","1975","Potatoes","Roscrea No.1",87
"28656","1980","Potatoes","Roscrea No.1",73
"28657","1926","Turnips","Roscrea No.1",271
"28658","1933","Turnips","Roscrea No.1",300
"28659","1955","Turnips","Roscrea No.1",299
"28660","1960","Turnips","Roscrea No.1",238
"28661","1965","Turnips","Roscrea No.1",246
"28662","1970","Turnips","Roscrea No.1",189
"28663","1975","Turnips","Roscrea No.1",86
"28664","1980","Turnips","Roscrea No.1",45
"28665","1926","Sugar beet","Roscrea No.1",33
"28666","1933","Sugar beet","Roscrea No.1",31
"28667","1955","Sugar beet","Roscrea No.1",144
"28668","1960","Sugar beet","Roscrea No.1",91
"28669","1965","Sugar beet","Roscrea No.1",42
"28670","1970","Sugar beet","Roscrea No.1",15
"28671","1975","Sugar beet","Roscrea No.1",13
"28672","1980","Sugar beet","Roscrea No.1",9
"28673","1926","Other root and green crops","Roscrea No.1",228
"28674","1933","Other root and green crops","Roscrea No.1",281
"28675","1955","Other root and green crops","Roscrea No.1",275
"28676","1960","Other root and green crops","Roscrea No.1",359
"28677","1965","Other root and green crops","Roscrea No.1",188
"28678","1970","Other root and green crops","Roscrea No.1",127
"28679","1975","Other root and green crops","Roscrea No.1",49
"28680","1980","Other root and green crops","Roscrea No.1",34
"28681","1926","Fruit and horticulture","Roscrea No.1",4
"28682","1933","Fruit and horticulture","Roscrea No.1",4
"28683","1955","Fruit and horticulture","Roscrea No.1",3
"28684","1960","Fruit and horticulture","Roscrea No.1",11
"28685","1965","Fruit and horticulture","Roscrea No.1",6
"28686","1970","Fruit and horticulture","Roscrea No.1",1
"28687","1975","Fruit and horticulture","Roscrea No.1",3
"28688","1980","Fruit and horticulture","Roscrea No.1",0
"28689","1926","Apples","Roscrea No.1",NA
"28690","1933","Apples","Roscrea No.1",NA
"28691","1955","Apples","Roscrea No.1",NA
"28692","1960","Apples","Roscrea No.1",NA
"28693","1965","Apples","Roscrea No.1",5
"28694","1970","Apples","Roscrea No.1",0
"28695","1975","Apples","Roscrea No.1",1
"28696","1980","Apples","Roscrea No.1",0
"28697","1926","Fruit excluding apples","Roscrea No.1",NA
"28698","1933","Fruit excluding apples","Roscrea No.1",NA
"28699","1955","Fruit excluding apples","Roscrea No.1",NA
"28700","1960","Fruit excluding apples","Roscrea No.1",NA
"28701","1965","Fruit excluding apples","Roscrea No.1",0
"28702","1970","Fruit excluding apples","Roscrea No.1",0
"28703","1975","Fruit excluding apples","Roscrea No.1",0
"28704","1980","Fruit excluding apples","Roscrea No.1",0
"28705","1926","Horticultural bulbs, flowers and bushes","Roscrea No.1",NA
"28706","1933","Horticultural bulbs, flowers and bushes","Roscrea No.1",NA
"28707","1955","Horticultural bulbs, flowers and bushes","Roscrea No.1",NA
"28708","1960","Horticultural bulbs, flowers and bushes","Roscrea No.1",1
"28709","1965","Horticultural bulbs, flowers and bushes","Roscrea No.1",0
"28710","1970","Horticultural bulbs, flowers and bushes","Roscrea No.1",0
"28711","1975","Horticultural bulbs, flowers and bushes","Roscrea No.1",2
"28712","1980","Horticultural bulbs, flowers and bushes","Roscrea No.1",0
"28713","1926","Hay","Roscrea No.1",3107
"28714","1933","Hay","Roscrea No.1",3457
"28715","1955","Hay","Roscrea No.1",2908
"28716","1960","Hay","Roscrea No.1",3186
"28717","1965","Hay","Roscrea No.1",2903
"28718","1970","Hay","Roscrea No.1",3520
"28719","1975","Hay","Roscrea No.1",4649
"28720","1980","Hay","Roscrea No.1",5045
"28721","1926","Rye grass for seed","Roscrea No.1",NA
"28722","1933","Rye grass for seed","Roscrea No.1",NA
"28723","1955","Rye grass for seed","Roscrea No.1",NA
"28724","1960","Rye grass for seed","Roscrea No.1",7
"28725","1965","Rye grass for seed","Roscrea No.1",14
"28726","1970","Rye grass for seed","Roscrea No.1",4
"28727","1975","Rye grass for seed","Roscrea No.1",0
"28728","1980","Rye grass for seed","Roscrea No.1",0
"28729","1926","First to fourth years hay","Roscrea No.1",NA
"28730","1933","First to fourth years hay","Roscrea No.1",NA
"28731","1955","First to fourth years hay","Roscrea No.1",NA
"28732","1960","First to fourth years hay","Roscrea No.1",NA
"28733","1965","First to fourth years hay","Roscrea No.1",NA
"28734","1970","First to fourth years hay","Roscrea No.1",NA
"28735","1975","First to fourth years hay","Roscrea No.1",894
"28736","1980","First to fourth years hay","Roscrea No.1",839
"28737","1926","Permanent meadow","Roscrea No.1",NA
"28738","1933","Permanent meadow","Roscrea No.1",NA
"28739","1955","Permanent meadow","Roscrea No.1",NA
"28740","1960","Permanent meadow","Roscrea No.1",NA
"28741","1965","Permanent meadow","Roscrea No.1",NA
"28742","1970","Permanent meadow","Roscrea No.1",NA
"28743","1975","Permanent meadow","Roscrea No.1",3756
"28744","1980","Permanent meadow","Roscrea No.1",4206
"28745","1926","Pasture","Roscrea No.1",14266
"28746","1933","Pasture","Roscrea No.1",13239
"28747","1955","Pasture","Roscrea No.1",11987
"28748","1960","Pasture","Roscrea No.1",12039
"28749","1965","Pasture","Roscrea No.1",14412
"28750","1970","Pasture","Roscrea No.1",14797
"28751","1975","Pasture","Roscrea No.1",13425
"28752","1980","Pasture","Roscrea No.1",13540
"28753","1926","Rough grazing in use","Roscrea No.1",NA
"28754","1933","Rough grazing in use","Roscrea No.1",NA
"28755","1955","Rough grazing in use","Roscrea No.1",NA
"28756","1960","Rough grazing in use","Roscrea No.1",NA
"28757","1965","Rough grazing in use","Roscrea No.1",NA
"28758","1970","Rough grazing in use","Roscrea No.1",NA
"28759","1975","Rough grazing in use","Roscrea No.1",2051
"28760","1980","Rough grazing in use","Roscrea No.1",1218
"28761","1926","Other land","Roscrea No.1",NA
"28762","1933","Other land","Roscrea No.1",NA
"28763","1955","Other land","Roscrea No.1",NA
"28764","1960","Other land","Roscrea No.1",NA
"28765","1965","Other land","Roscrea No.1",NA
"28766","1970","Other land","Roscrea No.1",NA
"28767","1975","Other land","Roscrea No.1",2373
"28768","1980","Other land","Roscrea No.1",2485
"28769","1926","Total Area","Thurles",57730
"28770","1933","Total Area","Thurles",57730
"28771","1955","Total Area","Thurles",57731
"28772","1960","Total Area","Thurles",57500
"28773","1965","Total Area","Thurles",57731
"28774","1970","Total Area","Thurles",57731
"28775","1975","Total Area","Thurles",57731
"28776","1980","Total Area","Thurles",57731
"28777","1926","Crops, hay, pasture and rough grazing","Thurles",NA
"28778","1933","Crops, hay, pasture and rough grazing","Thurles",NA
"28779","1955","Crops, hay, pasture and rough grazing","Thurles",NA
"28780","1960","Crops, hay, pasture and rough grazing","Thurles",NA
"28781","1965","Crops, hay, pasture and rough grazing","Thurles",NA
"28782","1970","Crops, hay, pasture and rough grazing","Thurles",NA
"28783","1975","Crops, hay, pasture and rough grazing","Thurles",53046
"28784","1980","Crops, hay, pasture and rough grazing","Thurles",52398
"28785","1926","Crops, hay and pasture","Thurles",47680
"28786","1933","Crops, hay and pasture","Thurles",48770
"28787","1955","Crops, hay and pasture","Thurles",47901
"28788","1960","Crops, hay and pasture","Thurles",47812
"28789","1965","Crops, hay and pasture","Thurles",48286
"28790","1970","Crops, hay and pasture","Thurles",49701
"28791","1975","Crops, hay and pasture","Thurles",50154
"28792","1980","Crops, hay and pasture","Thurles",50392
"28793","1926","Crops including fruit and horticultural","Thurles",6468
"28794","1933","Crops including fruit and horticultural","Thurles",6228
"28795","1955","Crops including fruit and horticultural","Thurles",7415
"28796","1960","Crops including fruit and horticultural","Thurles",6774
"28797","1965","Crops including fruit and horticultural","Thurles",5003
"28798","1970","Crops including fruit and horticultural","Thurles",4034
"28799","1975","Crops including fruit and horticultural","Thurles",3738
"28800","1980","Crops including fruit and horticultural","Thurles",3422
"28801","1926","Corn crops","Thurles",3263
"28802","1933","Corn crops","Thurles",3348
"28803","1955","Corn crops","Thurles",4243
"28804","1960","Corn crops","Thurles",3936
"28805","1965","Corn crops","Thurles",2766
"28806","1970","Corn crops","Thurles",2227
"28807","1975","Corn crops","Thurles",2213
"28808","1980","Corn crops","Thurles",2472
"28809","1926","Wheat","Thurles",15
"28810","1933","Wheat","Thurles",74
"28811","1955","Wheat","Thurles",2611
"28812","1960","Wheat","Thurles",2489
"28813","1965","Wheat","Thurles",828
"28814","1970","Wheat","Thurles",529
"28815","1975","Wheat","Thurles",235
"28816","1980","Wheat","Thurles",224
"28817","1926","Spring wheat","Thurles",NA
"28818","1933","Spring wheat","Thurles",NA
"28819","1955","Spring wheat","Thurles",NA
"28820","1960","Spring wheat","Thurles",NA
"28821","1965","Spring wheat","Thurles",NA
"28822","1970","Spring wheat","Thurles",NA
"28823","1975","Spring wheat","Thurles",NA
"28824","1980","Spring wheat","Thurles",188
"28825","1926","Winter wheat","Thurles",NA
"28826","1933","Winter wheat","Thurles",NA
"28827","1955","Winter wheat","Thurles",NA
"28828","1960","Winter wheat","Thurles",NA
"28829","1965","Winter wheat","Thurles",NA
"28830","1970","Winter wheat","Thurles",NA
"28831","1975","Winter wheat","Thurles",NA
"28832","1980","Winter wheat","Thurles",36
"28833","1926","Oats","Thurles",1450
"28834","1933","Oats","Thurles",1593
"28835","1955","Oats","Thurles",741
"28836","1960","Oats","Thurles",467
"28837","1965","Oats","Thurles",361
"28838","1970","Oats","Thurles",143
"28839","1975","Oats","Thurles",138
"28840","1980","Oats","Thurles",86
"28841","1926","Barley","Thurles",1796
"28842","1933","Barley","Thurles",1681
"28843","1955","Barley","Thurles",891
"28844","1960","Barley","Thurles",974
"28845","1965","Barley","Thurles",1571
"28846","1970","Barley","Thurles",1552
"28847","1975","Barley","Thurles",1801
"28848","1980","Barley","Thurles",2154
"28849","1926","Malting barley","Thurles",NA
"28850","1933","Malting barley","Thurles",NA
"28851","1955","Malting barley","Thurles",NA
"28852","1960","Malting barley","Thurles",505
"28853","1965","Malting barley","Thurles",513
"28854","1970","Malting barley","Thurles",435
"28855","1975","Malting barley","Thurles",446
"28856","1980","Malting barley","Thurles",609
"28857","1926","Other barley","Thurles",NA
"28858","1933","Other barley","Thurles",NA
"28859","1955","Other barley","Thurles",NA
"28860","1960","Other barley","Thurles",469
"28861","1965","Other barley","Thurles",1057
"28862","1970","Other barley","Thurles",1117
"28863","1975","Other barley","Thurles",1355
"28864","1980","Other barley","Thurles",1545
"28865","1926","Spring barley","Thurles",NA
"28866","1933","Spring barley","Thurles",NA
"28867","1955","Spring barley","Thurles",NA
"28868","1960","Spring barley","Thurles",NA
"28869","1965","Spring barley","Thurles",NA
"28870","1970","Spring barley","Thurles",NA
"28871","1975","Spring barley","Thurles",NA
"28872","1980","Spring barley","Thurles",1387
"28873","1926","Winter barley","Thurles",NA
"28874","1933","Winter barley","Thurles",NA
"28875","1955","Winter barley","Thurles",NA
"28876","1960","Winter barley","Thurles",NA
"28877","1965","Winter barley","Thurles",NA
"28878","1970","Winter barley","Thurles",NA
"28879","1975","Winter barley","Thurles",NA
"28880","1980","Winter barley","Thurles",158
"28881","1926","Other corn crops","Thurles",2
"28882","1933","Other corn crops","Thurles",1
"28883","1955","Other corn crops","Thurles",0
"28884","1960","Other corn crops","Thurles",5
"28885","1965","Other corn crops","Thurles",7
"28886","1970","Other corn crops","Thurles",4
"28887","1975","Other corn crops","Thurles",39
"28888","1980","Other corn crops","Thurles",8
"28889","1926","Root and green crops","Thurles",3197
"28890","1933","Root and green crops","Thurles",2865
"28891","1955","Root and green crops","Thurles",3160
"28892","1960","Root and green crops","Thurles",2826
"28893","1965","Root and green crops","Thurles",2227
"28894","1970","Root and green crops","Thurles",1795
"28895","1975","Root and green crops","Thurles",1517
"28896","1980","Root and green crops","Thurles",933
"28897","1926","Potatoes","Thurles",1208
"28898","1933","Potatoes","Thurles",1111
"28899","1955","Potatoes","Thurles",839
"28900","1960","Potatoes","Thurles",639
"28901","1965","Potatoes","Thurles",454
"28902","1970","Potatoes","Thurles",328
"28903","1975","Potatoes","Thurles",275
"28904","1980","Potatoes","Thurles",248
"28905","1926","Turnips","Thurles",1145
"28906","1933","Turnips","Thurles",1053
"28907","1955","Turnips","Thurles",958
"28908","1960","Turnips","Thurles",725
"28909","1965","Turnips","Thurles",714
"28910","1970","Turnips","Thurles",588
"28911","1975","Turnips","Thurles",399
"28912","1980","Turnips","Thurles",134
"28913","1926","Sugar beet","Thurles",49
"28914","1933","Sugar beet","Thurles",30
"28915","1955","Sugar beet","Thurles",722
"28916","1960","Sugar beet","Thurles",849
"28917","1965","Sugar beet","Thurles",547
"28918","1970","Sugar beet","Thurles",552
"28919","1975","Sugar beet","Thurles",644
"28920","1980","Sugar beet","Thurles",455
"28921","1926","Other root and green crops","Thurles",796
"28922","1933","Other root and green crops","Thurles",671
"28923","1955","Other root and green crops","Thurles",642
"28924","1960","Other root and green crops","Thurles",612
"28925","1965","Other root and green crops","Thurles",512
"28926","1970","Other root and green crops","Thurles",327
"28927","1975","Other root and green crops","Thurles",198
"28928","1980","Other root and green crops","Thurles",96
"28929","1926","Fruit and horticulture","Thurles",8
"28930","1933","Fruit and horticulture","Thurles",15
"28931","1955","Fruit and horticulture","Thurles",13
"28932","1960","Fruit and horticulture","Thurles",13
"28933","1965","Fruit and horticulture","Thurles",9
"28934","1970","Fruit and horticulture","Thurles",12
"28935","1975","Fruit and horticulture","Thurles",8
"28936","1980","Fruit and horticulture","Thurles",17
"28937","1926","Apples","Thurles",NA
"28938","1933","Apples","Thurles",NA
"28939","1955","Apples","Thurles",NA
"28940","1960","Apples","Thurles",NA
"28941","1965","Apples","Thurles",6
"28942","1970","Apples","Thurles",5
"28943","1975","Apples","Thurles",2
"28944","1980","Apples","Thurles",1
"28945","1926","Fruit excluding apples","Thurles",NA
"28946","1933","Fruit excluding apples","Thurles",NA
"28947","1955","Fruit excluding apples","Thurles",NA
"28948","1960","Fruit excluding apples","Thurles",NA
"28949","1965","Fruit excluding apples","Thurles",2
"28950","1970","Fruit excluding apples","Thurles",2
"28951","1975","Fruit excluding apples","Thurles",1
"28952","1980","Fruit excluding apples","Thurles",1
"28953","1926","Horticultural bulbs, flowers and bushes","Thurles",NA
"28954","1933","Horticultural bulbs, flowers and bushes","Thurles",NA
"28955","1955","Horticultural bulbs, flowers and bushes","Thurles",NA
"28956","1960","Horticultural bulbs, flowers and bushes","Thurles",1
"28957","1965","Horticultural bulbs, flowers and bushes","Thurles",2
"28958","1970","Horticultural bulbs, flowers and bushes","Thurles",4
"28959","1975","Horticultural bulbs, flowers and bushes","Thurles",5
"28960","1980","Horticultural bulbs, flowers and bushes","Thurles",15
"28961","1926","Hay","Thurles",9383
"28962","1933","Hay","Thurles",10551
"28963","1955","Hay","Thurles",8733
"28964","1960","Hay","Thurles",8520
"28965","1965","Hay","Thurles",8325
"28966","1970","Hay","Thurles",9227
"28967","1975","Hay","Thurles",10434
"28968","1980","Hay","Thurles",14443
"28969","1926","Rye grass for seed","Thurles",NA
"28970","1933","Rye grass for seed","Thurles",NA
"28971","1955","Rye grass for seed","Thurles",NA
"28972","1960","Rye grass for seed","Thurles",4
"28973","1965","Rye grass for seed","Thurles",4
"28974","1970","Rye grass for seed","Thurles",2
"28975","1975","Rye grass for seed","Thurles",0
"28976","1980","Rye grass for seed","Thurles",0
"28977","1926","First to fourth years hay","Thurles",NA
"28978","1933","First to fourth years hay","Thurles",NA
"28979","1955","First to fourth years hay","Thurles",NA
"28980","1960","First to fourth years hay","Thurles",NA
"28981","1965","First to fourth years hay","Thurles",NA
"28982","1970","First to fourth years hay","Thurles",NA
"28983","1975","First to fourth years hay","Thurles",1927
"28984","1980","First to fourth years hay","Thurles",3319
"28985","1926","Permanent meadow","Thurles",NA
"28986","1933","Permanent meadow","Thurles",NA
"28987","1955","Permanent meadow","Thurles",NA
"28988","1960","Permanent meadow","Thurles",NA
"28989","1965","Permanent meadow","Thurles",NA
"28990","1970","Permanent meadow","Thurles",NA
"28991","1975","Permanent meadow","Thurles",8507
"28992","1980","Permanent meadow","Thurles",11124
"28993","1926","Pasture","Thurles",31829
"28994","1933","Pasture","Thurles",31991
"28995","1955","Pasture","Thurles",31752
"28996","1960","Pasture","Thurles",32518
"28997","1965","Pasture","Thurles",34958
"28998","1970","Pasture","Thurles",36439
"28999","1975","Pasture","Thurles",35982
"29000","1980","Pasture","Thurles",32527
"29001","1926","Rough grazing in use","Thurles",NA
"29002","1933","Rough grazing in use","Thurles",NA
"29003","1955","Rough grazing in use","Thurles",NA
"29004","1960","Rough grazing in use","Thurles",NA
"29005","1965","Rough grazing in use","Thurles",NA
"29006","1970","Rough grazing in use","Thurles",NA
"29007","1975","Rough grazing in use","Thurles",2891
"29008","1980","Rough grazing in use","Thurles",2006
"29009","1926","Other land","Thurles",NA
"29010","1933","Other land","Thurles",NA
"29011","1955","Other land","Thurles",NA
"29012","1960","Other land","Thurles",NA
"29013","1965","Other land","Thurles",NA
"29014","1970","Other land","Thurles",NA
"29015","1975","Other land","Thurles",4685
"29016","1980","Other land","Thurles",5333
"29017","1926","Total Area","Co. Tipperary S.R.",225828
"29018","1933","Total Area","Co. Tipperary S.R.",225828
"29019","1955","Total Area","Co. Tipperary S.R.",225828
"29020","1960","Total Area","Co. Tipperary S.R.",225828
"29021","1965","Total Area","Co. Tipperary S.R.",225828
"29022","1970","Total Area","Co. Tipperary S.R.",225828
"29023","1975","Total Area","Co. Tipperary S.R.",225828
"29024","1980","Total Area","Co. Tipperary S.R.",225828
"29025","1926","Crops, hay, pasture and rough grazing","Co. Tipperary S.R.",NA
"29026","1933","Crops, hay, pasture and rough grazing","Co. Tipperary S.R.",NA
"29027","1955","Crops, hay, pasture and rough grazing","Co. Tipperary S.R.",NA
"29028","1960","Crops, hay, pasture and rough grazing","Co. Tipperary S.R.",NA
"29029","1965","Crops, hay, pasture and rough grazing","Co. Tipperary S.R.",NA
"29030","1970","Crops, hay, pasture and rough grazing","Co. Tipperary S.R.",NA
"29031","1975","Crops, hay, pasture and rough grazing","Co. Tipperary S.R.",202236
"29032","1980","Crops, hay, pasture and rough grazing","Co. Tipperary S.R.",200093
"29033","1926","Crops, hay and pasture","Co. Tipperary S.R.",187214
"29034","1933","Crops, hay and pasture","Co. Tipperary S.R.",181958
