"","Region","Year","Statistic","value"
"4026","West","2001","Intermediate Consumption - Feedingstuffs (Euro Million)",89.4
"4027","Southern and Eastern","2001","Intermediate Consumption - Feedingstuffs (Euro Million)",492.52
"4028","Mid-West","2001","Intermediate Consumption - Feedingstuffs (Euro Million)",117.01
"4029","South-East","2001","Intermediate Consumption - Feedingstuffs (Euro Million)",147.45
"4030","South-West","2001","Intermediate Consumption - Feedingstuffs (Euro Million)",168.47
"4031","State","2002","Intermediate Consumption - Feedingstuffs (Euro Million)",955.94
"4032","Dublin plus Mid East","2002","Intermediate Consumption - Feedingstuffs (Euro Million)",65.14
"4033","Border, Midland and Western","2002","Intermediate Consumption - Feedingstuffs (Euro Million)",421.53
"4034","Border","2002","Intermediate Consumption - Feedingstuffs (Euro Million)",229
"4035","Midland","2002","Intermediate Consumption - Feedingstuffs (Euro Million)",94.07
"4036","West","2002","Intermediate Consumption - Feedingstuffs (Euro Million)",98.45
"4037","Southern and Eastern","2002","Intermediate Consumption - Feedingstuffs (Euro Million)",534.42
"4038","Mid-West","2002","Intermediate Consumption - Feedingstuffs (Euro Million)",124.65
"4039","South-East","2002","Intermediate Consumption - Feedingstuffs (Euro Million)",162.77
"4040","South-West","2002","Intermediate Consumption - Feedingstuffs (Euro Million)",181.85
"4041","State","2003","Intermediate Consumption - Feedingstuffs (Euro Million)",922.99
"4042","Dublin plus Mid East","2003","Intermediate Consumption - Feedingstuffs (Euro Million)",63.86
"4043","Border, Midland and Western","2003","Intermediate Consumption - Feedingstuffs (Euro Million)",417.23
"4044","Border","2003","Intermediate Consumption - Feedingstuffs (Euro Million)",222.69
"4045","Midland","2003","Intermediate Consumption - Feedingstuffs (Euro Million)",93.61
"4046","West","2003","Intermediate Consumption - Feedingstuffs (Euro Million)",100.93
"4047","Southern and Eastern","2003","Intermediate Consumption - Feedingstuffs (Euro Million)",505.76
"4048","Mid-West","2003","Intermediate Consumption - Feedingstuffs (Euro Million)",123.81
"4049","South-East","2003","Intermediate Consumption - Feedingstuffs (Euro Million)",148.81
"4050","South-West","2003","Intermediate Consumption - Feedingstuffs (Euro Million)",169.27
"4051","State","2004","Intermediate Consumption - Feedingstuffs (Euro Million)",903.86
"4052","Dublin plus Mid East","2004","Intermediate Consumption - Feedingstuffs (Euro Million)",62.14
"4053","Border, Midland and Western","2004","Intermediate Consumption - Feedingstuffs (Euro Million)",404.6
"4054","Border","2004","Intermediate Consumption - Feedingstuffs (Euro Million)",207.39
"4055","Midland","2004","Intermediate Consumption - Feedingstuffs (Euro Million)",99.46
"4056","West","2004","Intermediate Consumption - Feedingstuffs (Euro Million)",97.75
"4057","Southern and Eastern","2004","Intermediate Consumption - Feedingstuffs (Euro Million)",499.26
"4058","Mid-West","2004","Intermediate Consumption - Feedingstuffs (Euro Million)",123.11
"4059","South-East","2004","Intermediate Consumption - Feedingstuffs (Euro Million)",148.21
"4060","South-West","2004","Intermediate Consumption - Feedingstuffs (Euro Million)",165.81
"4061","State","2005","Intermediate Consumption - Feedingstuffs (Euro Million)",865.14
"4062","Dublin plus Mid East","2005","Intermediate Consumption - Feedingstuffs (Euro Million)",59.93
"4063","Border, Midland and Western","2005","Intermediate Consumption - Feedingstuffs (Euro Million)",382.39
"4064","Border","2005","Intermediate Consumption - Feedingstuffs (Euro Million)",206.49
"4065","Midland","2005","Intermediate Consumption - Feedingstuffs (Euro Million)",87.48
"4066","West","2005","Intermediate Consumption - Feedingstuffs (Euro Million)",88.42
"4067","Southern and Eastern","2005","Intermediate Consumption - Feedingstuffs (Euro Million)",482.75
"4068","Mid-West","2005","Intermediate Consumption - Feedingstuffs (Euro Million)",118.06
"4069","South-East","2005","Intermediate Consumption - Feedingstuffs (Euro Million)",141.33
"4070","South-West","2005","Intermediate Consumption - Feedingstuffs (Euro Million)",163.43
"4071","State","2006","Intermediate Consumption - Feedingstuffs (Euro Million)",962.41
"4072","Dublin plus Mid East","2006","Intermediate Consumption - Feedingstuffs (Euro Million)",67.74
"4073","Border, Midland and Western","2006","Intermediate Consumption - Feedingstuffs (Euro Million)",423.91
"4074","Border","2006","Intermediate Consumption - Feedingstuffs (Euro Million)",221.95
"4075","Midland","2006","Intermediate Consumption - Feedingstuffs (Euro Million)",99.2
"4076","West","2006","Intermediate Consumption - Feedingstuffs (Euro Million)",102.77
"4077","Southern and Eastern","2006","Intermediate Consumption - Feedingstuffs (Euro Million)",538.5
"4078","Mid-West","2006","Intermediate Consumption - Feedingstuffs (Euro Million)",133.81
"4079","South-East","2006","Intermediate Consumption - Feedingstuffs (Euro Million)",158.46
"4080","South-West","2006","Intermediate Consumption - Feedingstuffs (Euro Million)",178.5
"4081","State","2007","Intermediate Consumption - Feedingstuffs (Euro Million)",1024.77
"4082","Dublin plus Mid East","2007","Intermediate Consumption - Feedingstuffs (Euro Million)",72.77
"4083","Border, Midland and Western","2007","Intermediate Consumption - Feedingstuffs (Euro Million)",466.33
"4084","Border","2007","Intermediate Consumption - Feedingstuffs (Euro Million)",253.23
"4085","Midland","2007","Intermediate Consumption - Feedingstuffs (Euro Million)",106.14
"4086","West","2007","Intermediate Consumption - Feedingstuffs (Euro Million)",106.96
"4087","Southern and Eastern","2007","Intermediate Consumption - Feedingstuffs (Euro Million)",558.43
"4088","Mid-West","2007","Intermediate Consumption - Feedingstuffs (Euro Million)",130.65
"4089","South-East","2007","Intermediate Consumption - Feedingstuffs (Euro Million)",168.33
"4090","South-West","2007","Intermediate Consumption - Feedingstuffs (Euro Million)",186.69
"4091","State","2008","Intermediate Consumption - Feedingstuffs (Euro Million)",1184.34
"4092","Dublin plus Mid East","2008","Intermediate Consumption - Feedingstuffs (Euro Million)",82.07
"4093","Border, Midland and Western","2008","Intermediate Consumption - Feedingstuffs (Euro Million)",529.09
"4094","Border","2008","Intermediate Consumption - Feedingstuffs (Euro Million)",287.29
"4095","Midland","2008","Intermediate Consumption - Feedingstuffs (Euro Million)",118.05
"4096","West","2008","Intermediate Consumption - Feedingstuffs (Euro Million)",123.75
"4097","Southern and Eastern","2008","Intermediate Consumption - Feedingstuffs (Euro Million)",655.25
"4098","Mid-West","2008","Intermediate Consumption - Feedingstuffs (Euro Million)",150.88
"4099","South-East","2008","Intermediate Consumption - Feedingstuffs (Euro Million)",201.91
"4100","South-West","2008","Intermediate Consumption - Feedingstuffs (Euro Million)",220.39
"4101","State","2009","Intermediate Consumption - Feedingstuffs (Euro Million)",1048.91
"4102","Dublin plus Mid East","2009","Intermediate Consumption - Feedingstuffs (Euro Million)",73.89
"4103","Border, Midland and Western","2009","Intermediate Consumption - Feedingstuffs (Euro Million)",484.3
"4104","Border","2009","Intermediate Consumption - Feedingstuffs (Euro Million)",264.98
"4105","Midland","2009","Intermediate Consumption - Feedingstuffs (Euro Million)",112.11
"4106","West","2009","Intermediate Consumption - Feedingstuffs (Euro Million)",107.21
"4107","Southern and Eastern","2009","Intermediate Consumption - Feedingstuffs (Euro Million)",564.61
"4108","Mid-West","2009","Intermediate Consumption - Feedingstuffs (Euro Million)",135.83
"4109","South-East","2009","Intermediate Consumption - Feedingstuffs (Euro Million)",175.64
"4110","South-West","2009","Intermediate Consumption - Feedingstuffs (Euro Million)",179.24
"4111","State","2010","Intermediate Consumption - Feedingstuffs (Euro Million)",1041.13
"4112","Dublin plus Mid East","2010","Intermediate Consumption - Feedingstuffs (Euro Million)",72.14
"4113","Border, Midland and Western","2010","Intermediate Consumption - Feedingstuffs (Euro Million)",470.74
"4114","Border","2010","Intermediate Consumption - Feedingstuffs (Euro Million)",252.86
"4115","Midland","2010","Intermediate Consumption - Feedingstuffs (Euro Million)",113.37
"4116","West","2010","Intermediate Consumption - Feedingstuffs (Euro Million)",104.51
"4117","Southern and Eastern","2010","Intermediate Consumption - Feedingstuffs (Euro Million)",570.39
"4118","Mid-West","2010","Intermediate Consumption - Feedingstuffs (Euro Million)",132.9
"4119","South-East","2010","Intermediate Consumption - Feedingstuffs (Euro Million)",179.41
"4120","South-West","2010","Intermediate Consumption - Feedingstuffs (Euro Million)",185.95
"4121","State","2011","Intermediate Consumption - Feedingstuffs (Euro Million)",1175.1
"4122","Dublin plus Mid East","2011","Intermediate Consumption - Feedingstuffs (Euro Million)",78.4
"4123","Border, Midland and Western","2011","Intermediate Consumption - Feedingstuffs (Euro Million)",537.03
"4124","Border","2011","Intermediate Consumption - Feedingstuffs (Euro Million)",299.69
"4125","Midland","2011","Intermediate Consumption - Feedingstuffs (Euro Million)",126.38
"4126","West","2011","Intermediate Consumption - Feedingstuffs (Euro Million)",110.96
"4127","Southern and Eastern","2011","Intermediate Consumption - Feedingstuffs (Euro Million)",638.07
"4128","Mid-West","2011","Intermediate Consumption - Feedingstuffs (Euro Million)",146.91
"4129","South-East","2011","Intermediate Consumption - Feedingstuffs (Euro Million)",202.11
"4130","South-West","2011","Intermediate Consumption - Feedingstuffs (Euro Million)",210.65
"4131","State","2012","Intermediate Consumption - Feedingstuffs (Euro Million)",1434.14
"4132","Dublin plus Mid East","2012","Intermediate Consumption - Feedingstuffs (Euro Million)",96.33
"4133","Border, Midland and Western","2012","Intermediate Consumption - Feedingstuffs (Euro Million)",641.95
"4134","Border","2012","Intermediate Consumption - Feedingstuffs (Euro Million)",344.23
"4135","Midland","2012","Intermediate Consumption - Feedingstuffs (Euro Million)",156.81
"4136","West","2012","Intermediate Consumption - Feedingstuffs (Euro Million)",140.9
"4137","Southern and Eastern","2012","Intermediate Consumption - Feedingstuffs (Euro Million)",792.19
"4138","Mid-West","2012","Intermediate Consumption - Feedingstuffs (Euro Million)",183.07
"4139","South-East","2012","Intermediate Consumption - Feedingstuffs (Euro Million)",248.08
"4140","South-West","2012","Intermediate Consumption - Feedingstuffs (Euro Million)",264.72
"4141","State","1995","Intermediate Consumption - Fertilisers (Euro Million)",369.61
"4142","Dublin plus Mid East","1995","Intermediate Consumption - Fertilisers (Euro Million)",40.2
"4143","Border, Midland and Western","1995","Intermediate Consumption - Fertilisers (Euro Million)",109.34
"4144","Border","1995","Intermediate Consumption - Fertilisers (Euro Million)",38.37
"4145","Midland","1995","Intermediate Consumption - Fertilisers (Euro Million)",32.28
"4146","West","1995","Intermediate Consumption - Fertilisers (Euro Million)",38.69
"4147","Southern and Eastern","1995","Intermediate Consumption - Fertilisers (Euro Million)",260.27
"4148","Mid-West","1995","Intermediate Consumption - Fertilisers (Euro Million)",41.48
"4149","South-East","1995","Intermediate Consumption - Fertilisers (Euro Million)",85.72
"4150","South-West","1995","Intermediate Consumption - Fertilisers (Euro Million)",92.88
"4151","State","1996","Intermediate Consumption - Fertilisers (Euro Million)",386.09
"4152","Dublin plus Mid East","1996","Intermediate Consumption - Fertilisers (Euro Million)",42.48
"4153","Border, Midland and Western","1996","Intermediate Consumption - Fertilisers (Euro Million)",113.22
"4154","Border","1996","Intermediate Consumption - Fertilisers (Euro Million)",39.55
"4155","Midland","1996","Intermediate Consumption - Fertilisers (Euro Million)",36.8
"4156","West","1996","Intermediate Consumption - Fertilisers (Euro Million)",36.87
"4157","Southern and Eastern","1996","Intermediate Consumption - Fertilisers (Euro Million)",272.88
"4158","Mid-West","1996","Intermediate Consumption - Fertilisers (Euro Million)",40.92
"4159","South-East","1996","Intermediate Consumption - Fertilisers (Euro Million)",92.61
"4160","South-West","1996","Intermediate Consumption - Fertilisers (Euro Million)",96.86
"4161","State","1997","Intermediate Consumption - Fertilisers (Euro Million)",330.57
"4162","Dublin plus Mid East","1997","Intermediate Consumption - Fertilisers (Euro Million)",36.18
"4163","Border, Midland and Western","1997","Intermediate Consumption - Fertilisers (Euro Million)",95.95
"4164","Border","1997","Intermediate Consumption - Fertilisers (Euro Million)",33.44
"4165","Midland","1997","Intermediate Consumption - Fertilisers (Euro Million)",30.61
"4166","West","1997","Intermediate Consumption - Fertilisers (Euro Million)",31.9
"4167","Southern and Eastern","1997","Intermediate Consumption - Fertilisers (Euro Million)",234.62
"4168","Mid-West","1997","Intermediate Consumption - Fertilisers (Euro Million)",37.65
"4169","South-East","1997","Intermediate Consumption - Fertilisers (Euro Million)",76.9
"4170","South-West","1997","Intermediate Consumption - Fertilisers (Euro Million)",83.89
"4171","State","1998","Intermediate Consumption - Fertilisers (Euro Million)",328.99
"4172","Dublin plus Mid East","1998","Intermediate Consumption - Fertilisers (Euro Million)",35.64
"4173","Border, Midland and Western","1998","Intermediate Consumption - Fertilisers (Euro Million)",97.92
"4174","Border","1998","Intermediate Consumption - Fertilisers (Euro Million)",35.32
"4175","Midland","1998","Intermediate Consumption - Fertilisers (Euro Million)",29.98
"4176","West","1998","Intermediate Consumption - Fertilisers (Euro Million)",32.62
"4177","Southern and Eastern","1998","Intermediate Consumption - Fertilisers (Euro Million)",231.08
"4178","Mid-West","1998","Intermediate Consumption - Fertilisers (Euro Million)",38.73
"4179","South-East","1998","Intermediate Consumption - Fertilisers (Euro Million)",71.94
"4180","South-West","1998","Intermediate Consumption - Fertilisers (Euro Million)",84.76
"4181","State","1999","Intermediate Consumption - Fertilisers (Euro Million)",338.96
"4182","Dublin plus Mid East","1999","Intermediate Consumption - Fertilisers (Euro Million)",36.11
"4183","Border, Midland and Western","1999","Intermediate Consumption - Fertilisers (Euro Million)",103.38
"4184","Border","1999","Intermediate Consumption - Fertilisers (Euro Million)",37.47
"4185","Midland","1999","Intermediate Consumption - Fertilisers (Euro Million)",31.32
"4186","West","1999","Intermediate Consumption - Fertilisers (Euro Million)",34.59
"4187","Southern and Eastern","1999","Intermediate Consumption - Fertilisers (Euro Million)",235.58
"4188","Mid-West","1999","Intermediate Consumption - Fertilisers (Euro Million)",38.67
"4189","South-East","1999","Intermediate Consumption - Fertilisers (Euro Million)",75.21
"4190","South-West","1999","Intermediate Consumption - Fertilisers (Euro Million)",85.59
"4191","State","2000","Intermediate Consumption - Fertilisers (Euro Million)",338.69
"4192","Dublin plus Mid East","2000","Intermediate Consumption - Fertilisers (Euro Million)",35.02
"4193","Border, Midland and Western","2000","Intermediate Consumption - Fertilisers (Euro Million)",100.03
"4194","Border","2000","Intermediate Consumption - Fertilisers (Euro Million)",36.28
"4195","Midland","2000","Intermediate Consumption - Fertilisers (Euro Million)",29.55
"4196","West","2000","Intermediate Consumption - Fertilisers (Euro Million)",34.2
"4197","Southern and Eastern","2000","Intermediate Consumption - Fertilisers (Euro Million)",238.66
"4198","Mid-West","2000","Intermediate Consumption - Fertilisers (Euro Million)",38.9
"4199","South-East","2000","Intermediate Consumption - Fertilisers (Euro Million)",80.38
"4200","South-West","2000","Intermediate Consumption - Fertilisers (Euro Million)",84.36
"4201","State","2001","Intermediate Consumption - Fertilisers (Euro Million)",350.66
"4202","Dublin plus Mid East","2001","Intermediate Consumption - Fertilisers (Euro Million)",34.42
"4203","Border, Midland and Western","2001","Intermediate Consumption - Fertilisers (Euro Million)",114.52
"4204","Border","2001","Intermediate Consumption - Fertilisers (Euro Million)",41.89
"4205","Midland","2001","Intermediate Consumption - Fertilisers (Euro Million)",33.94
"4206","West","2001","Intermediate Consumption - Fertilisers (Euro Million)",38.69
"4207","Southern and Eastern","2001","Intermediate Consumption - Fertilisers (Euro Million)",236.14
"4208","Mid-West","2001","Intermediate Consumption - Fertilisers (Euro Million)",38.24
"4209","South-East","2001","Intermediate Consumption - Fertilisers (Euro Million)",79.44
"4210","South-West","2001","Intermediate Consumption - Fertilisers (Euro Million)",84.05
"4211","State","2002","Intermediate Consumption - Fertilisers (Euro Million)",341.43
"4212","Dublin plus Mid East","2002","Intermediate Consumption - Fertilisers (Euro Million)",32.86
"4213","Border, Midland and Western","2002","Intermediate Consumption - Fertilisers (Euro Million)",108.6
"4214","Border","2002","Intermediate Consumption - Fertilisers (Euro Million)",40.29
"4215","Midland","2002","Intermediate Consumption - Fertilisers (Euro Million)",32.6
"4216","West","2002","Intermediate Consumption - Fertilisers (Euro Million)",35.71
"4217","Southern and Eastern","2002","Intermediate Consumption - Fertilisers (Euro Million)",232.83
"4218","Mid-West","2002","Intermediate Consumption - Fertilisers (Euro Million)",38.86
"4219","South-East","2002","Intermediate Consumption - Fertilisers (Euro Million)",76.42
"4220","South-West","2002","Intermediate Consumption - Fertilisers (Euro Million)",84.69
"4221","State","2003","Intermediate Consumption - Fertilisers (Euro Million)",371.25
"4222","Dublin plus Mid East","2003","Intermediate Consumption - Fertilisers (Euro Million)",36.23
"4223","Border, Midland and Western","2003","Intermediate Consumption - Fertilisers (Euro Million)",118.31
"4224","Border","2003","Intermediate Consumption - Fertilisers (Euro Million)",42.97
"4225","Midland","2003","Intermediate Consumption - Fertilisers (Euro Million)",35.9
"4226","West","2003","Intermediate Consumption - Fertilisers (Euro Million)",39.45
"4227","Southern and Eastern","2003","Intermediate Consumption - Fertilisers (Euro Million)",252.94
"4228","Mid-West","2003","Intermediate Consumption - Fertilisers (Euro Million)",43.18
"4229","South-East","2003","Intermediate Consumption - Fertilisers (Euro Million)",83.22
"4230","South-West","2003","Intermediate Consumption - Fertilisers (Euro Million)",90.32
"4231","State","2004","Intermediate Consumption - Fertilisers (Euro Million)",357.96
"4232","Dublin plus Mid East","2004","Intermediate Consumption - Fertilisers (Euro Million)",35.77
"4233","Border, Midland and Western","2004","Intermediate Consumption - Fertilisers (Euro Million)",114.36
"4234","Border","2004","Intermediate Consumption - Fertilisers (Euro Million)",46.65
"4235","Midland","2004","Intermediate Consumption - Fertilisers (Euro Million)",32.91
"4236","West","2004","Intermediate Consumption - Fertilisers (Euro Million)",34.79
"4237","Southern and Eastern","2004","Intermediate Consumption - Fertilisers (Euro Million)",243.61
"4238","Mid-West","2004","Intermediate Consumption - Fertilisers (Euro Million)",39.32
"4239","South-East","2004","Intermediate Consumption - Fertilisers (Euro Million)",81.71
"4240","South-West","2004","Intermediate Consumption - Fertilisers (Euro Million)",86.8
"4241","State","2005","Intermediate Consumption - Fertilisers (Euro Million)",363.01
"4242","Dublin plus Mid East","2005","Intermediate Consumption - Fertilisers (Euro Million)",37.06
"4243","Border, Midland and Western","2005","Intermediate Consumption - Fertilisers (Euro Million)",119.8
"4244","Border","2005","Intermediate Consumption - Fertilisers (Euro Million)",44.31
"4245","Midland","2005","Intermediate Consumption - Fertilisers (Euro Million)",39.18
"4246","West","2005","Intermediate Consumption - Fertilisers (Euro Million)",36.32
"4247","Southern and Eastern","2005","Intermediate Consumption - Fertilisers (Euro Million)",243.2
"4248","Mid-West","2005","Intermediate Consumption - Fertilisers (Euro Million)",36.55
"4249","South-East","2005","Intermediate Consumption - Fertilisers (Euro Million)",81.5
"4250","South-West","2005","Intermediate Consumption - Fertilisers (Euro Million)",88.1
"4251","State","2006","Intermediate Consumption - Fertilisers (Euro Million)",379.19
"4252","Dublin plus Mid East","2006","Intermediate Consumption - Fertilisers (Euro Million)",39.67
"4253","Border, Midland and Western","2006","Intermediate Consumption - Fertilisers (Euro Million)",128.24
"4254","Border","2006","Intermediate Consumption - Fertilisers (Euro Million)",45.54
"4255","Midland","2006","Intermediate Consumption - Fertilisers (Euro Million)",41.65
"4256","West","2006","Intermediate Consumption - Fertilisers (Euro Million)",41.05
"4257","Southern and Eastern","2006","Intermediate Consumption - Fertilisers (Euro Million)",250.95
"4258","Mid-West","2006","Intermediate Consumption - Fertilisers (Euro Million)",37.83
"4259","South-East","2006","Intermediate Consumption - Fertilisers (Euro Million)",80.09
"4260","South-West","2006","Intermediate Consumption - Fertilisers (Euro Million)",93.35
"4261","State","2007","Intermediate Consumption - Fertilisers (Euro Million)",360.05
"4262","Dublin plus Mid East","2007","Intermediate Consumption - Fertilisers (Euro Million)",38.79
"4263","Border, Midland and Western","2007","Intermediate Consumption - Fertilisers (Euro Million)",122.77
"4264","Border","2007","Intermediate Consumption - Fertilisers (Euro Million)",44.06
"4265","Midland","2007","Intermediate Consumption - Fertilisers (Euro Million)",38.76
"4266","West","2007","Intermediate Consumption - Fertilisers (Euro Million)",39.96
"4267","Southern and Eastern","2007","Intermediate Consumption - Fertilisers (Euro Million)",237.27
"4268","Mid-West","2007","Intermediate Consumption - Fertilisers (Euro Million)",40.71
"4269","South-East","2007","Intermediate Consumption - Fertilisers (Euro Million)",75.53
"4270","South-West","2007","Intermediate Consumption - Fertilisers (Euro Million)",82.24
"4271","State","2008","Intermediate Consumption - Fertilisers (Euro Million)",517.18
"4272","Dublin plus Mid East","2008","Intermediate Consumption - Fertilisers (Euro Million)",58.11
"4273","Border, Midland and Western","2008","Intermediate Consumption - Fertilisers (Euro Million)",167.92
"4274","Border","2008","Intermediate Consumption - Fertilisers (Euro Million)",64.79
"4275","Midland","2008","Intermediate Consumption - Fertilisers (Euro Million)",55.69
"4276","West","2008","Intermediate Consumption - Fertilisers (Euro Million)",47.45
"4277","Southern and Eastern","2008","Intermediate Consumption - Fertilisers (Euro Million)",349.25
"4278","Mid-West","2008","Intermediate Consumption - Fertilisers (Euro Million)",58.26
"4279","South-East","2008","Intermediate Consumption - Fertilisers (Euro Million)",117.29
"4280","South-West","2008","Intermediate Consumption - Fertilisers (Euro Million)",115.59
"4281","State","2009","Intermediate Consumption - Fertilisers (Euro Million)",420.56
"4282","Dublin plus Mid East","2009","Intermediate Consumption - Fertilisers (Euro Million)",45.02
"4283","Border, Midland and Western","2009","Intermediate Consumption - Fertilisers (Euro Million)",144.28
"4284","Border","2009","Intermediate Consumption - Fertilisers (Euro Million)",52.23
"4285","Midland","2009","Intermediate Consumption - Fertilisers (Euro Million)",48.39
"4286","West","2009","Intermediate Consumption - Fertilisers (Euro Million)",43.67
"4287","Southern and Eastern","2009","Intermediate Consumption - Fertilisers (Euro Million)",276.28
"4288","Mid-West","2009","Intermediate Consumption - Fertilisers (Euro Million)",51.04
"4289","South-East","2009","Intermediate Consumption - Fertilisers (Euro Million)",86.26
"4290","South-West","2009","Intermediate Consumption - Fertilisers (Euro Million)",93.96
"4291","State","2010","Intermediate Consumption - Fertilisers (Euro Million)",450.31
"4292","Dublin plus Mid East","2010","Intermediate Consumption - Fertilisers (Euro Million)",50.47
"4293","Border, Midland and Western","2010","Intermediate Consumption - Fertilisers (Euro Million)",151.52
"4294","Border","2010","Intermediate Consumption - Fertilisers (Euro Million)",58.16
"4295","Midland","2010","Intermediate Consumption - Fertilisers (Euro Million)",44.25
"4296","West","2010","Intermediate Consumption - Fertilisers (Euro Million)",49.11
"4297","Southern and Eastern","2010","Intermediate Consumption - Fertilisers (Euro Million)",298.79
"4298","Mid-West","2010","Intermediate Consumption - Fertilisers (Euro Million)",44.86
"4299","South-East","2010","Intermediate Consumption - Fertilisers (Euro Million)",114.86
"4300","South-West","2010","Intermediate Consumption - Fertilisers (Euro Million)",88.6
"4301","State","2011","Intermediate Consumption - Fertilisers (Euro Million)",493.69
"4302","Dublin plus Mid East","2011","Intermediate Consumption - Fertilisers (Euro Million)",59.3
"4303","Border, Midland and Western","2011","Intermediate Consumption - Fertilisers (Euro Million)",160.8
"4304","Border","2011","Intermediate Consumption - Fertilisers (Euro Million)",61.24
"4305","Midland","2011","Intermediate Consumption - Fertilisers (Euro Million)",48.89
"4306","West","2011","Intermediate Consumption - Fertilisers (Euro Million)",50.66
"4307","Southern and Eastern","2011","Intermediate Consumption - Fertilisers (Euro Million)",332.89
"4308","Mid-West","2011","Intermediate Consumption - Fertilisers (Euro Million)",53.73
"4309","South-East","2011","Intermediate Consumption - Fertilisers (Euro Million)",122.73
"4310","South-West","2011","Intermediate Consumption - Fertilisers (Euro Million)",97.13
"4311","State","2012","Intermediate Consumption - Fertilisers (Euro Million)",492
"4312","Dublin plus Mid East","2012","Intermediate Consumption - Fertilisers (Euro Million)",63.64
"4313","Border, Midland and Western","2012","Intermediate Consumption - Fertilisers (Euro Million)",145.01
"4314","Border","2012","Intermediate Consumption - Fertilisers (Euro Million)",57.66
"4315","Midland","2012","Intermediate Consumption - Fertilisers (Euro Million)",48.59
"4316","West","2012","Intermediate Consumption - Fertilisers (Euro Million)",38.76
"4317","Southern and Eastern","2012","Intermediate Consumption - Fertilisers (Euro Million)",347
"4318","Mid-West","2012","Intermediate Consumption - Fertilisers (Euro Million)",52.48
"4319","South-East","2012","Intermediate Consumption - Fertilisers (Euro Million)",124.45
"4320","South-West","2012","Intermediate Consumption - Fertilisers (Euro Million)",106.43
"4321","State","1995","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",61
"4322","Dublin plus Mid East","1995","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",13.71
"4323","Border, Midland and Western","1995","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",19.99
"4324","Border","1995","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",9.2
"4325","Midland","1995","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",5.04
"4326","West","1995","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",5.76
"4327","Southern and Eastern","1995","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",41.01
"4328","Mid-West","1995","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",5.29
"4329","South-East","1995","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",13.62
"4330","South-West","1995","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",8.38
"4331","State","1996","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",63
"4332","Dublin plus Mid East","1996","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",13.62
"4333","Border, Midland and Western","1996","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",21.8
"4334","Border","1996","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",9.97
"4335","Midland","1996","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",5.58
"4336","West","1996","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",6.26
"4337","Southern and Eastern","1996","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",41.2
"4338","Mid-West","1996","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",5.03
"4339","South-East","1996","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",12.03
"4340","South-West","1996","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",10.52
"4341","State","1997","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",64
"4342","Dublin plus Mid East","1997","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",10.66
"4343","Border, Midland and Western","1997","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",22.35
"4344","Border","1997","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",10.64
"4345","Midland","1997","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",6.13
"4346","West","1997","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",5.58
"4347","Southern and Eastern","1997","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",41.65
"4348","Mid-West","1997","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",4.98
"4349","South-East","1997","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",12.21
"4350","South-West","1997","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",13.79
"4351","State","1998","Intermediate Consumption - Financial Intermediation Services Indirectly Measured (FISIM) (Euro Million)",64
