"","Statistic","Year","Product","value"
"653","Value Index of Agricultural Output (Base 1995=100)","1994","Milk (m litres)",99.8
"654","Value of Changes in Livestock and Crops (Euro Million)","1994","Milk (m litres)",NA
"655","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Milk (m litres)",NA
"656","Estimated Value of Agricultural Output (Euro Million)","1995","Milk (m litres)",1538.5
"657","Estimated Quantity of Agricultural Output (Thousand)","1995","Milk (m litres)",5187
"658","Value Index of Agricultural Output (Base 1995=100)","1995","Milk (m litres)",100
"659","Value of Changes in Livestock and Crops (Euro Million)","1995","Milk (m litres)",NA
"660","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Milk (m litres)",NA
"661","Estimated Value of Agricultural Output (Euro Million)","1996","Milk (m litres)",1536
"662","Estimated Quantity of Agricultural Output (Thousand)","1996","Milk (m litres)",5194
"663","Value Index of Agricultural Output (Base 1995=100)","1996","Milk (m litres)",100.1
"664","Value of Changes in Livestock and Crops (Euro Million)","1996","Milk (m litres)",NA
"665","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Milk (m litres)",NA
"666","Estimated Value of Agricultural Output (Euro Million)","1997","Milk (m litres)",1414.5
"667","Estimated Quantity of Agricultural Output (Thousand)","1997","Milk (m litres)",5151
"668","Value Index of Agricultural Output (Base 1995=100)","1997","Milk (m litres)",99.3
"669","Value of Changes in Livestock and Crops (Euro Million)","1997","Milk (m litres)",NA
"670","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Milk (m litres)",NA
"671","Estimated Value of Agricultural Output (Euro Million)","1998","Milk (m litres)",1431.2
"672","Estimated Quantity of Agricultural Output (Thousand)","1998","Milk (m litres)",4990
"673","Value Index of Agricultural Output (Base 1995=100)","1998","Milk (m litres)",96.2
"674","Value of Changes in Livestock and Crops (Euro Million)","1998","Milk (m litres)",NA
"675","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Milk (m litres)",NA
"676","Estimated Value of Agricultural Output (Euro Million)","1999","Milk (m litres)",1408.7
"677","Estimated Quantity of Agricultural Output (Thousand)","1999","Milk (m litres)",5018
"678","Value Index of Agricultural Output (Base 1995=100)","1999","Milk (m litres)",96.7
"679","Value of Changes in Livestock and Crops (Euro Million)","1999","Milk (m litres)",NA
"680","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Milk (m litres)",NA
"681","Estimated Value of Agricultural Output (Euro Million)","2000","Milk (m litres)",1447
"682","Estimated Quantity of Agricultural Output (Thousand)","2000","Milk (m litres)",5048
"683","Value Index of Agricultural Output (Base 1995=100)","2000","Milk (m litres)",97.3
"684","Value of Changes in Livestock and Crops (Euro Million)","2000","Milk (m litres)",NA
"685","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Milk (m litres)",NA
"686","Estimated Value of Agricultural Output (Euro Million)","2001","Milk (m litres)",1567.7
"687","Estimated Quantity of Agricultural Output (Thousand)","2001","Milk (m litres)",5220
"688","Value Index of Agricultural Output (Base 1995=100)","2001","Milk (m litres)",100.6
"689","Value of Changes in Livestock and Crops (Euro Million)","2001","Milk (m litres)",NA
"690","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Milk (m litres)",NA
"691","Estimated Value of Agricultural Output (Euro Million)","2002","Milk (m litres)",1415.1
"692","Estimated Quantity of Agricultural Output (Thousand)","2002","Milk (m litres)",5072
"693","Value Index of Agricultural Output (Base 1995=100)","2002","Milk (m litres)",97.7
"694","Value of Changes in Livestock and Crops (Euro Million)","2002","Milk (m litres)",NA
"695","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Milk (m litres)",NA
"696","Estimated Value of Agricultural Output (Euro Million)","2003","Milk (m litres)",1444.5
"697","Estimated Quantity of Agricultural Output (Thousand)","2003","Milk (m litres)",NA
"698","Value Index of Agricultural Output (Base 1995=100)","2003","Milk (m litres)",NA
"699","Value of Changes in Livestock and Crops (Euro Million)","2003","Milk (m litres)",NA
"700","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Milk (m litres)",NA
"701","Estimated Value of Agricultural Output (Euro Million)","1990","Eggs (million)",NA
"702","Estimated Quantity of Agricultural Output (Thousand)","1990","Eggs (million)",573
"703","Value Index of Agricultural Output (Base 1995=100)","1990","Eggs (million)",NA
"704","Value of Changes in Livestock and Crops (Euro Million)","1990","Eggs (million)",NA
"705","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Eggs (million)",NA
"706","Estimated Value of Agricultural Output (Euro Million)","1991","Eggs (million)",NA
"707","Estimated Quantity of Agricultural Output (Thousand)","1991","Eggs (million)",651
"708","Value Index of Agricultural Output (Base 1995=100)","1991","Eggs (million)",NA
"709","Value of Changes in Livestock and Crops (Euro Million)","1991","Eggs (million)",NA
"710","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Eggs (million)",NA
"711","Estimated Value of Agricultural Output (Euro Million)","1992","Eggs (million)",NA
"712","Estimated Quantity of Agricultural Output (Thousand)","1992","Eggs (million)",612
"713","Value Index of Agricultural Output (Base 1995=100)","1992","Eggs (million)",NA
"714","Value of Changes in Livestock and Crops (Euro Million)","1992","Eggs (million)",NA
"715","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Eggs (million)",NA
"716","Estimated Value of Agricultural Output (Euro Million)","1993","Eggs (million)",NA
"717","Estimated Quantity of Agricultural Output (Thousand)","1993","Eggs (million)",614
"718","Value Index of Agricultural Output (Base 1995=100)","1993","Eggs (million)",NA
"719","Value of Changes in Livestock and Crops (Euro Million)","1993","Eggs (million)",NA
"720","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Eggs (million)",NA
"721","Estimated Value of Agricultural Output (Euro Million)","1994","Eggs (million)",NA
"722","Estimated Quantity of Agricultural Output (Thousand)","1994","Eggs (million)",559
"723","Value Index of Agricultural Output (Base 1995=100)","1994","Eggs (million)",NA
"724","Value of Changes in Livestock and Crops (Euro Million)","1994","Eggs (million)",NA
"725","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Eggs (million)",NA
"726","Estimated Value of Agricultural Output (Euro Million)","1995","Eggs (million)",NA
"727","Estimated Quantity of Agricultural Output (Thousand)","1995","Eggs (million)",576
"728","Value Index of Agricultural Output (Base 1995=100)","1995","Eggs (million)",NA
"729","Value of Changes in Livestock and Crops (Euro Million)","1995","Eggs (million)",NA
"730","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Eggs (million)",NA
"731","Estimated Value of Agricultural Output (Euro Million)","1996","Eggs (million)",NA
"732","Estimated Quantity of Agricultural Output (Thousand)","1996","Eggs (million)",480
"733","Value Index of Agricultural Output (Base 1995=100)","1996","Eggs (million)",NA
"734","Value of Changes in Livestock and Crops (Euro Million)","1996","Eggs (million)",NA
"735","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Eggs (million)",NA
"736","Estimated Value of Agricultural Output (Euro Million)","1997","Eggs (million)",NA
"737","Estimated Quantity of Agricultural Output (Thousand)","1997","Eggs (million)",479
"738","Value Index of Agricultural Output (Base 1995=100)","1997","Eggs (million)",NA
"739","Value of Changes in Livestock and Crops (Euro Million)","1997","Eggs (million)",NA
"740","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Eggs (million)",NA
"741","Estimated Value of Agricultural Output (Euro Million)","1998","Eggs (million)",NA
"742","Estimated Quantity of Agricultural Output (Thousand)","1998","Eggs (million)",487
"743","Value Index of Agricultural Output (Base 1995=100)","1998","Eggs (million)",NA
"744","Value of Changes in Livestock and Crops (Euro Million)","1998","Eggs (million)",NA
"745","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Eggs (million)",NA
"746","Estimated Value of Agricultural Output (Euro Million)","1999","Eggs (million)",NA
"747","Estimated Quantity of Agricultural Output (Thousand)","1999","Eggs (million)",455
"748","Value Index of Agricultural Output (Base 1995=100)","1999","Eggs (million)",NA
"749","Value of Changes in Livestock and Crops (Euro Million)","1999","Eggs (million)",NA
"750","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Eggs (million)",NA
"751","Estimated Value of Agricultural Output (Euro Million)","2000","Eggs (million)",NA
"752","Estimated Quantity of Agricultural Output (Thousand)","2000","Eggs (million)",565
"753","Value Index of Agricultural Output (Base 1995=100)","2000","Eggs (million)",NA
"754","Value of Changes in Livestock and Crops (Euro Million)","2000","Eggs (million)",NA
"755","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Eggs (million)",NA
"756","Estimated Value of Agricultural Output (Euro Million)","2001","Eggs (million)",NA
"757","Estimated Quantity of Agricultural Output (Thousand)","2001","Eggs (million)",550
"758","Value Index of Agricultural Output (Base 1995=100)","2001","Eggs (million)",NA
"759","Value of Changes in Livestock and Crops (Euro Million)","2001","Eggs (million)",NA
"760","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Eggs (million)",NA
"761","Estimated Value of Agricultural Output (Euro Million)","2002","Eggs (million)",NA
"762","Estimated Quantity of Agricultural Output (Thousand)","2002","Eggs (million)",583
"763","Value Index of Agricultural Output (Base 1995=100)","2002","Eggs (million)",NA
"764","Value of Changes in Livestock and Crops (Euro Million)","2002","Eggs (million)",NA
"765","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Eggs (million)",NA
"766","Estimated Value of Agricultural Output (Euro Million)","2003","Eggs (million)",NA
"767","Estimated Quantity of Agricultural Output (Thousand)","2003","Eggs (million)",NA
"768","Value Index of Agricultural Output (Base 1995=100)","2003","Eggs (million)",NA
"769","Value of Changes in Livestock and Crops (Euro Million)","2003","Eggs (million)",NA
"770","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Eggs (million)",NA
"771","Estimated Value of Agricultural Output (Euro Million)","1990","Crops",956.1
"772","Estimated Quantity of Agricultural Output (Thousand)","1990","Crops",NA
"773","Value Index of Agricultural Output (Base 1995=100)","1990","Crops",94.7
"774","Value of Changes in Livestock and Crops (Euro Million)","1990","Crops",-2.9
"775","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Crops",NA
"776","Estimated Value of Agricultural Output (Euro Million)","1991","Crops",1009.3
"777","Estimated Quantity of Agricultural Output (Thousand)","1991","Crops",NA
"778","Value Index of Agricultural Output (Base 1995=100)","1991","Crops",96.2
"779","Value of Changes in Livestock and Crops (Euro Million)","1991","Crops",-4.9
"780","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Crops",NA
"781","Estimated Value of Agricultural Output (Euro Million)","1992","Crops",1036.8
"782","Estimated Quantity of Agricultural Output (Thousand)","1992","Crops",NA
"783","Value Index of Agricultural Output (Base 1995=100)","1992","Crops",101.7
"784","Value of Changes in Livestock and Crops (Euro Million)","1992","Crops",2
"785","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Crops",NA
"786","Estimated Value of Agricultural Output (Euro Million)","1993","Crops",958.7
"787","Estimated Quantity of Agricultural Output (Thousand)","1993","Crops",NA
"788","Value Index of Agricultural Output (Base 1995=100)","1993","Crops",92.9
"789","Value of Changes in Livestock and Crops (Euro Million)","1993","Crops",-9.3
"790","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Crops",NA
"791","Estimated Value of Agricultural Output (Euro Million)","1994","Crops",975.8
"792","Estimated Quantity of Agricultural Output (Thousand)","1994","Crops",NA
"793","Value Index of Agricultural Output (Base 1995=100)","1994","Crops",93.6
"794","Value of Changes in Livestock and Crops (Euro Million)","1994","Crops",0.1
"795","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Crops",NA
"796","Estimated Value of Agricultural Output (Euro Million)","1995","Crops",1086.6
"797","Estimated Quantity of Agricultural Output (Thousand)","1995","Crops",NA
"798","Value Index of Agricultural Output (Base 1995=100)","1995","Crops",100
"799","Value of Changes in Livestock and Crops (Euro Million)","1995","Crops",14.9
"800","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Crops",NA
"801","Estimated Value of Agricultural Output (Euro Million)","1996","Crops",1072
"802","Estimated Quantity of Agricultural Output (Thousand)","1996","Crops",NA
"803","Value Index of Agricultural Output (Base 1995=100)","1996","Crops",105.4
"804","Value of Changes in Livestock and Crops (Euro Million)","1996","Crops",1.9
"805","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Crops",NA
"806","Estimated Value of Agricultural Output (Euro Million)","1997","Crops",953.8
"807","Estimated Quantity of Agricultural Output (Thousand)","1997","Crops",NA
"808","Value Index of Agricultural Output (Base 1995=100)","1997","Crops",95.8
"809","Value of Changes in Livestock and Crops (Euro Million)","1997","Crops",-4.4
"810","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Crops",NA
"811","Estimated Value of Agricultural Output (Euro Million)","1998","Crops",1028.6
"812","Estimated Quantity of Agricultural Output (Thousand)","1998","Crops",NA
"813","Value Index of Agricultural Output (Base 1995=100)","1998","Crops",97.4
"814","Value of Changes in Livestock and Crops (Euro Million)","1998","Crops",-10.3
"815","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Crops",NA
"816","Estimated Value of Agricultural Output (Euro Million)","1999","Crops",1081.5
"817","Estimated Quantity of Agricultural Output (Thousand)","1999","Crops",NA
"818","Value Index of Agricultural Output (Base 1995=100)","1999","Crops",103
"819","Value of Changes in Livestock and Crops (Euro Million)","1999","Crops",3.1
"820","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Crops",NA
"821","Estimated Value of Agricultural Output (Euro Million)","2000","Crops",1093.4
"822","Estimated Quantity of Agricultural Output (Thousand)","2000","Crops",NA
"823","Value Index of Agricultural Output (Base 1995=100)","2000","Crops",106.7
"824","Value of Changes in Livestock and Crops (Euro Million)","2000","Crops",-1.6
"825","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Crops",NA
"826","Estimated Value of Agricultural Output (Euro Million)","2001","Crops",1167.7
"827","Estimated Quantity of Agricultural Output (Thousand)","2001","Crops",NA
"828","Value Index of Agricultural Output (Base 1995=100)","2001","Crops",113
"829","Value of Changes in Livestock and Crops (Euro Million)","2001","Crops",2.3
"830","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Crops",NA
"831","Estimated Value of Agricultural Output (Euro Million)","2002","Crops",1107.6
"832","Estimated Quantity of Agricultural Output (Thousand)","2002","Crops",NA
"833","Value Index of Agricultural Output (Base 1995=100)","2002","Crops",108.1
"834","Value of Changes in Livestock and Crops (Euro Million)","2002","Crops",-2.8
"835","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Crops",NA
"836","Estimated Value of Agricultural Output (Euro Million)","2003","Crops",1178.2
"837","Estimated Quantity of Agricultural Output (Thousand)","2003","Crops",NA
"838","Value Index of Agricultural Output (Base 1995=100)","2003","Crops",NA
"839","Value of Changes in Livestock and Crops (Euro Million)","2003","Crops",NA
"840","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Crops",NA
"841","Estimated Value of Agricultural Output (Euro Million)","1990","Total Cereals",NA
"842","Estimated Quantity of Agricultural Output (Thousand)","1990","Total Cereals",NA
"843","Value Index of Agricultural Output (Base 1995=100)","1990","Total Cereals",NA
"844","Value of Changes in Livestock and Crops (Euro Million)","1990","Total Cereals",NA
"845","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Total Cereals",NA
"846","Estimated Value of Agricultural Output (Euro Million)","1991","Total Cereals",NA
"847","Estimated Quantity of Agricultural Output (Thousand)","1991","Total Cereals",NA
"848","Value Index of Agricultural Output (Base 1995=100)","1991","Total Cereals",NA
"849","Value of Changes in Livestock and Crops (Euro Million)","1991","Total Cereals",NA
"850","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Total Cereals",NA
"851","Estimated Value of Agricultural Output (Euro Million)","1992","Total Cereals",NA
"852","Estimated Quantity of Agricultural Output (Thousand)","1992","Total Cereals",NA
"853","Value Index of Agricultural Output (Base 1995=100)","1992","Total Cereals",NA
"854","Value of Changes in Livestock and Crops (Euro Million)","1992","Total Cereals",NA
"855","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Total Cereals",NA
"856","Estimated Value of Agricultural Output (Euro Million)","1993","Total Cereals",NA
"857","Estimated Quantity of Agricultural Output (Thousand)","1993","Total Cereals",NA
"858","Value Index of Agricultural Output (Base 1995=100)","1993","Total Cereals",NA
"859","Value of Changes in Livestock and Crops (Euro Million)","1993","Total Cereals",NA
"860","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Total Cereals",NA
"861","Estimated Value of Agricultural Output (Euro Million)","1994","Total Cereals",NA
"862","Estimated Quantity of Agricultural Output (Thousand)","1994","Total Cereals",NA
"863","Value Index of Agricultural Output (Base 1995=100)","1994","Total Cereals",NA
"864","Value of Changes in Livestock and Crops (Euro Million)","1994","Total Cereals",NA
"865","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Total Cereals",NA
"866","Estimated Value of Agricultural Output (Euro Million)","1995","Total Cereals",NA
"867","Estimated Quantity of Agricultural Output (Thousand)","1995","Total Cereals",NA
"868","Value Index of Agricultural Output (Base 1995=100)","1995","Total Cereals",NA
"869","Value of Changes in Livestock and Crops (Euro Million)","1995","Total Cereals",NA
"870","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Total Cereals",NA
"871","Estimated Value of Agricultural Output (Euro Million)","1996","Total Cereals",NA
"872","Estimated Quantity of Agricultural Output (Thousand)","1996","Total Cereals",NA
"873","Value Index of Agricultural Output (Base 1995=100)","1996","Total Cereals",NA
"874","Value of Changes in Livestock and Crops (Euro Million)","1996","Total Cereals",NA
"875","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Total Cereals",NA
"876","Estimated Value of Agricultural Output (Euro Million)","1997","Total Cereals",NA
"877","Estimated Quantity of Agricultural Output (Thousand)","1997","Total Cereals",NA
"878","Value Index of Agricultural Output (Base 1995=100)","1997","Total Cereals",NA
"879","Value of Changes in Livestock and Crops (Euro Million)","1997","Total Cereals",NA
"880","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Total Cereals",NA
"881","Estimated Value of Agricultural Output (Euro Million)","1998","Total Cereals",NA
"882","Estimated Quantity of Agricultural Output (Thousand)","1998","Total Cereals",NA
"883","Value Index of Agricultural Output (Base 1995=100)","1998","Total Cereals",NA
"884","Value of Changes in Livestock and Crops (Euro Million)","1998","Total Cereals",NA
"885","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Total Cereals",NA
"886","Estimated Value of Agricultural Output (Euro Million)","1999","Total Cereals",NA
"887","Estimated Quantity of Agricultural Output (Thousand)","1999","Total Cereals",NA
"888","Value Index of Agricultural Output (Base 1995=100)","1999","Total Cereals",NA
"889","Value of Changes in Livestock and Crops (Euro Million)","1999","Total Cereals",NA
"890","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Total Cereals",NA
"891","Estimated Value of Agricultural Output (Euro Million)","2000","Total Cereals",NA
"892","Estimated Quantity of Agricultural Output (Thousand)","2000","Total Cereals",NA
"893","Value Index of Agricultural Output (Base 1995=100)","2000","Total Cereals",NA
"894","Value of Changes in Livestock and Crops (Euro Million)","2000","Total Cereals",NA
"895","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Total Cereals",NA
"896","Estimated Value of Agricultural Output (Euro Million)","2001","Total Cereals",NA
"897","Estimated Quantity of Agricultural Output (Thousand)","2001","Total Cereals",NA
"898","Value Index of Agricultural Output (Base 1995=100)","2001","Total Cereals",NA
"899","Value of Changes in Livestock and Crops (Euro Million)","2001","Total Cereals",NA
"900","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Total Cereals",NA
"901","Estimated Value of Agricultural Output (Euro Million)","2002","Total Cereals",NA
"902","Estimated Quantity of Agricultural Output (Thousand)","2002","Total Cereals",NA
"903","Value Index of Agricultural Output (Base 1995=100)","2002","Total Cereals",NA
"904","Value of Changes in Livestock and Crops (Euro Million)","2002","Total Cereals",NA
"905","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Total Cereals",NA
"906","Estimated Value of Agricultural Output (Euro Million)","2003","Total Cereals",NA
"907","Estimated Quantity of Agricultural Output (Thousand)","2003","Total Cereals",NA
"908","Value Index of Agricultural Output (Base 1995=100)","2003","Total Cereals",NA
"909","Value of Changes in Livestock and Crops (Euro Million)","2003","Total Cereals",NA
"910","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Total Cereals",NA
"911","Estimated Value of Agricultural Output (Euro Million)","1990","Barley",127.5
"912","Estimated Quantity of Agricultural Output (Thousand)","1990","Barley",863
"913","Value Index of Agricultural Output (Base 1995=100)","1990","Barley",109.9
"914","Value of Changes in Livestock and Crops (Euro Million)","1990","Barley",NA
"915","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Barley",NA
"916","Estimated Value of Agricultural Output (Euro Million)","1991","Barley",123.4
"917","Estimated Quantity of Agricultural Output (Thousand)","1991","Barley",853
"918","Value Index of Agricultural Output (Base 1995=100)","1991","Barley",107.9
"919","Value of Changes in Livestock and Crops (Euro Million)","1991","Barley",NA
"920","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Barley",NA
"921","Estimated Value of Agricultural Output (Euro Million)","1992","Barley",132.4
"922","Estimated Quantity of Agricultural Output (Thousand)","1992","Barley",967
"923","Value Index of Agricultural Output (Base 1995=100)","1992","Barley",120.7
"924","Value of Changes in Livestock and Crops (Euro Million)","1992","Barley",NA
"925","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Barley",NA
"926","Estimated Value of Agricultural Output (Euro Million)","1993","Barley",94
"927","Estimated Quantity of Agricultural Output (Thousand)","1993","Barley",727
"928","Value Index of Agricultural Output (Base 1995=100)","1993","Barley",91.4
"929","Value of Changes in Livestock and Crops (Euro Million)","1993","Barley",NA
"930","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Barley",NA
"931","Estimated Value of Agricultural Output (Euro Million)","1994","Barley",73.7
"932","Estimated Quantity of Agricultural Output (Thousand)","1994","Barley",648
"933","Value Index of Agricultural Output (Base 1995=100)","1994","Barley",79.1
"934","Value of Changes in Livestock and Crops (Euro Million)","1994","Barley",NA
"935","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Barley",NA
"936","Estimated Value of Agricultural Output (Euro Million)","1995","Barley",110.1
"937","Estimated Quantity of Agricultural Output (Thousand)","1995","Barley",777
"938","Value Index of Agricultural Output (Base 1995=100)","1995","Barley",100
"939","Value of Changes in Livestock and Crops (Euro Million)","1995","Barley",NA
"940","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Barley",NA
"941","Estimated Value of Agricultural Output (Euro Million)","1996","Barley",123.5
"942","Estimated Quantity of Agricultural Output (Thousand)","1996","Barley",990
"943","Value Index of Agricultural Output (Base 1995=100)","1996","Barley",125.9
"944","Value of Changes in Livestock and Crops (Euro Million)","1996","Barley",NA
"945","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Barley",NA
"946","Estimated Value of Agricultural Output (Euro Million)","1997","Barley",92.7
"947","Estimated Quantity of Agricultural Output (Thousand)","1997","Barley",940
"948","Value Index of Agricultural Output (Base 1995=100)","1997","Barley",114.3
"949","Value of Changes in Livestock and Crops (Euro Million)","1997","Barley",NA
"950","Quanity of Changes in Livestock and  Crops (Thousand)","1997","Barley",NA
"951","Estimated Value of Agricultural Output (Euro Million)","1998","Barley",84.3
"952","Estimated Quantity of Agricultural Output (Thousand)","1998","Barley",817
"953","Value Index of Agricultural Output (Base 1995=100)","1998","Barley",101.3
"954","Value of Changes in Livestock and Crops (Euro Million)","1998","Barley",NA
"955","Quanity of Changes in Livestock and  Crops (Thousand)","1998","Barley",NA
"956","Estimated Value of Agricultural Output (Euro Million)","1999","Barley",106.8
"957","Estimated Quantity of Agricultural Output (Thousand)","1999","Barley",976
"958","Value Index of Agricultural Output (Base 1995=100)","1999","Barley",121
"959","Value of Changes in Livestock and Crops (Euro Million)","1999","Barley",NA
"960","Quanity of Changes in Livestock and  Crops (Thousand)","1999","Barley",NA
"961","Estimated Value of Agricultural Output (Euro Million)","2000","Barley",114.2
"962","Estimated Quantity of Agricultural Output (Thousand)","2000","Barley",1077
"963","Value Index of Agricultural Output (Base 1995=100)","2000","Barley",133.2
"964","Value of Changes in Livestock and Crops (Euro Million)","2000","Barley",NA
"965","Quanity of Changes in Livestock and  Crops (Thousand)","2000","Barley",NA
"966","Estimated Value of Agricultural Output (Euro Million)","2001","Barley",105.3
"967","Estimated Quantity of Agricultural Output (Thousand)","2001","Barley",982
"968","Value Index of Agricultural Output (Base 1995=100)","2001","Barley",121.1
"969","Value of Changes in Livestock and Crops (Euro Million)","2001","Barley",NA
"970","Quanity of Changes in Livestock and  Crops (Thousand)","2001","Barley",NA
"971","Estimated Value of Agricultural Output (Euro Million)","2002","Barley",73.1
"972","Estimated Quantity of Agricultural Output (Thousand)","2002","Barley",740
"973","Value Index of Agricultural Output (Base 1995=100)","2002","Barley",91.5
"974","Value of Changes in Livestock and Crops (Euro Million)","2002","Barley",NA
"975","Quanity of Changes in Livestock and  Crops (Thousand)","2002","Barley",NA
"976","Estimated Value of Agricultural Output (Euro Million)","2003","Barley",NA
"977","Estimated Quantity of Agricultural Output (Thousand)","2003","Barley",NA
"978","Value Index of Agricultural Output (Base 1995=100)","2003","Barley",NA
"979","Value of Changes in Livestock and Crops (Euro Million)","2003","Barley",NA
"980","Quanity of Changes in Livestock and  Crops (Thousand)","2003","Barley",NA
"981","Estimated Value of Agricultural Output (Euro Million)","1990","Wheat",79.3
"982","Estimated Quantity of Agricultural Output (Thousand)","1990","Wheat",536
"983","Value Index of Agricultural Output (Base 1995=100)","1990","Wheat",133.1
"984","Value of Changes in Livestock and Crops (Euro Million)","1990","Wheat",NA
"985","Quanity of Changes in Livestock and  Crops (Thousand)","1990","Wheat",NA
"986","Estimated Value of Agricultural Output (Euro Million)","1991","Wheat",85.3
"987","Estimated Quantity of Agricultural Output (Thousand)","1991","Wheat",574
"988","Value Index of Agricultural Output (Base 1995=100)","1991","Wheat",144.6
"989","Value of Changes in Livestock and Crops (Euro Million)","1991","Wheat",NA
"990","Quanity of Changes in Livestock and  Crops (Thousand)","1991","Wheat",NA
"991","Estimated Value of Agricultural Output (Euro Million)","1992","Wheat",91.8
"992","Estimated Quantity of Agricultural Output (Thousand)","1992","Wheat",663
"993","Value Index of Agricultural Output (Base 1995=100)","1992","Wheat",164.2
"994","Value of Changes in Livestock and Crops (Euro Million)","1992","Wheat",NA
"995","Quanity of Changes in Livestock and  Crops (Thousand)","1992","Wheat",NA
"996","Estimated Value of Agricultural Output (Euro Million)","1993","Wheat",61.5
"997","Estimated Quantity of Agricultural Output (Thousand)","1993","Wheat",443
"998","Value Index of Agricultural Output (Base 1995=100)","1993","Wheat",109.7
"999","Value of Changes in Livestock and Crops (Euro Million)","1993","Wheat",NA
"1000","Quanity of Changes in Livestock and  Crops (Thousand)","1993","Wheat",NA
"1001","Estimated Value of Agricultural Output (Euro Million)","1994","Wheat",46
"1002","Estimated Quantity of Agricultural Output (Thousand)","1994","Wheat",394
"1003","Value Index of Agricultural Output (Base 1995=100)","1994","Wheat",94
"1004","Value of Changes in Livestock and Crops (Euro Million)","1994","Wheat",NA
"1005","Quanity of Changes in Livestock and  Crops (Thousand)","1994","Wheat",NA
"1006","Estimated Value of Agricultural Output (Euro Million)","1995","Wheat",56.9
"1007","Estimated Quantity of Agricultural Output (Thousand)","1995","Wheat",393
"1008","Value Index of Agricultural Output (Base 1995=100)","1995","Wheat",100
"1009","Value of Changes in Livestock and Crops (Euro Million)","1995","Wheat",NA
"1010","Quanity of Changes in Livestock and  Crops (Thousand)","1995","Wheat",NA
"1011","Estimated Value of Agricultural Output (Euro Million)","1996","Wheat",68.4
"1012","Estimated Quantity of Agricultural Output (Thousand)","1996","Wheat",553
"1013","Value Index of Agricultural Output (Base 1995=100)","1996","Wheat",138.7
"1014","Value of Changes in Livestock and Crops (Euro Million)","1996","Wheat",NA
"1015","Quanity of Changes in Livestock and  Crops (Thousand)","1996","Wheat",NA
"1016","Estimated Value of Agricultural Output (Euro Million)","1997","Wheat",59.4
