"","Statistic","Year","Type.of.Pig","value"
"711","Pig Population Estimated from June Survey (Thousand)","1979","Other pigs: 50kg and under 80kg",312.5
"712","Pig Population Estimated from December Survey (Thousand)","1979","Other pigs: 50kg and under 80kg",306.9
"713","Pig Population Estimated from June Survey (Thousand)","1980","Other pigs: 50kg and under 80kg",294.6
"714","Pig Population Estimated from December Survey (Thousand)","1980","Other pigs: 50kg and under 80kg",311.1
"715","Pig Population Estimated from June Survey (Thousand)","1981","Other pigs: 50kg and under 80kg",284.4
"716","Pig Population Estimated from December Survey (Thousand)","1981","Other pigs: 50kg and under 80kg",278.4
"717","Pig Population Estimated from June Survey (Thousand)","1982","Other pigs: 50kg and under 80kg",279.5
"718","Pig Population Estimated from December Survey (Thousand)","1982","Other pigs: 50kg and under 80kg",299.3
"719","Pig Population Estimated from June Survey (Thousand)","1983","Other pigs: 50kg and under 80kg",291.1
"720","Pig Population Estimated from December Survey (Thousand)","1983","Other pigs: 50kg and under 80kg",279
"721","Pig Population Estimated from June Survey (Thousand)","1984","Other pigs: 50kg and under 80kg",261.9
"722","Pig Population Estimated from December Survey (Thousand)","1984","Other pigs: 50kg and under 80kg",263.1
"723","Pig Population Estimated from June Survey (Thousand)","1985","Other pigs: 50kg and under 80kg",249.2
"724","Pig Population Estimated from December Survey (Thousand)","1985","Other pigs: 50kg and under 80kg",265.3
"725","Pig Population Estimated from June Survey (Thousand)","1986","Other pigs: 50kg and under 80kg",255.1
"726","Pig Population Estimated from December Survey (Thousand)","1986","Other pigs: 50kg and under 80kg",264.7
"727","Pig Population Estimated from June Survey (Thousand)","1987","Other pigs: 50kg and under 80kg",251.9
"728","Pig Population Estimated from December Survey (Thousand)","1987","Other pigs: 50kg and under 80kg",258.6
"729","Pig Population Estimated from June Survey (Thousand)","1988","Other pigs: 50kg and under 80kg",250.8
"730","Pig Population Estimated from December Survey (Thousand)","1988","Other pigs: 50kg and under 80kg",250.7
"731","Pig Population Estimated from June Survey (Thousand)","1989","Other pigs: 50kg and under 80kg",259.4
"732","Pig Population Estimated from December Survey (Thousand)","1989","Other pigs: 50kg and under 80kg",265.5
"733","Pig Population Estimated from June Survey (Thousand)","1990","Other pigs: 50kg and under 80kg",280.9
"734","Pig Population Estimated from December Survey (Thousand)","1990","Other pigs: 50kg and under 80kg",282.3
"735","Pig Population Estimated from June Survey (Thousand)","1991","Other pigs: 50kg and under 80kg",296.8
"736","Pig Population Estimated from December Survey (Thousand)","1991","Other pigs: 50kg and under 80kg",309.7
"737","Pig Population Estimated from June Survey (Thousand)","1992","Other pigs: 50kg and under 80kg",308.7
"738","Pig Population Estimated from December Survey (Thousand)","1992","Other pigs: 50kg and under 80kg",314.6
"739","Pig Population Estimated from June Survey (Thousand)","1993","Other pigs: 50kg and under 80kg",343.5
"740","Pig Population Estimated from December Survey (Thousand)","1993","Other pigs: 50kg and under 80kg",334.4
"741","Pig Population Estimated from June Survey (Thousand)","1994","Other pigs: 50kg and under 80kg",336.2
"742","Pig Population Estimated from December Survey (Thousand)","1994","Other pigs: 50kg and under 80kg",339
"743","Pig Population Estimated from June Survey (Thousand)","1995","Other pigs: 50kg and under 80kg",352.1
"744","Pig Population Estimated from December Survey (Thousand)","1995","Other pigs: 50kg and under 80kg",344.7
"745","Pig Population Estimated from June Survey (Thousand)","1996","Other pigs: 50kg and under 80kg",365.3
"746","Pig Population Estimated from December Survey (Thousand)","1996","Other pigs: 50kg and under 80kg",371.4
"747","Pig Population Estimated from June Survey (Thousand)","1997","Other pigs: 50kg and under 80kg",391
"748","Pig Population Estimated from December Survey (Thousand)","1997","Other pigs: 50kg and under 80kg",407.8
"749","Pig Population Estimated from June Survey (Thousand)","1998","Other pigs: 50kg and under 80kg",429.7
"750","Pig Population Estimated from December Survey (Thousand)","1998","Other pigs: 50kg and under 80kg",433.7
"751","Pig Population Estimated from June Survey (Thousand)","1999","Other pigs: 50kg and under 80kg",409
"752","Pig Population Estimated from December Survey (Thousand)","1999","Other pigs: 50kg and under 80kg",407.7
"753","Pig Population Estimated from June Survey (Thousand)","2000","Other pigs: 50kg and under 80kg",379.2
"754","Pig Population Estimated from December Survey (Thousand)","2000","Other pigs: 50kg and under 80kg",395.6
"755","Pig Population Estimated from June Survey (Thousand)","2001","Other pigs: 50kg and under 80kg",383.3
"756","Pig Population Estimated from December Survey (Thousand)","2001","Other pigs: 50kg and under 80kg",397.1
"757","Pig Population Estimated from June Survey (Thousand)","2002","Other pigs: 50kg and under 80kg",401.4
"758","Pig Population Estimated from December Survey (Thousand)","2002","Other pigs: 50kg and under 80kg",393.1
"759","Pig Population Estimated from June Survey (Thousand)","2003","Other pigs: 50kg and under 80kg",385
"760","Pig Population Estimated from December Survey (Thousand)","2003","Other pigs: 50kg and under 80kg",385.1
"761","Pig Population Estimated from June Survey (Thousand)","2004","Other pigs: 50kg and under 80kg",376.9
"762","Pig Population Estimated from December Survey (Thousand)","2004","Other pigs: 50kg and under 80kg",393.8
"763","Pig Population Estimated from June Survey (Thousand)","2005","Other pigs: 50kg and under 80kg",379.7
"764","Pig Population Estimated from December Survey (Thousand)","2005","Other pigs: 50kg and under 80kg",366.7
"765","Pig Population Estimated from June Survey (Thousand)","2006","Other pigs: 50kg and under 80kg",370.4
"766","Pig Population Estimated from December Survey (Thousand)","2006","Other pigs: 50kg and under 80kg",349.2
"767","Pig Population Estimated from June Survey (Thousand)","2007","Other pigs: 50kg and under 80kg",330.6
"768","Pig Population Estimated from December Survey (Thousand)","2007","Other pigs: 50kg and under 80kg",304.8
"769","Pig Population Estimated from June Survey (Thousand)","2008","Other pigs: 50kg and under 80kg",303.3
"770","Pig Population Estimated from December Survey (Thousand)","2008","Other pigs: 50kg and under 80kg",312.6
"771","Pig Population Estimated from June Survey (Thousand)","2009","Other pigs: 50kg and under 80kg",283.9
"772","Pig Population Estimated from December Survey (Thousand)","2009","Other pigs: 50kg and under 80kg",300.4
"773","Pig Population Estimated from June Survey (Thousand)","2010","Other pigs: 50kg and under 80kg",294
"774","Pig Population Estimated from December Survey (Thousand)","2010","Other pigs: 50kg and under 80kg",295.6
"775","Pig Population Estimated from June Survey (Thousand)","2011","Other pigs: 50kg and under 80kg",295.9
"776","Pig Population Estimated from December Survey (Thousand)","2011","Other pigs: 50kg and under 80kg",335
"777","Pig Population Estimated from June Survey (Thousand)","2012","Other pigs: 50kg and under 80kg",316.2
"778","Pig Population Estimated from December Survey (Thousand)","2012","Other pigs: 50kg and under 80kg",298.7
"779","Pig Population Estimated from June Survey (Thousand)","2013","Other pigs: 50kg and under 80kg",303.9
"780","Pig Population Estimated from December Survey (Thousand)","2013","Other pigs: 50kg and under 80kg",NA
"781","Pig Population Estimated from June Survey (Thousand)","1975","Other pigs: 80kg and under 110kg",60.1
"782","Pig Population Estimated from December Survey (Thousand)","1975","Other pigs: 80kg and under 110kg",60.4
"783","Pig Population Estimated from June Survey (Thousand)","1976","Other pigs: 80kg and under 110kg",67.9
"784","Pig Population Estimated from December Survey (Thousand)","1976","Other pigs: 80kg and under 110kg",64.3
"785","Pig Population Estimated from June Survey (Thousand)","1977","Other pigs: 80kg and under 110kg",79
"786","Pig Population Estimated from December Survey (Thousand)","1977","Other pigs: 80kg and under 110kg",69.7
"787","Pig Population Estimated from June Survey (Thousand)","1978","Other pigs: 80kg and under 110kg",75.2
"788","Pig Population Estimated from December Survey (Thousand)","1978","Other pigs: 80kg and under 110kg",76.6
"789","Pig Population Estimated from June Survey (Thousand)","1979","Other pigs: 80kg and under 110kg",91.2
"790","Pig Population Estimated from December Survey (Thousand)","1979","Other pigs: 80kg and under 110kg",76.1
"791","Pig Population Estimated from June Survey (Thousand)","1980","Other pigs: 80kg and under 110kg",79.6
"792","Pig Population Estimated from December Survey (Thousand)","1980","Other pigs: 80kg and under 110kg",67.2
"793","Pig Population Estimated from June Survey (Thousand)","1981","Other pigs: 80kg and under 110kg",67.9
"794","Pig Population Estimated from December Survey (Thousand)","1981","Other pigs: 80kg and under 110kg",75.1
"795","Pig Population Estimated from June Survey (Thousand)","1982","Other pigs: 80kg and under 110kg",78.1
"796","Pig Population Estimated from December Survey (Thousand)","1982","Other pigs: 80kg and under 110kg",83.6
"797","Pig Population Estimated from June Survey (Thousand)","1983","Other pigs: 80kg and under 110kg",77.4
"798","Pig Population Estimated from December Survey (Thousand)","1983","Other pigs: 80kg and under 110kg",81
"799","Pig Population Estimated from June Survey (Thousand)","1984","Other pigs: 80kg and under 110kg",82.1
"800","Pig Population Estimated from December Survey (Thousand)","1984","Other pigs: 80kg and under 110kg",71.8
"801","Pig Population Estimated from June Survey (Thousand)","1985","Other pigs: 80kg and under 110kg",74.9
"802","Pig Population Estimated from December Survey (Thousand)","1985","Other pigs: 80kg and under 110kg",67
"803","Pig Population Estimated from June Survey (Thousand)","1986","Other pigs: 80kg and under 110kg",75.1
"804","Pig Population Estimated from December Survey (Thousand)","1986","Other pigs: 80kg and under 110kg",65.2
"805","Pig Population Estimated from June Survey (Thousand)","1987","Other pigs: 80kg and under 110kg",76.3
"806","Pig Population Estimated from December Survey (Thousand)","1987","Other pigs: 80kg and under 110kg",64.4
"807","Pig Population Estimated from June Survey (Thousand)","1988","Other pigs: 80kg and under 110kg",68.3
"808","Pig Population Estimated from December Survey (Thousand)","1988","Other pigs: 80kg and under 110kg",67.9
"809","Pig Population Estimated from June Survey (Thousand)","1989","Other pigs: 80kg and under 110kg",69.3
"810","Pig Population Estimated from December Survey (Thousand)","1989","Other pigs: 80kg and under 110kg",72.9
"811","Pig Population Estimated from June Survey (Thousand)","1990","Other pigs: 80kg and under 110kg",81.5
"812","Pig Population Estimated from December Survey (Thousand)","1990","Other pigs: 80kg and under 110kg",90.5
"813","Pig Population Estimated from June Survey (Thousand)","1991","Other pigs: 80kg and under 110kg",94.8
"814","Pig Population Estimated from December Survey (Thousand)","1991","Other pigs: 80kg and under 110kg",93.1
"815","Pig Population Estimated from June Survey (Thousand)","1992","Other pigs: 80kg and under 110kg",93.8
"816","Pig Population Estimated from December Survey (Thousand)","1992","Other pigs: 80kg and under 110kg",102.1
"817","Pig Population Estimated from June Survey (Thousand)","1993","Other pigs: 80kg and under 110kg",100.5
"818","Pig Population Estimated from December Survey (Thousand)","1993","Other pigs: 80kg and under 110kg",115.7
"819","Pig Population Estimated from June Survey (Thousand)","1994","Other pigs: 80kg and under 110kg",110.7
"820","Pig Population Estimated from December Survey (Thousand)","1994","Other pigs: 80kg and under 110kg",124.9
"821","Pig Population Estimated from June Survey (Thousand)","1995","Other pigs: 80kg and under 110kg",113.5
"822","Pig Population Estimated from December Survey (Thousand)","1995","Other pigs: 80kg and under 110kg",135.7
"823","Pig Population Estimated from June Survey (Thousand)","1996","Other pigs: 80kg and under 110kg",130.1
"824","Pig Population Estimated from December Survey (Thousand)","1996","Other pigs: 80kg and under 110kg",151
"825","Pig Population Estimated from June Survey (Thousand)","1997","Other pigs: 80kg and under 110kg",136.1
"826","Pig Population Estimated from December Survey (Thousand)","1997","Other pigs: 80kg and under 110kg",132.8
"827","Pig Population Estimated from June Survey (Thousand)","1998","Other pigs: 80kg and under 110kg",164
"828","Pig Population Estimated from December Survey (Thousand)","1998","Other pigs: 80kg and under 110kg",164.1
"829","Pig Population Estimated from June Survey (Thousand)","1999","Other pigs: 80kg and under 110kg",137.8
"830","Pig Population Estimated from December Survey (Thousand)","1999","Other pigs: 80kg and under 110kg",154.6
"831","Pig Population Estimated from June Survey (Thousand)","2000","Other pigs: 80kg and under 110kg",128.4
"832","Pig Population Estimated from December Survey (Thousand)","2000","Other pigs: 80kg and under 110kg",151.1
"833","Pig Population Estimated from June Survey (Thousand)","2001","Other pigs: 80kg and under 110kg",141.3
"834","Pig Population Estimated from December Survey (Thousand)","2001","Other pigs: 80kg and under 110kg",168.3
"835","Pig Population Estimated from June Survey (Thousand)","2002","Other pigs: 80kg and under 110kg",160.1
"836","Pig Population Estimated from December Survey (Thousand)","2002","Other pigs: 80kg and under 110kg",177.2
"837","Pig Population Estimated from June Survey (Thousand)","2003","Other pigs: 80kg and under 110kg",174.4
"838","Pig Population Estimated from December Survey (Thousand)","2003","Other pigs: 80kg and under 110kg",188.7
"839","Pig Population Estimated from June Survey (Thousand)","2004","Other pigs: 80kg and under 110kg",139.9
"840","Pig Population Estimated from December Survey (Thousand)","2004","Other pigs: 80kg and under 110kg",161
"841","Pig Population Estimated from June Survey (Thousand)","2005","Other pigs: 80kg and under 110kg",150.8
"842","Pig Population Estimated from December Survey (Thousand)","2005","Other pigs: 80kg and under 110kg",160.4
"843","Pig Population Estimated from June Survey (Thousand)","2006","Other pigs: 80kg and under 110kg",205.7
"844","Pig Population Estimated from December Survey (Thousand)","2006","Other pigs: 80kg and under 110kg",211.5
"845","Pig Population Estimated from June Survey (Thousand)","2007","Other pigs: 80kg and under 110kg",193
"846","Pig Population Estimated from December Survey (Thousand)","2007","Other pigs: 80kg and under 110kg",189.1
"847","Pig Population Estimated from June Survey (Thousand)","2008","Other pigs: 80kg and under 110kg",219
"848","Pig Population Estimated from December Survey (Thousand)","2008","Other pigs: 80kg and under 110kg",215.6
"849","Pig Population Estimated from June Survey (Thousand)","2009","Other pigs: 80kg and under 110kg",197.3
"850","Pig Population Estimated from December Survey (Thousand)","2009","Other pigs: 80kg and under 110kg",230
"851","Pig Population Estimated from June Survey (Thousand)","2010","Other pigs: 80kg and under 110kg",246.3
"852","Pig Population Estimated from December Survey (Thousand)","2010","Other pigs: 80kg and under 110kg",238.1
"853","Pig Population Estimated from June Survey (Thousand)","2011","Other pigs: 80kg and under 110kg",240.7
"854","Pig Population Estimated from December Survey (Thousand)","2011","Other pigs: 80kg and under 110kg",208.6
"855","Pig Population Estimated from June Survey (Thousand)","2012","Other pigs: 80kg and under 110kg",237.7
"856","Pig Population Estimated from December Survey (Thousand)","2012","Other pigs: 80kg and under 110kg",213.9
"857","Pig Population Estimated from June Survey (Thousand)","2013","Other pigs: 80kg and under 110kg",238.5
"858","Pig Population Estimated from December Survey (Thousand)","2013","Other pigs: 80kg and under 110kg",NA
"859","Pig Population Estimated from June Survey (Thousand)","1975","Other pigs: 110kg and over",5.6
"860","Pig Population Estimated from December Survey (Thousand)","1975","Other pigs: 110kg and over",6
"861","Pig Population Estimated from June Survey (Thousand)","1976","Other pigs: 110kg and over",7.4
"862","Pig Population Estimated from December Survey (Thousand)","1976","Other pigs: 110kg and over",7.1
"863","Pig Population Estimated from June Survey (Thousand)","1977","Other pigs: 110kg and over",9.3
"864","Pig Population Estimated from December Survey (Thousand)","1977","Other pigs: 110kg and over",8.4
"865","Pig Population Estimated from June Survey (Thousand)","1978","Other pigs: 110kg and over",16.4
"866","Pig Population Estimated from December Survey (Thousand)","1978","Other pigs: 110kg and over",15.4
"867","Pig Population Estimated from June Survey (Thousand)","1979","Other pigs: 110kg and over",16.6
"868","Pig Population Estimated from December Survey (Thousand)","1979","Other pigs: 110kg and over",17.5
"869","Pig Population Estimated from June Survey (Thousand)","1980","Other pigs: 110kg and over",20.8
"870","Pig Population Estimated from December Survey (Thousand)","1980","Other pigs: 110kg and over",20.2
"871","Pig Population Estimated from June Survey (Thousand)","1981","Other pigs: 110kg and over",20.7
"872","Pig Population Estimated from December Survey (Thousand)","1981","Other pigs: 110kg and over",18.8
"873","Pig Population Estimated from June Survey (Thousand)","1982","Other pigs: 110kg and over",16
"874","Pig Population Estimated from December Survey (Thousand)","1982","Other pigs: 110kg and over",18.3
"875","Pig Population Estimated from June Survey (Thousand)","1983","Other pigs: 110kg and over",16.6
"876","Pig Population Estimated from December Survey (Thousand)","1983","Other pigs: 110kg and over",18.6
"877","Pig Population Estimated from June Survey (Thousand)","1984","Other pigs: 110kg and over",16.4
"878","Pig Population Estimated from December Survey (Thousand)","1984","Other pigs: 110kg and over",18.7
"879","Pig Population Estimated from June Survey (Thousand)","1985","Other pigs: 110kg and over",14
"880","Pig Population Estimated from December Survey (Thousand)","1985","Other pigs: 110kg and over",18.8
"881","Pig Population Estimated from June Survey (Thousand)","1986","Other pigs: 110kg and over",11
"882","Pig Population Estimated from December Survey (Thousand)","1986","Other pigs: 110kg and over",15.6
"883","Pig Population Estimated from June Survey (Thousand)","1987","Other pigs: 110kg and over",9.1
"884","Pig Population Estimated from December Survey (Thousand)","1987","Other pigs: 110kg and over",12.2
"885","Pig Population Estimated from June Survey (Thousand)","1988","Other pigs: 110kg and over",13.5
"886","Pig Population Estimated from December Survey (Thousand)","1988","Other pigs: 110kg and over",9.5
"887","Pig Population Estimated from June Survey (Thousand)","1989","Other pigs: 110kg and over",9.8
"888","Pig Population Estimated from December Survey (Thousand)","1989","Other pigs: 110kg and over",12.2
"889","Pig Population Estimated from June Survey (Thousand)","1990","Other pigs: 110kg and over",12.8
"890","Pig Population Estimated from December Survey (Thousand)","1990","Other pigs: 110kg and over",10.3
"891","Pig Population Estimated from June Survey (Thousand)","1991","Other pigs: 110kg and over",11
"892","Pig Population Estimated from December Survey (Thousand)","1991","Other pigs: 110kg and over",8.3
"893","Pig Population Estimated from June Survey (Thousand)","1992","Other pigs: 110kg and over",8.2
"894","Pig Population Estimated from December Survey (Thousand)","1992","Other pigs: 110kg and over",6.8
"895","Pig Population Estimated from June Survey (Thousand)","1993","Other pigs: 110kg and over",11.3
"896","Pig Population Estimated from December Survey (Thousand)","1993","Other pigs: 110kg and over",4.3
"897","Pig Population Estimated from June Survey (Thousand)","1994","Other pigs: 110kg and over",9.9
"898","Pig Population Estimated from December Survey (Thousand)","1994","Other pigs: 110kg and over",4.8
"899","Pig Population Estimated from June Survey (Thousand)","1995","Other pigs: 110kg and over",3.7
"900","Pig Population Estimated from December Survey (Thousand)","1995","Other pigs: 110kg and over",5.9
"901","Pig Population Estimated from June Survey (Thousand)","1996","Other pigs: 110kg and over",4.7
"902","Pig Population Estimated from December Survey (Thousand)","1996","Other pigs: 110kg and over",2.7
"903","Pig Population Estimated from June Survey (Thousand)","1997","Other pigs: 110kg and over",4.2
"904","Pig Population Estimated from December Survey (Thousand)","1997","Other pigs: 110kg and over",4
"905","Pig Population Estimated from June Survey (Thousand)","1998","Other pigs: 110kg and over",5.2
"906","Pig Population Estimated from December Survey (Thousand)","1998","Other pigs: 110kg and over",5.5
"907","Pig Population Estimated from June Survey (Thousand)","1999","Other pigs: 110kg and over",3.9
"908","Pig Population Estimated from December Survey (Thousand)","1999","Other pigs: 110kg and over",4.2
"909","Pig Population Estimated from June Survey (Thousand)","2000","Other pigs: 110kg and over",0.5
"910","Pig Population Estimated from December Survey (Thousand)","2000","Other pigs: 110kg and over",4.3
"911","Pig Population Estimated from June Survey (Thousand)","2001","Other pigs: 110kg and over",1.8
"912","Pig Population Estimated from December Survey (Thousand)","2001","Other pigs: 110kg and over",4.6
"913","Pig Population Estimated from June Survey (Thousand)","2002","Other pigs: 110kg and over",2.7
"914","Pig Population Estimated from December Survey (Thousand)","2002","Other pigs: 110kg and over",5
"915","Pig Population Estimated from June Survey (Thousand)","2003","Other pigs: 110kg and over",5
"916","Pig Population Estimated from December Survey (Thousand)","2003","Other pigs: 110kg and over",7.1
"917","Pig Population Estimated from June Survey (Thousand)","2004","Other pigs: 110kg and over",7.2
"918","Pig Population Estimated from December Survey (Thousand)","2004","Other pigs: 110kg and over",6.8
"919","Pig Population Estimated from June Survey (Thousand)","2005","Other pigs: 110kg and over",5.3
"920","Pig Population Estimated from December Survey (Thousand)","2005","Other pigs: 110kg and over",5.9
"921","Pig Population Estimated from June Survey (Thousand)","2006","Other pigs: 110kg and over",7.8
"922","Pig Population Estimated from December Survey (Thousand)","2006","Other pigs: 110kg and over",10.4
"923","Pig Population Estimated from June Survey (Thousand)","2007","Other pigs: 110kg and over",7.1
"924","Pig Population Estimated from December Survey (Thousand)","2007","Other pigs: 110kg and over",12.2
"925","Pig Population Estimated from June Survey (Thousand)","2008","Other pigs: 110kg and over",11.5
"926","Pig Population Estimated from December Survey (Thousand)","2008","Other pigs: 110kg and over",10
"927","Pig Population Estimated from June Survey (Thousand)","2009","Other pigs: 110kg and over",20.8
"928","Pig Population Estimated from December Survey (Thousand)","2009","Other pigs: 110kg and over",11.1
"929","Pig Population Estimated from June Survey (Thousand)","2010","Other pigs: 110kg and over",7
"930","Pig Population Estimated from December Survey (Thousand)","2010","Other pigs: 110kg and over",10.8
"931","Pig Population Estimated from June Survey (Thousand)","2011","Other pigs: 110kg and over",9.5
"932","Pig Population Estimated from December Survey (Thousand)","2011","Other pigs: 110kg and over",11.1
"933","Pig Population Estimated from June Survey (Thousand)","2012","Other pigs: 110kg and over",7.8
"934","Pig Population Estimated from December Survey (Thousand)","2012","Other pigs: 110kg and over",14.9
"935","Pig Population Estimated from June Survey (Thousand)","2013","Other pigs: 110kg and over",13.9
"936","Pig Population Estimated from December Survey (Thousand)","2013","Other pigs: 110kg and over",NA
"937","Pig Population Estimated from June Survey (Thousand)","1975","Other pigs: under 20kg",211.1
"938","Pig Population Estimated from December Survey (Thousand)","1975","Other pigs: under 20kg",222.7
"939","Pig Population Estimated from June Survey (Thousand)","1976","Other pigs: under 20kg",247.3
"940","Pig Population Estimated from December Survey (Thousand)","1976","Other pigs: under 20kg",237.6
"941","Pig Population Estimated from June Survey (Thousand)","1977","Other pigs: under 20kg",235.9
"942","Pig Population Estimated from December Survey (Thousand)","1977","Other pigs: under 20kg",217.7
"943","Pig Population Estimated from June Survey (Thousand)","1978","Other pigs: under 20kg",248.1
"944","Pig Population Estimated from December Survey (Thousand)","1978","Other pigs: under 20kg",255.7
"945","Pig Population Estimated from June Survey (Thousand)","1979","Other pigs: under 20kg",248.7
"946","Pig Population Estimated from December Survey (Thousand)","1979","Other pigs: under 20kg",227.9
"947","Pig Population Estimated from June Survey (Thousand)","1980","Other pigs: under 20kg",230
"948","Pig Population Estimated from December Survey (Thousand)","1980","Other pigs: under 20kg",224.6
"949","Pig Population Estimated from June Survey (Thousand)","1981","Other pigs: under 20kg",237.1
"950","Pig Population Estimated from December Survey (Thousand)","1981","Other pigs: under 20kg",236.3
"951","Pig Population Estimated from June Survey (Thousand)","1982","Other pigs: under 20kg",253.5
"952","Pig Population Estimated from December Survey (Thousand)","1982","Other pigs: under 20kg",239.7
"953","Pig Population Estimated from June Survey (Thousand)","1983","Other pigs: under 20kg",248.1
"954","Pig Population Estimated from December Survey (Thousand)","1983","Other pigs: under 20kg",240.7
"955","Pig Population Estimated from June Survey (Thousand)","1984","Other pigs: under 20kg",233
"956","Pig Population Estimated from December Survey (Thousand)","1984","Other pigs: under 20kg",238.8
"957","Pig Population Estimated from June Survey (Thousand)","1985","Other pigs: under 20kg",233
"958","Pig Population Estimated from December Survey (Thousand)","1985","Other pigs: under 20kg",240.5
"959","Pig Population Estimated from June Survey (Thousand)","1986","Other pigs: under 20kg",230.5
"960","Pig Population Estimated from December Survey (Thousand)","1986","Other pigs: under 20kg",219.4
"961","Pig Population Estimated from June Survey (Thousand)","1987","Other pigs: under 20kg",226.4
"962","Pig Population Estimated from December Survey (Thousand)","1987","Other pigs: under 20kg",217.2
"963","Pig Population Estimated from June Survey (Thousand)","1988","Other pigs: under 20kg",240.8
"964","Pig Population Estimated from December Survey (Thousand)","1988","Other pigs: under 20kg",244.7
"965","Pig Population Estimated from June Survey (Thousand)","1989","Other pigs: under 20kg",265.8
"966","Pig Population Estimated from December Survey (Thousand)","1989","Other pigs: under 20kg",279.9
"967","Pig Population Estimated from June Survey (Thousand)","1990","Other pigs: under 20kg",304.1
"968","Pig Population Estimated from December Survey (Thousand)","1990","Other pigs: under 20kg",333.9
"969","Pig Population Estimated from June Survey (Thousand)","1991","Other pigs: under 20kg",351
"970","Pig Population Estimated from December Survey (Thousand)","1991","Other pigs: under 20kg",365.2
"971","Pig Population Estimated from June Survey (Thousand)","1992","Other pigs: under 20kg",386.3
"972","Pig Population Estimated from December Survey (Thousand)","1992","Other pigs: under 20kg",397.6
"973","Pig Population Estimated from June Survey (Thousand)","1993","Other pigs: under 20kg",417
"974","Pig Population Estimated from December Survey (Thousand)","1993","Other pigs: under 20kg",427.2
"975","Pig Population Estimated from June Survey (Thousand)","1994","Other pigs: under 20kg",436.5
"976","Pig Population Estimated from December Survey (Thousand)","1994","Other pigs: under 20kg",414.1
"977","Pig Population Estimated from June Survey (Thousand)","1995","Other pigs: under 20kg",422.9
"978","Pig Population Estimated from December Survey (Thousand)","1995","Other pigs: under 20kg",410.4
"979","Pig Population Estimated from June Survey (Thousand)","1996","Other pigs: under 20kg",432.8
"980","Pig Population Estimated from December Survey (Thousand)","1996","Other pigs: under 20kg",450.3
"981","Pig Population Estimated from June Survey (Thousand)","1997","Other pigs: under 20kg",446.5
"982","Pig Population Estimated from December Survey (Thousand)","1997","Other pigs: under 20kg",453
"983","Pig Population Estimated from June Survey (Thousand)","1998","Other pigs: under 20kg",469.2
"984","Pig Population Estimated from December Survey (Thousand)","1998","Other pigs: under 20kg",469.3
"985","Pig Population Estimated from June Survey (Thousand)","1999","Other pigs: under 20kg",492.8
"986","Pig Population Estimated from December Survey (Thousand)","1999","Other pigs: under 20kg",485.7
"987","Pig Population Estimated from June Survey (Thousand)","2000","Other pigs: under 20kg",526.5
"988","Pig Population Estimated from December Survey (Thousand)","2000","Other pigs: under 20kg",481.8
"989","Pig Population Estimated from June Survey (Thousand)","2001","Other pigs: under 20kg",547.9
"990","Pig Population Estimated from December Survey (Thousand)","2001","Other pigs: under 20kg",522.6
"991","Pig Population Estimated from June Survey (Thousand)","2002","Other pigs: under 20kg",548.2
"992","Pig Population Estimated from December Survey (Thousand)","2002","Other pigs: under 20kg",538
"993","Pig Population Estimated from June Survey (Thousand)","2003","Other pigs: under 20kg",520.5
"994","Pig Population Estimated from December Survey (Thousand)","2003","Other pigs: under 20kg",496.3
"995","Pig Population Estimated from June Survey (Thousand)","2004","Other pigs: under 20kg",495.2
"996","Pig Population Estimated from December Survey (Thousand)","2004","Other pigs: under 20kg",504.8
"997","Pig Population Estimated from June Survey (Thousand)","2005","Other pigs: under 20kg",509.1
"998","Pig Population Estimated from December Survey (Thousand)","2005","Other pigs: under 20kg",478.4
"999","Pig Population Estimated from June Survey (Thousand)","2006","Other pigs: under 20kg",436.3
"1000","Pig Population Estimated from December Survey (Thousand)","2006","Other pigs: under 20kg",420.7
"1001","Pig Population Estimated from June Survey (Thousand)","2007","Other pigs: under 20kg",449.9
"1002","Pig Population Estimated from December Survey (Thousand)","2007","Other pigs: under 20kg",435.7
"1003","Pig Population Estimated from June Survey (Thousand)","2008","Other pigs: under 20kg",388.7
"1004","Pig Population Estimated from December Survey (Thousand)","2008","Other pigs: under 20kg",410.7
"1005","Pig Population Estimated from June Survey (Thousand)","2009","Other pigs: under 20kg",371.3
"1006","Pig Population Estimated from December Survey (Thousand)","2009","Other pigs: under 20kg",385.3
"1007","Pig Population Estimated from June Survey (Thousand)","2010","Other pigs: under 20kg",393.4
"1008","Pig Population Estimated from December Survey (Thousand)","2010","Other pigs: under 20kg",405.7
"1009","Pig Population Estimated from June Survey (Thousand)","2011","Other pigs: under 20kg",420.8
"1010","Pig Population Estimated from December Survey (Thousand)","2011","Other pigs: under 20kg",447.9
"1011","Pig Population Estimated from June Survey (Thousand)","2012","Other pigs: under 20kg",444.3
"1012","Pig Population Estimated from December Survey (Thousand)","2012","Other pigs: under 20kg",407.7
"1013","Pig Population Estimated from June Survey (Thousand)","2013","Other pigs: under 20kg",448.8
"1014","Pig Population Estimated from December Survey (Thousand)","2013","Other pigs: under 20kg",NA
