"","Statistic","Year","Type.of.Cow","Size.of.Herd","value"
"742","Number of Cattle (Thousand)","1999","Cows","15-19",189.1
"743","Number of Farms with Cattle (Thousand)","2001","Cows","15-19",9.4
"744","Number of Cattle (Thousand)","2001","Cows","15-19",178.7
"745","Number of Farms with Cattle (Thousand)","2003","Cows","15-19",8.8
"746","Number of Cattle (Thousand)","2003","Cows","15-19",174.3
"747","Number of Farms with Cattle (Thousand)","2005","Cows","15-19",8.3
"748","Number of Cattle (Thousand)","2005","Cows","15-19",162
"749","Number of Farms with Cattle (Thousand)","1973","Dairy Cows","15-19",9.8
"750","Number of Cattle (Thousand)","1973","Dairy Cows","15-19",163.5
"751","Number of Farms with Cattle (Thousand)","1975","Dairy Cows","15-19",8.9
"752","Number of Cattle (Thousand)","1975","Dairy Cows","15-19",147.5
"753","Number of Farms with Cattle (Thousand)","1977","Dairy Cows","15-19",9.1
"754","Number of Cattle (Thousand)","1977","Dairy Cows","15-19",150.6
"755","Number of Farms with Cattle (Thousand)","1979","Dairy Cows","15-19",8.4
"756","Number of Cattle (Thousand)","1979","Dairy Cows","15-19",139.5
"757","Number of Farms with Cattle (Thousand)","1981","Dairy Cows","15-19",7.8
"758","Number of Cattle (Thousand)","1981","Dairy Cows","15-19",129.9
"759","Number of Farms with Cattle (Thousand)","1983","Dairy Cows","15-19",7.3
"760","Number of Cattle (Thousand)","1983","Dairy Cows","15-19",120.5
"761","Number of Farms with Cattle (Thousand)","1985","Dairy Cows","15-19",7.2
"762","Number of Cattle (Thousand)","1985","Dairy Cows","15-19",119.2
"763","Number of Farms with Cattle (Thousand)","1987","Dairy Cows","15-19",6.7
"764","Number of Cattle (Thousand)","1987","Dairy Cows","15-19",111.3
"765","Number of Farms with Cattle (Thousand)","1989","Dairy Cows","15-19",6.5
"766","Number of Cattle (Thousand)","1989","Dairy Cows","15-19",108.1
"767","Number of Farms with Cattle (Thousand)","1991","Dairy Cows","15-19",5.7
"768","Number of Cattle (Thousand)","1991","Dairy Cows","15-19",94.4
"769","Number of Farms with Cattle (Thousand)","1993","Dairy Cows","15-19",4.9
"770","Number of Cattle (Thousand)","1993","Dairy Cows","15-19",81
"771","Number of Farms with Cattle (Thousand)","1995","Dairy Cows","15-19",4
"772","Number of Cattle (Thousand)","1995","Dairy Cows","15-19",68.9
"773","Number of Farms with Cattle (Thousand)","1997","Dairy Cows","15-19",3.4
"774","Number of Cattle (Thousand)","1997","Dairy Cows","15-19",58.4
"775","Number of Farms with Cattle (Thousand)","1999","Dairy Cows","15-19",2.8
"776","Number of Cattle (Thousand)","1999","Dairy Cows","15-19",48.5
"777","Number of Farms with Cattle (Thousand)","2001","Dairy Cows","15-19",2.3
"778","Number of Cattle (Thousand)","2001","Dairy Cows","15-19",39.3
"779","Number of Farms with Cattle (Thousand)","2003","Dairy Cows","15-19",1.8
"780","Number of Cattle (Thousand)","2003","Dairy Cows","15-19",31.5
"781","Number of Farms with Cattle (Thousand)","2005","Dairy Cows","15-19",1.4
"782","Number of Cattle (Thousand)","2005","Dairy Cows","15-19",22.3
"783","Number of Farms with Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","15-19",3.9
"784","Number of Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","15-19",64.1
"785","Number of Farms with Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","15-19",2.9
"786","Number of Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","15-19",48.5
"787","Number of Farms with Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","15-19",2.6
"788","Number of Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","15-19",43.5
"789","Number of Farms with Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","15-19",2.2
"790","Number of Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","15-19",35.3
"791","Number of Farms with Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","15-19",2
"792","Number of Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","15-19",32.8
"793","Number of Farms with Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","15-19",1.7
"794","Number of Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","15-19",28
"795","Number of Farms with Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","15-19",2.1
"796","Number of Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","15-19",34.5
"797","Number of Farms with Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","15-19",2.4
"798","Number of Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","15-19",39.6
"799","Number of Farms with Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","15-19",3
"800","Number of Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","15-19",49.6
"801","Number of Farms with Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","15-19",5.3
"802","Number of Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","15-19",87.8
"803","Number of Farms with Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","15-19",6.4
"804","Number of Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","15-19",111.7
"805","Number of Farms with Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","15-19",7.1
"806","Number of Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","15-19",120.3
"807","Number of Farms with Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","15-19",7.8
"808","Number of Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","15-19",135.8
"809","Number of Farms with Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","15-19",7.4
"810","Number of Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","15-19",140.6
"811","Number of Farms with Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","15-19",7.9
"812","Number of Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","15-19",139.4
"813","Number of Farms with Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","15-19",7.7
"814","Number of Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","15-19",142.8
"815","Number of Farms with Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","15-19",7.9
"816","Number of Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","15-19",139.6
"817","Number of Farms with Cattle (Thousand)","1973","Cattle","20-29",33.6
"818","Number of Cattle (Thousand)","1973","Cattle","20-29",806.5
"819","Number of Farms with Cattle (Thousand)","1975","Cattle","20-29",32.6
"820","Number of Cattle (Thousand)","1975","Cattle","20-29",782.7
"821","Number of Farms with Cattle (Thousand)","1977","Cattle","20-29",31.7
"822","Number of Cattle (Thousand)","1977","Cattle","20-29",758.7
"823","Number of Farms with Cattle (Thousand)","1979","Cattle","20-29",30.7
"824","Number of Cattle (Thousand)","1979","Cattle","20-29",734.2
"825","Number of Farms with Cattle (Thousand)","1981","Cattle","20-29",29.2
"826","Number of Cattle (Thousand)","1981","Cattle","20-29",697.6
"827","Number of Farms with Cattle (Thousand)","1983","Cattle","20-29",28.1
"828","Number of Cattle (Thousand)","1983","Cattle","20-29",671.9
"829","Number of Farms with Cattle (Thousand)","1985","Cattle","20-29",27.3
"830","Number of Cattle (Thousand)","1985","Cattle","20-29",652.6
"831","Number of Farms with Cattle (Thousand)","1987","Cattle","20-29",25.9
"832","Number of Cattle (Thousand)","1987","Cattle","20-29",618.6
"833","Number of Farms with Cattle (Thousand)","1989","Cattle","20-29",25.7
"834","Number of Cattle (Thousand)","1989","Cattle","20-29",609.7
"835","Number of Farms with Cattle (Thousand)","1991","Cattle","20-29",22.2
"836","Number of Cattle (Thousand)","1991","Cattle","20-29",534.3
"837","Number of Farms with Cattle (Thousand)","1993","Cattle","20-29",20.2
"838","Number of Cattle (Thousand)","1993","Cattle","20-29",502.2
"839","Number of Farms with Cattle (Thousand)","1995","Cattle","20-29",18.8
"840","Number of Cattle (Thousand)","1995","Cattle","20-29",475.4
"841","Number of Farms with Cattle (Thousand)","1997","Cattle","20-29",18.2
"842","Number of Cattle (Thousand)","1997","Cattle","20-29",469.7
"843","Number of Farms with Cattle (Thousand)","1999","Cattle","20-29",17.4
"844","Number of Cattle (Thousand)","1999","Cattle","20-29",450.3
"845","Number of Farms with Cattle (Thousand)","2001","Cattle","20-29",15.9
"846","Number of Cattle (Thousand)","2001","Cattle","20-29",380.8
"847","Number of Farms with Cattle (Thousand)","2003","Cattle","20-29",15.2
"848","Number of Cattle (Thousand)","2003","Cattle","20-29",381.9
"849","Number of Farms with Cattle (Thousand)","2005","Cattle","20-29",14.9
"850","Number of Cattle (Thousand)","2005","Cattle","20-29",339.4
"851","Number of Farms with Cattle (Thousand)","1973","Cows","20-29",16.1
"852","Number of Cattle (Thousand)","1973","Cows","20-29",376.3
"853","Number of Farms with Cattle (Thousand)","1975","Cows","20-29",14.4
"854","Number of Cattle (Thousand)","1975","Cows","20-29",337.6
"855","Number of Farms with Cattle (Thousand)","1977","Cows","20-29",15.1
"856","Number of Cattle (Thousand)","1977","Cows","20-29",351.3
"857","Number of Farms with Cattle (Thousand)","1979","Cows","20-29",13.7
"858","Number of Cattle (Thousand)","1979","Cows","20-29",319
"859","Number of Farms with Cattle (Thousand)","1981","Cows","20-29",13.3
"860","Number of Cattle (Thousand)","1981","Cows","20-29",307
"861","Number of Farms with Cattle (Thousand)","1983","Cows","20-29",12.9
"862","Number of Cattle (Thousand)","1983","Cows","20-29",301.7
"863","Number of Farms with Cattle (Thousand)","1985","Cows","20-29",12.5
"864","Number of Cattle (Thousand)","1985","Cows","20-29",289.6
"865","Number of Farms with Cattle (Thousand)","1987","Cows","20-29",12.5
"866","Number of Cattle (Thousand)","1987","Cows","20-29",290.4
"867","Number of Farms with Cattle (Thousand)","1989","Cows","20-29",14
"868","Number of Cattle (Thousand)","1989","Cows","20-29",327.2
"869","Number of Farms with Cattle (Thousand)","1991","Cows","20-29",15.7
"870","Number of Cattle (Thousand)","1991","Cows","20-29",371
"871","Number of Farms with Cattle (Thousand)","1993","Cows","20-29",16
"872","Number of Cattle (Thousand)","1993","Cows","20-29",402.7
"873","Number of Farms with Cattle (Thousand)","1995","Cows","20-29",14.9
"874","Number of Cattle (Thousand)","1995","Cows","20-29",377
"875","Number of Farms with Cattle (Thousand)","1997","Cows","20-29",15.4
"876","Number of Cattle (Thousand)","1997","Cows","20-29",400.8
"877","Number of Farms with Cattle (Thousand)","1999","Cows","20-29",14.8
"878","Number of Cattle (Thousand)","1999","Cows","20-29",406.4
"879","Number of Farms with Cattle (Thousand)","2001","Cows","20-29",14
"880","Number of Cattle (Thousand)","2001","Cows","20-29",362.8
"881","Number of Farms with Cattle (Thousand)","2003","Cows","20-29",12.6
"882","Number of Cattle (Thousand)","2003","Cows","20-29",342.9
"883","Number of Farms with Cattle (Thousand)","2005","Cows","20-29",13.2
"884","Number of Cattle (Thousand)","2005","Cows","20-29",332.5
"885","Number of Farms with Cattle (Thousand)","1973","Dairy Cows","20-29",11.8
"886","Number of Cattle (Thousand)","1973","Dairy Cows","20-29",276.5
"887","Number of Farms with Cattle (Thousand)","1975","Dairy Cows","20-29",11
"888","Number of Cattle (Thousand)","1975","Dairy Cows","20-29",259.3
"889","Number of Farms with Cattle (Thousand)","1977","Dairy Cows","20-29",11.9
"890","Number of Cattle (Thousand)","1977","Dairy Cows","20-29",276.7
"891","Number of Farms with Cattle (Thousand)","1979","Dairy Cows","20-29",11.3
"892","Number of Cattle (Thousand)","1979","Dairy Cows","20-29",264.5
"893","Number of Farms with Cattle (Thousand)","1981","Dairy Cows","20-29",11.2
"894","Number of Cattle (Thousand)","1981","Dairy Cows","20-29",260.1
"895","Number of Farms with Cattle (Thousand)","1983","Dairy Cows","20-29",11.1
"896","Number of Cattle (Thousand)","1983","Dairy Cows","20-29",258.6
"897","Number of Farms with Cattle (Thousand)","1985","Dairy Cows","20-29",10.6
"898","Number of Cattle (Thousand)","1985","Dairy Cows","20-29",246.2
"899","Number of Farms with Cattle (Thousand)","1987","Dairy Cows","20-29",10.6
"900","Number of Cattle (Thousand)","1987","Dairy Cows","20-29",246.4
"901","Number of Farms with Cattle (Thousand)","1989","Dairy Cows","20-29",10.5
"902","Number of Cattle (Thousand)","1989","Dairy Cows","20-29",246.1
"903","Number of Farms with Cattle (Thousand)","1991","Dairy Cows","20-29",9.2
"904","Number of Cattle (Thousand)","1991","Dairy Cows","20-29",216.6
"905","Number of Farms with Cattle (Thousand)","1993","Dairy Cows","20-29",9.6
"906","Number of Cattle (Thousand)","1993","Dairy Cows","20-29",232.9
"907","Number of Farms with Cattle (Thousand)","1995","Dairy Cows","20-29",7.8
"908","Number of Cattle (Thousand)","1995","Dairy Cows","20-29",189.1
"909","Number of Farms with Cattle (Thousand)","1997","Dairy Cows","20-29",7.2
"910","Number of Cattle (Thousand)","1997","Dairy Cows","20-29",176.9
"911","Number of Farms with Cattle (Thousand)","1999","Dairy Cows","20-29",6.6
"912","Number of Cattle (Thousand)","1999","Dairy Cows","20-29",166.5
"913","Number of Farms with Cattle (Thousand)","2001","Dairy Cows","20-29",5.5
"914","Number of Cattle (Thousand)","2001","Dairy Cows","20-29",131.8
"915","Number of Farms with Cattle (Thousand)","2003","Dairy Cows","20-29",4.4
"916","Number of Cattle (Thousand)","2003","Dairy Cows","20-29",112.6
"917","Number of Farms with Cattle (Thousand)","2005","Dairy Cows","20-29",3.8
"918","Number of Cattle (Thousand)","2005","Dairy Cows","20-29",84.7
"919","Number of Farms with Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","20-29",3.9
"920","Number of Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","20-29",89.5
"921","Number of Farms with Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","20-29",3
"922","Number of Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","20-29",68.6
"923","Number of Farms with Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","20-29",2.8
"924","Number of Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","20-29",63.3
"925","Number of Farms with Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","20-29",2.1
"926","Number of Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","20-29",46.2
"927","Number of Farms with Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","20-29",1.9
"928","Number of Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","20-29",41.5
"929","Number of Farms with Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","20-29",1.8
"930","Number of Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","20-29",39.3
"931","Number of Farms with Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","20-29",1.8
"932","Number of Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","20-29",40.4
"933","Number of Farms with Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","20-29",1.9
"934","Number of Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","20-29",41.5
"935","Number of Farms with Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","20-29",3.3
"936","Number of Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","20-29",71.4
"937","Number of Farms with Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","20-29",5.9
"938","Number of Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","20-29",138
"939","Number of Farms with Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","20-29",6.9
"940","Number of Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","20-29",163.4
"941","Number of Farms with Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","20-29",7.8
"942","Number of Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","20-29",186
"943","Number of Farms with Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","20-29",9.4
"944","Number of Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","20-29",232
"945","Number of Farms with Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","20-29",9.1
"946","Number of Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","20-29",239.9
"947","Number of Farms with Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","20-29",9.3
"948","Number of Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","20-29",231
"949","Number of Farms with Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","20-29",8.9
"950","Number of Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","20-29",230.4
"951","Number of Farms with Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","20-29",10.1
"952","Number of Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","20-29",247.8
"953","Number of Farms with Cattle (Thousand)","1973","Cattle","30-39",21.2
"954","Number of Cattle (Thousand)","1973","Cattle","30-39",724.6
"955","Number of Farms with Cattle (Thousand)","1975","Cattle","30-39",19.7
"956","Number of Cattle (Thousand)","1975","Cattle","30-39",674.5
"957","Number of Farms with Cattle (Thousand)","1977","Cattle","30-39",20.4
"958","Number of Cattle (Thousand)","1977","Cattle","30-39",692.2
"959","Number of Farms with Cattle (Thousand)","1979","Cattle","30-39",19.5
"960","Number of Cattle (Thousand)","1979","Cattle","30-39",661.9
"961","Number of Farms with Cattle (Thousand)","1981","Cattle","30-39",18.7
"962","Number of Cattle (Thousand)","1981","Cattle","30-39",635.1
"963","Number of Farms with Cattle (Thousand)","1983","Cattle","30-39",18
"964","Number of Cattle (Thousand)","1983","Cattle","30-39",611.2
"965","Number of Farms with Cattle (Thousand)","1985","Cattle","30-39",17.2
"966","Number of Cattle (Thousand)","1985","Cattle","30-39",580.8
"967","Number of Farms with Cattle (Thousand)","1987","Cattle","30-39",17.2
"968","Number of Cattle (Thousand)","1987","Cattle","30-39",582.8
"969","Number of Farms with Cattle (Thousand)","1989","Cattle","30-39",18.3
"970","Number of Cattle (Thousand)","1989","Cattle","30-39",622.7
"971","Number of Farms with Cattle (Thousand)","1991","Cattle","30-39",15.8
"972","Number of Cattle (Thousand)","1991","Cattle","30-39",535.8
"973","Number of Farms with Cattle (Thousand)","1993","Cattle","30-39",14.5
"974","Number of Cattle (Thousand)","1993","Cattle","30-39",509
"975","Number of Farms with Cattle (Thousand)","1995","Cattle","30-39",13.7
"976","Number of Cattle (Thousand)","1995","Cattle","30-39",484.9
"977","Number of Farms with Cattle (Thousand)","1997","Cattle","30-39",13.5
"978","Number of Cattle (Thousand)","1997","Cattle","30-39",488.9
"979","Number of Farms with Cattle (Thousand)","1999","Cattle","30-39",12.2
"980","Number of Cattle (Thousand)","1999","Cattle","30-39",446.7
"981","Number of Farms with Cattle (Thousand)","2001","Cattle","30-39",12.3
"982","Number of Cattle (Thousand)","2001","Cattle","30-39",419
"983","Number of Farms with Cattle (Thousand)","2003","Cattle","30-39",11.4
"984","Number of Cattle (Thousand)","2003","Cattle","30-39",404.1
"985","Number of Farms with Cattle (Thousand)","2005","Cattle","30-39",11.7
"986","Number of Cattle (Thousand)","2005","Cattle","30-39",377.9
"987","Number of Farms with Cattle (Thousand)","1973","Cows","30-39",7.1
"988","Number of Cattle (Thousand)","1973","Cows","30-39",233.6
"989","Number of Farms with Cattle (Thousand)","1975","Cows","30-39",6.3
"990","Number of Cattle (Thousand)","1975","Cows","30-39",209
"991","Number of Farms with Cattle (Thousand)","1977","Cows","30-39",7
"992","Number of Cattle (Thousand)","1977","Cows","30-39",229.6
"993","Number of Farms with Cattle (Thousand)","1979","Cows","30-39",7.2
"994","Number of Cattle (Thousand)","1979","Cows","30-39",239.3
"995","Number of Farms with Cattle (Thousand)","1981","Cows","30-39",7
"996","Number of Cattle (Thousand)","1981","Cows","30-39",230.2
"997","Number of Farms with Cattle (Thousand)","1983","Cows","30-39",7.5
"998","Number of Cattle (Thousand)","1983","Cows","30-39",251.1
"999","Number of Farms with Cattle (Thousand)","1985","Cows","30-39",7.5
"1000","Number of Cattle (Thousand)","1985","Cows","30-39",248.8
"1001","Number of Farms with Cattle (Thousand)","1987","Cows","30-39",6.9
"1002","Number of Cattle (Thousand)","1987","Cows","30-39",229.6
"1003","Number of Farms with Cattle (Thousand)","1989","Cows","30-39",7.6
"1004","Number of Cattle (Thousand)","1989","Cows","30-39",250.9
"1005","Number of Farms with Cattle (Thousand)","1991","Cows","30-39",8.4
"1006","Number of Cattle (Thousand)","1991","Cows","30-39",280.7
"1007","Number of Farms with Cattle (Thousand)","1993","Cows","30-39",8.7
"1008","Number of Cattle (Thousand)","1993","Cows","30-39",311.7
"1009","Number of Farms with Cattle (Thousand)","1995","Cows","30-39",9.3
"1010","Number of Cattle (Thousand)","1995","Cows","30-39",330.6
"1011","Number of Farms with Cattle (Thousand)","1997","Cows","30-39",10
"1012","Number of Cattle (Thousand)","1997","Cows","30-39",370.1
"1013","Number of Farms with Cattle (Thousand)","1999","Cows","30-39",10.2
"1014","Number of Cattle (Thousand)","1999","Cows","30-39",366.2
"1015","Number of Farms with Cattle (Thousand)","2001","Cows","30-39",10.1
"1016","Number of Cattle (Thousand)","2001","Cows","30-39",350.7
"1017","Number of Farms with Cattle (Thousand)","2003","Cows","30-39",8.5
"1018","Number of Cattle (Thousand)","2003","Cows","30-39",320
"1019","Number of Farms with Cattle (Thousand)","2005","Cows","30-39",8.2
"1020","Number of Cattle (Thousand)","2005","Cows","30-39",286
"1021","Number of Farms with Cattle (Thousand)","1973","Dairy Cows","30-39",5.1
"1022","Number of Cattle (Thousand)","1973","Dairy Cows","30-39",167.6
"1023","Number of Farms with Cattle (Thousand)","1975","Dairy Cows","30-39",5
"1024","Number of Cattle (Thousand)","1975","Dairy Cows","30-39",165
"1025","Number of Farms with Cattle (Thousand)","1977","Dairy Cows","30-39",5.9
"1026","Number of Cattle (Thousand)","1977","Dairy Cows","30-39",194
"1027","Number of Farms with Cattle (Thousand)","1979","Dairy Cows","30-39",6.3
"1028","Number of Cattle (Thousand)","1979","Dairy Cows","30-39",209
"1029","Number of Farms with Cattle (Thousand)","1981","Dairy Cows","30-39",6.2
"1030","Number of Cattle (Thousand)","1981","Dairy Cows","30-39",204.2
"1031","Number of Farms with Cattle (Thousand)","1983","Dairy Cows","30-39",6.8
"1032","Number of Cattle (Thousand)","1983","Dairy Cows","30-39",227.5
"1033","Number of Farms with Cattle (Thousand)","1985","Dairy Cows","30-39",6.7
"1034","Number of Cattle (Thousand)","1985","Dairy Cows","30-39",222.5
"1035","Number of Farms with Cattle (Thousand)","1987","Dairy Cows","30-39",6.2
"1036","Number of Cattle (Thousand)","1987","Dairy Cows","30-39",205.5
"1037","Number of Farms with Cattle (Thousand)","1989","Dairy Cows","30-39",6.4
"1038","Number of Cattle (Thousand)","1989","Dairy Cows","30-39",211.7
"1039","Number of Farms with Cattle (Thousand)","1991","Dairy Cows","30-39",6.3
"1040","Number of Cattle (Thousand)","1991","Dairy Cows","30-39",211.4
"1041","Number of Farms with Cattle (Thousand)","1993","Dairy Cows","30-39",5.7
"1042","Number of Cattle (Thousand)","1993","Dairy Cows","30-39",198.1
"1043","Number of Farms with Cattle (Thousand)","1995","Dairy Cows","30-39",6.1
"1044","Number of Cattle (Thousand)","1995","Dairy Cows","30-39",206.4
"1045","Number of Farms with Cattle (Thousand)","1997","Dairy Cows","30-39",6.2
"1046","Number of Cattle (Thousand)","1997","Dairy Cows","30-39",213
"1047","Number of Farms with Cattle (Thousand)","1999","Dairy Cows","30-39",6.1
"1048","Number of Cattle (Thousand)","1999","Dairy Cows","30-39",215.5
"1049","Number of Farms with Cattle (Thousand)","2001","Dairy Cows","30-39",5.5
"1050","Number of Cattle (Thousand)","2001","Dairy Cows","30-39",184.4
"1051","Number of Farms with Cattle (Thousand)","2003","Dairy Cows","30-39",4.7
"1052","Number of Cattle (Thousand)","2003","Dairy Cows","30-39",169.4
"1053","Number of Farms with Cattle (Thousand)","2005","Dairy Cows","30-39",4.3
"1054","Number of Cattle (Thousand)","2005","Dairy Cows","30-39",134.1
"1055","Number of Farms with Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","30-39",1.7
"1056","Number of Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","30-39",57.5
"1057","Number of Farms with Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","30-39",1.1
"1058","Number of Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","30-39",35.7
"1059","Number of Farms with Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","30-39",1
"1060","Number of Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","30-39",31.5
"1061","Number of Farms with Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","30-39",0.8
"1062","Number of Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","30-39",24.6
"1063","Number of Farms with Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","30-39",0.6
"1064","Number of Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","30-39",20.1
"1065","Number of Farms with Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","30-39",0.5
"1066","Number of Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","30-39",17.2
"1067","Number of Farms with Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","30-39",0.7
"1068","Number of Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","30-39",21.5
"1069","Number of Farms with Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","30-39",0.7
"1070","Number of Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","30-39",21.8
"1071","Number of Farms with Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","30-39",1.3
"1072","Number of Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","30-39",40.6
"1073","Number of Farms with Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","30-39",1.9
"1074","Number of Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","30-39",63.5
"1075","Number of Farms with Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","30-39",2.7
"1076","Number of Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","30-39",93.4
"1077","Number of Farms with Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","30-39",3.3
"1078","Number of Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","30-39",111.5
"1079","Number of Farms with Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","30-39",4.2
"1080","Number of Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","30-39",145.7
"1081","Number of Farms with Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","30-39",4
"1082","Number of Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","30-39",150.7
"1083","Number of Farms with Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","30-39",4.7
"1084","Number of Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","30-39",166.3
"1085","Number of Farms with Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","30-39",4.1
"1086","Number of Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","30-39",150.6
"1087","Number of Farms with Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","30-39",4.3
"1088","Number of Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","30-39",151.9
"1089","Number of Farms with Cattle (Thousand)","1973","Cattle","40-49",13.6
"1090","Number of Cattle (Thousand)","1973","Cattle","40-49",598.4
"1091","Number of Farms with Cattle (Thousand)","1975","Cattle","40-49",12.7
"1092","Number of Cattle (Thousand)","1975","Cattle","40-49",561.5
"1093","Number of Farms with Cattle (Thousand)","1977","Cattle","40-49",13.5
"1094","Number of Cattle (Thousand)","1977","Cattle","40-49",594.1
"1095","Number of Farms with Cattle (Thousand)","1979","Cattle","40-49",12.8
"1096","Number of Cattle (Thousand)","1979","Cattle","40-49",563.1
"1097","Number of Farms with Cattle (Thousand)","1981","Cattle","40-49",12.2
"1098","Number of Cattle (Thousand)","1981","Cattle","40-49",536.2
"1099","Number of Farms with Cattle (Thousand)","1983","Cattle","40-49",11.8
"1100","Number of Cattle (Thousand)","1983","Cattle","40-49",519.1
